Cytokine,System,Term,Estimate,SE,95% CI,t,p-value,Adj. p,Overall F,Overall F df,Overall p,Overall Adj. p,Marginal R²,Conditional R²
CCL2,4-category,(Intercept),5.029,0.195,"[4.647, 5.412]",25.77,0.001,0.010,0.83,"(3, 69.0)",0.482,0.799,0.006,0.833
CCL2,4-category,Carcinoma,0.064,0.050,"[-0.034, 0.163]",1.29,0.203,0.470,0.83,"(3, 69.0)",0.482,0.799,0.006,0.833
CCL2,4-category,Hematopoietic,-0.015,0.050,"[-0.113, 0.084]",-0.29,0.772,0.801,0.83,"(3, 69.0)",0.482,0.799,0.006,0.833
CCL2,4-category,Melanoma,0.039,0.046,"[-0.052, 0.129]",0.84,0.406,0.632,0.83,"(3, 69.0)",0.482,0.799,0.006,0.833
IL-10,4-category,(Intercept),2.277,0.217,"[1.852, 2.701]",10.51,0.005,0.030,0.67,"(3, 69.0)",0.570,0.799,0.018,0.357
IL-10,4-category,Carcinoma,0.159,0.160,"[-0.154, 0.473]",1.00,0.323,0.565,0.67,"(3, 69.0)",0.570,0.799,0.018,0.357
IL-10,4-category,Hematopoietic,0.141,0.160,"[-0.173, 0.454]",0.88,0.381,0.628,0.67,"(3, 69.0)",0.570,0.799,0.018,0.357
IL-10,4-category,Melanoma,0.168,0.147,"[-0.121, 0.457]",1.14,0.259,0.506,0.67,"(3, 69.0)",0.570,0.799,0.018,0.357
IL-8,4-category,(Intercept),4.397,0.049,"[4.302, 4.493]",90.38,<0.001,<0.001,1.96,"(3, 69.0)",0.128,0.632,0.062,0.221
IL-8,4-category,Carcinoma,0.081,0.052,"[-0.022, 0.183]",1.54,0.129,0.329,1.96,"(3, 69.0)",0.128,0.632,0.062,0.221
IL-8,4-category,Hematopoietic,0.016,0.052,"[-0.087, 0.119]",0.31,0.759,0.801,1.96,"(3, 69.0)",0.128,0.632,0.062,0.221
IL-8,4-category,Melanoma,0.105,0.048,"[0.010, 0.199]",2.16,0.034,0.119,1.96,"(3, 69.0)",0.128,0.632,0.062,0.221
KC-like,4-category,(Intercept),2.990,0.020,"[2.952, 3.029]",151.45,<0.001,<0.001,0.47,"(3, 69.0)",0.704,0.821,0.017,0.101
KC-like,4-category,Carcinoma,-0.001,0.027,"[-0.054, 0.052]",-0.05,0.959,0.959,0.47,"(3, 69.0)",0.704,0.821,0.017,0.101
KC-like,4-category,Hematopoietic,0.012,0.027,"[-0.041, 0.065]",0.43,0.665,0.776,0.47,"(3, 69.0)",0.704,0.821,0.017,0.101
KC-like,4-category,Melanoma,0.028,0.025,"[-0.021, 0.077]",1.11,0.271,0.506,0.47,"(3, 69.0)",0.704,0.821,0.017,0.101
TGF-β,4-category,(Intercept),1.930,0.284,"[1.374, 2.486]",6.81,0.020,0.080,1.33,"(3, 69.0)",0.271,0.632,0.009,0.828
TGF-β,4-category,Carcinoma,0.041,0.074,"[-0.105, 0.187]",0.55,0.584,0.743,1.33,"(3, 69.0)",0.271,0.632,0.009,0.828
TGF-β,4-category,Hematopoietic,-0.128,0.074,"[-0.274, 0.018]",-1.72,0.089,0.251,1.33,"(3, 69.0)",0.271,0.632,0.009,0.828
TGF-β,4-category,Melanoma,-0.023,0.069,"[-0.157, 0.112]",-0.33,0.740,0.801,1.33,"(3, 69.0)",0.271,0.632,0.009,0.828
TNF-α,4-category,(Intercept),1.425,0.193,"[1.047, 1.802]",7.40,0.010,0.047,0.28,"(3, 69.0)",0.841,0.841,0.008,0.280
TNF-α,4-category,Carcinoma,0.116,0.164,"[-0.205, 0.437]",0.71,0.481,0.674,0.28,"(3, 69.0)",0.841,0.841,0.008,0.280
TNF-α,4-category,Hematopoietic,0.117,0.164,"[-0.203, 0.438]",0.72,0.476,0.674,0.28,"(3, 69.0)",0.841,0.841,0.008,0.280
TNF-α,4-category,Melanoma,0.069,0.151,"[-0.227, 0.365]",0.46,0.650,0.776,0.28,"(3, 69.0)",0.841,0.841,0.008,0.280
VEGF,4-category,(Intercept),3.373,0.143,"[3.092, 3.654]",23.50,0.001,0.010,1.35,"(3, 69.0)",0.265,0.632,0.022,0.594
VEGF,4-category,Carcinoma,-0.084,0.068,"[-0.217, 0.049]",-1.24,0.218,0.470,1.35,"(3, 69.0)",0.265,0.632,0.022,0.594
VEGF,4-category,Hematopoietic,-0.125,0.068,"[-0.258, 0.008]",-1.84,0.070,0.216,1.35,"(3, 69.0)",0.265,0.632,0.022,0.594
VEGF,4-category,Melanoma,-0.040,0.063,"[-0.162, 0.083]",-0.63,0.529,0.706,1.35,"(3, 69.0)",0.265,0.632,0.022,0.594
CCL2,5-category,(Intercept),5.017,0.196,"[4.633, 5.400]",25.66,0.001,0.012,0.94,"(4, 68.0)",0.447,0.764,0.008,0.834
CCL2,5-category,Carcinoma,0.077,0.051,"[-0.024, 0.178]",1.50,0.138,0.402,0.94,"(4, 68.0)",0.447,0.764,0.008,0.834
CCL2,5-category,Hematopoietic,-0.002,0.051,"[-0.103, 0.099]",-0.04,0.969,0.969,0.94,"(4, 68.0)",0.447,0.764,0.008,0.834
CCL2,5-category,Melanoma,0.051,0.047,"[-0.042, 0.144]",1.08,0.285,0.571,0.94,"(4, 68.0)",0.447,0.764,0.008,0.834
CCL2,5-category,Sarcoma,0.075,0.067,"[-0.056, 0.207]",1.12,0.266,0.571,0.94,"(4, 68.0)",0.447,0.764,0.008,0.834
IL-10,5-category,(Intercept),2.265,0.220,"[1.834, 2.695]",10.31,0.004,0.031,0.53,"(4, 68.0)",0.716,0.764,0.018,0.355
IL-10,5-category,Carcinoma,0.171,0.165,"[-0.152, 0.495]",1.04,0.303,0.571,0.53,"(4, 68.0)",0.716,0.764,0.018,0.355
IL-10,5-category,Hematopoietic,0.153,0.165,"[-0.170, 0.476]",0.93,0.357,0.571,0.53,"(4, 68.0)",0.716,0.764,0.018,0.355
IL-10,5-category,Melanoma,0.180,0.153,"[-0.119, 0.479]",1.18,0.243,0.571,0.53,"(4, 68.0)",0.716,0.764,0.018,0.355
