"Cytokine_1","Cytokine_2","ρ","p-value","Adj. p-value"
"CCL2","TGF-β","0.105","0.619","0.810"
"CCL2","TNF-α","-0.165","0.432","0.648"
"IL-10","CCL2","-0.193","0.355","0.621"
"IL-10","TGF-β","-0.085","0.688","0.810"
"IL-10","TNF-α","0.965","<0.001","<0.001"
"IL-8","CCL2","-0.128","0.541","0.757"
"IL-8","IL-10","0.412","0.041","0.213"
"IL-8","KC-like","0.656","<0.001","0.004"
"IL-8","TGF-β","-0.065","0.756","0.810"
"IL-8","TNF-α","0.363","0.074","0.223"
"KC-like","CCL2","-0.325","0.112","0.262"
"KC-like","IL-10","0.374","0.066","0.223"
"KC-like","TGF-β","-0.170","0.417","0.648"
"KC-like","TNF-α","0.381","0.060","0.223"
"TNF-α","TGF-β","0.051","0.810","0.810"
"VEGF","CCL2","0.232","0.265","0.557"
"VEGF","IL-10","-0.055","0.795","0.810"
"VEGF","IL-8","-0.209","0.315","0.602"
"VEGF","KC-like","-0.350","0.086","0.227"
"VEGF","TGF-β","0.457","0.022","0.152"
"VEGF","TNF-α","0.075","0.723","0.810"
