cell_line,histo_5,histo_4,cell_count
D-17,Osteosarcoma,Sarcoma,5
Abrams,Osteosarcoma,Sarcoma,11.75
Moresco,Osteosarcoma,Sarcoma,11
Gracie,Osteosarcoma,Sarcoma,10.5
MacKinley,Osteosarcoma,Sarcoma,14.04
Yamane,Osteosarcoma,Sarcoma,4.6
Vogel,Osteosarcoma,Sarcoma,7.5
OSA8,Osteosarcoma,Sarcoma,9.6
HMPOS,Osteosarcoma,Sarcoma,9.09
OS2.4,Osteosarcoma,Sarcoma,4.9
17CM98,Melanoma,Melanoma,20.4
CML-6M,Melanoma,Melanoma,19.09
CML-10C2,Melanoma,Melanoma,12.3
Jones,Melanoma,Melanoma,9
Parks,Melanoma,Melanoma,7.5
CMT12,Carcinoma,Carcinoma,13.2
CMT27,Carcinoma,Carcinoma,10.2
DEN,Sarcoma,Sarcoma,11.4
Bliley,Carcinoma,Carcinoma,8.4
DH82,Hematopoietic,Hematopoietic,8.16
Nike,Hematopoietic,Hematopoietic,8.4
CTAC,Carcinoma,Carcinoma,19.8
STSA-1,Sarcoma,Sarcoma,12.6
CLL1390,Hematopoietic,Hematopoietic,13.25
1771,Hematopoietic,Hematopoietic,14.3
