GeneID,GeneName,Spearman_Correlation_Coefficient,P_value,qvalue
ENSCAFG00000015332,MVB12A,0.817193676,2.79E-06,0.038995863
ENSCAFG00000024217,NA,0.813241107,3.34E-06,0.038995863
ENSCAFG00000028908,NA,0.7756917,2.08E-05,0.114272971
ENSCAFG00000007151,IFIT5,0.764822134,3.31E-05,0.132292698
ENSCAFG00000043826,NA,0.761857708,3.73E-05,0.136427411
ENSCAFG00000015270,PGLS,0.759881423,4.04E-05,0.139003591
ENSCAFG00000019490,HAGH,0.758893281,4.20E-05,0.140238991
ENSCAFG00000043662,NA,0.740851005,5.27E-05,0.152935483
ENSCAFG00000015287,PSMA3,0.739130435,8.68E-05,0.177724578
ENSCAFG00000008763,SFMBT1,0.736166008,9.61E-05,0.18212018
ENSCAFG00000041006,NA,0.733201581,0.000106157,0.186213055
ENSCAFG00000007467,IDE,0.730237154,0.000117082,0.190016018
ENSCAFG00000001976,VCP,0.7243083,0.000141739,0.196809698
ENSCAFG00000006312,NA,0.723320158,0.000146238,0.197843235
ENSCAFG00000022726,MT-CO2,-0.720355731,0.000160455,0.200786032
ENSCAFG00000004116,PSMB1,0.719367589,0.000165442,0.20171627
ENSCAFG00000011816,DGKD,0.716403162,0.00018118,0.204362837
ENSCAFG00000004243,SLC36A4,0.703236987,0.000181804,0.20445955
ENSCAFG00000001840,B4GALT1,0.71541502,0.000186696,0.205198838
ENSCAFG00000009292,NIT2,-0.713438735,0.000198146,0.20680484
ENSCAFG00000048581,NA,0.711462451,0.000210175,0.208326406
ENSCAFG00000004239,DEUP1,0.707509881,0.000236065,0.21113274
ENSCAFG00000012283,NA,0.707509881,0.000236065,0.21113274
ENSCAFG00000004628,PRCP,0.706521739,0.000242937,0.21178789
ENSCAFG00000045293,NA,0.703557312,0.000264563,0.213649486
ENSCAFG00000029851,SMCO4,0.700592885,0.000287775,0.215364722
ENSCAFG00000014350,MEF2B,0.697628458,0.000312666,0.216945064
ENSCAFG00000016330,CLN8,0.697628458,0.000312666,0.216945064
ENSCAFG00000009353,NA,0.695652174,0.00033024,0.217928999
ENSCAFG00000043687,NA,-0.694664032,0.000339333,0.21840121
ENSCAFG00000003772,SNX3,0.693675889,0.000348635,0.218860733
ENSCAFG00000016286,DNAJB1,0.692687747,0.000358149,0.219307918
ENSCAFG00000031126,HSPA13,0.692687747,0.000358149,0.219307918
ENSCAFG00000015827,PFN1,0.691699605,0.00036788,0.219743106
ENSCAFG00000015635,NA,0.68972332,0.000388009,0.220578811
ENSCAFG00000002500,SLC2A1,0.688735178,0.000398414,0.220979968
ENSCAFG00000009963,PSMD14,0.686758893,0.000419928,0.221750427
ENSCAFG00000010951,SDHA,0.684782609,0.000442408,0.222480366
ENSCAFG00000029980,C6H16orf91,0.68083004,0.000490412,0.223827503
ENSCAFG00000012743,OAT,0.679841897,0.000503073,0.22414231
ENSCAFG00000044806,NA,0.679841897,0.000503073,0.22414231
ENSCAFG00000046380,NA,0.666666687,0.000513078,0.22438068
ENSCAFG00000013316,SIRT1,0.678853755,0.000516008,0.224448815
ENSCAFG00000001371,SUN2,0.677865613,0.000529221,0.224747251
ENSCAFG00000013808,KIFBP,0.677865613,0.000529221,0.224747251
ENSCAFG00000017085,RAD23A,0.677865613,0.000529221,0.224747251
ENSCAFG00000019847,SARS1,0.675889328,0.000556503,0.225320816
ENSCAFG00000011286,OSTC,0.673913043,0.000584958,0.225864739
ENSCAFG00000016267,PSMD3,0.672924901,0.000599638,0.2261261
ENSCAFG00000030862,COMMD4,0.671936759,0.000614627,0.226380657
ENSCAFG00000022728,MT-ATP8,-0.671936759,0.000614627,0.226380657
ENSCAFG00000010661,XPNPEP1,0.670948617,0.00062993,0.226628602
ENSCAFG00000010906,INTS12,0.670948617,0.00062993,0.226628602
ENSCAFG00000029086,ARF4,0.670948617,0.00062993,0.226628602
ENSCAFG00000016350,NA,0.669960474,0.000645553,0.226870118
ENSCAFG00000000525,GLIPR1,0.668972332,0.000661501,0.227105385
ENSCAFG00000019569,AGPAT2,0.668972332,0.000661501,0.227105385
ENSCAFG00000028731,NA,0.668972332,0.000661501,0.227105385
ENSCAFG00000031588,NA,0.668972332,0.000661501,0.227105385
ENSCAFG00000018606,MROH2B,0.656377211,0.000670264,0.227230093
ENSCAFG00000041996,NA,0.666996047,0.000694393,0.227557865
ENSCAFG00000019220,NA,0.666007905,0.000711349,0.227775413
ENSCAFG00000043133,NA,0.665019763,0.000728653,0.227987379
ENSCAFG00000047522,NA,0.665019763,0.000728653,0.227987379
ENSCAFG00000017071,NONO,0.664031621,0.00074631,0.22819392
ENSCAFG00000001753,PPP2R5D,0.663043478,0.000764326,0.228395186
ENSCAFG00000012776,B4GAT1,0.663043478,0.000764326,0.228395186
ENSCAFG00000030409,SNW1,0.663043478,0.000764326,0.228395186
ENSCAFG00000010749,GPR55,-0.650940455,0.000768882,0.228444644
ENSCAFG00000014887,RNF25,0.662055336,0.000782707,0.228591324
ENSCAFG00000010789,NA,0.661067194,0.000801459,0.228782474
ENSCAFG00000018671,NA,0.661067194,0.000801459,0.228782474
ENSCAFG00000007665,ARL6IP4,0.660079051,0.000820588,0.228968777
ENSCAFG00000009134,SPIDR,0.660079051,0.000820588,0.228968777
ENSCAFG00000031283,ZNF134,-0.660079051,0.000820588,0.228968777
ENSCAFG00000013425,EIF2S3,0.659090909,0.000840101,0.229150364
ENSCAFG00000015802,ENO3,0.659090909,0.000840101,0.229150364
ENSCAFG00000029428,NA,-0.646933337,0.000849312,0.229233272
ENSCAFG00000011014,AIMP1,0.658102767,0.000860004,0.229327367
ENSCAFG00000005944,NA,0.657114625,0.000880303,0.229499911
ENSCAFG00000044594,NA,0.644922184,0.000892328,0.229598534
ENSCAFG00000019138,MAP2K2,0.656126482,0.000901005,0.229668119
ENSCAFG00000041936,NA,-0.644075522,0.000910987,0.229746583
ENSCAFG00000009207,AP3B1,0.65513834,0.000922116,0.229832111
ENSCAFG00000010961,LGALS8,0.65513834,0.000922116,0.229832111
ENSCAFG00000014421,SMARCAL1,0.65513834,0.000922116,0.229832111
ENSCAFG00000031481,NA,0.65513834,0.000922116,0.229832111
ENSCAFG00000045786,NA,0.65513834,0.000922116,0.229832111
ENSCAFG00000007498,EIF2S2,0.654150198,0.000943642,0.229992001
ENSCAFG00000045877,NA,0.641439797,0.000971233,0.230186871
ENSCAFG00000006026,UFM1,0.652173913,0.000987969,0.230299923
ENSCAFG00000022742,MT-CYB,-0.652173913,0.000987969,0.230299923
ENSCAFG00000038477,NA,0.652173913,0.000987969,0.230299923
ENSCAFG00000049947,NA,0.652173913,0.000987969,0.230299923
ENSCAFG00000007786,CHMP2B,0.651185771,0.001010782,0.23044817
ENSCAFG00000015291,ASMTL,0.650197628,0.001034039,0.230592746
ENSCAFG00000018082,RBM22,0.650197628,0.001034039,0.230592746
ENSCAFG00000011044,PDCD6,0.649209486,0.001057746,0.23073375
ENSCAFG00000014472,GPR137,0.649209486,0.001057746,0.23073375
ENSCAFG00000023066,RHOA,0.649209486,0.001057746,0.23073375
ENSCAFG00000024413,NA,0.649209486,0.001057746,0.23073375
ENSCAFG00000041560,NA,0.649209486,0.001057746,0.23073375
ENSCAFG00000013280,GLRX3,0.648221344,0.00108191,0.230871278
ENSCAFG00000031845,CGRRF1,0.648221344,0.00108191,0.230871278
ENSCAFG00000006271,RFC3,0.647233202,0.001106538,0.231005426
ENSCAFG00000007165,NA,0.647233202,0.001106538,0.231005426
ENSCAFG00000015762,AP1M1,0.647233202,0.001106538,0.231005426
ENSCAFG00000019216,GNB1,0.647233202,0.001106538,0.231005426
ENSCAFG00000041100,NA,0.647233202,0.001106538,0.231005426
ENSCAFG00000010473,SH3PXD2A,0.646245059,0.001131637,0.231136285
ENSCAFG00000022729,MT-ATP6,-0.646245059,0.001131637,0.231136285
ENSCAFG00000031670,SMIM31,0.646245059,0.001131637,0.231136285
ENSCAFG00000031783,CASP6,0.646245059,0.001131637,0.231136285
ENSCAFG00000011537,CLCN4,0.645256917,0.001157216,0.231263943
ENSCAFG00000014512,DDX49,0.645256917,0.001157216,0.231263943
ENSCAFG00000016394,PLEK2,0.645256917,0.001157216,0.231263943
ENSCAFG00000048188,NA,0.645256917,0.001157216,0.231263943
ENSCAFG00000014626,TMX1,0.644268775,0.00118328,0.232572178
ENSCAFG00000022717,MT-ND2,-0.643280632,0.001209839,0.233861541
ENSCAFG00000049531,PLA2G12A,0.64229249,0.001236899,0.235132135
ENSCAFG00000011157,CASP7,0.639328063,0.001321165,0.238832448
ENSCAFG00000017093,CALR,0.637351779,0.001379994,0.241207705
ENSCAFG00000018739,RANBP3,0.637351779,0.001379994,0.241207705
ENSCAFG00000048220,NA,-0.62648782,0.001381625,0.241271324
ENSCAFG00000001786,ACO1,0.636363636,0.001410228,0.242368263
ENSCAFG00000005303,NA,0.636363636,0.001410228,0.242368263
ENSCAFG00000012890,HAT1,0.636363636,0.001410228,0.242368263
ENSCAFG00000029203,EIF5A2,0.636363636,0.001410228,0.242368263
ENSCAFG00000032183,SGPP1,0.635375494,0.001441019,0.243510972
ENSCAFG00000022725,NA,-0.635375494,0.001441019,0.243510972
ENSCAFG00000009085,NA,0.634387352,0.001472377,0.244635986
