gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000050025,SERGEF,284.4130756,0.84442198,0.152763001,1.70E-11,2.54E-07
ENSCAFG00000011247,LAPTM5,3060.275559,-8.715516109,1.478699384,9.70E-11,7.26E-07
ENSCAFG00000012086,CTSS,1551.406365,-7.428549371,1.300685954,8.18E-10,4.08E-06
ENSCAFG00000004491,LCP1,5214.05057,-7.646109638,1.598472616,7.17E-08,0.000268344
ENSCAFG00000000590,PHAX,1127.778543,0.442399378,0.12434579,1.02E-07,0.000306383
ENSCAFG00000011458,IRAG2,198.1367708,-5.611471552,1.202155124,3.70E-07,0.00092432
ENSCAFG00000004820,ITGA9,313.87826,-5.266708582,1.14012229,4.97E-07,0.000929877
ENSCAFG00000044777,ZBTB32,53.20448929,-1.435601314,0.367614118,4.75E-07,0.000929877
ENSCAFG00000013968,CD163,1731.461185,-6.849665642,1.640741182,7.64E-07,0.001270692
ENSCAFG00000003709,CD37,481.5308065,-5.107124927,1.236460386,1.79E-06,0.002432866
ENSCAFG00000014609,FERMT3,792.3933629,-5.857252295,1.452241576,1.67E-06,0.002432866
ENSCAFG00000024700,OOEP,227.4136497,-6.560961247,1.954635736,3.71E-06,0.004634081
ENSCAFG00000002403,CCDC180,41.89473314,5.244872242,1.506186083,5.28E-06,0.004647335
ENSCAFG00000005332,NKTR,1292.674159,-0.585277852,0.25419228,4.54E-06,0.004647335
ENSCAFG00000007065,ITGB7,2135.438357,-4.538421068,1.261923649,5.25E-06,0.004647335
ENSCAFG00000029352,TMEM170B,89.32516741,-1.131270453,0.460586813,4.72E-06,0.004647335
ENSCAFG00000048382,NA,126.2978175,-0.854320872,0.381262752,4.57E-06,0.004647335
ENSCAFG00000002152,IL1R2,1751.603302,-5.481444085,1.669508943,6.50E-06,0.005408058
ENSCAFG00000040990,NA,75.70756543,0.773271532,0.384317871,8.05E-06,0.006347766
ENSCAFG00000016309,DOK3,117.1046345,-4.455421446,1.386953474,9.33E-06,0.006664899
ENSCAFG00000018540,MYO1F,818.4484729,-5.200296302,1.68777912,9.35E-06,0.006664899
ENSCAFG00000012003,LAT2,326.632854,-4.683504677,1.545094573,1.14E-05,0.007552186
ENSCAFG00000029121,FAM78A,92.09843233,-4.599081848,1.516354078,1.16E-05,0.007552186
ENSCAFG00000004621,DDIAS,228.2657698,0.445230668,0.206968924,1.35E-05,0.007782614
ENSCAFG00000017110,CORO1A,3433.163204,-4.569632156,1.552119769,1.31E-05,0.007782614
ENSCAFG00000042217,NA,14.10331924,1.534645423,0.645774271,1.26E-05,0.007782614
ENSCAFG00000023062,FYB1,883.4022811,-5.498466132,2.315019954,1.97E-05,0.010834794
ENSCAFG00000029851,SMCO4,131.4339854,0.541183957,0.300760451,2.03E-05,0.010834794
ENSCAFG00000016961,LCP2,924.9061225,-5.976934492,2.996377775,2.20E-05,0.011367344
ENSCAFG00000012923,DSCAML1,324.7375495,5.576097771,2.604506235,2.42E-05,0.012090841
ENSCAFG00000000075,TNFRSF11A,495.8816027,-3.635282277,1.437792875,2.54E-05,0.012247109
ENSCAFG00000006704,NFKBID,945.0706671,-3.767230008,1.531584663,2.76E-05,0.01283381
ENSCAFG00000019187,MATK,877.0238455,-4.768794192,2.084148794,2.85E-05,0.01283381
ENSCAFG00000028607,GMFG,502.2763161,-3.365431549,1.392338878,2.95E-05,0.01283381
ENSCAFG00000030753,C32H4orf54,273.0567695,3.415794768,1.419438597,3.00E-05,0.01283381
ENSCAFG00000009552,IMPG2,18.59936654,-0.696408484,0.456683796,3.28E-05,0.013625864
ENSCAFG00000006219,SIGLEC1,297.5819994,-3.805079967,1.679145671,3.58E-05,0.014436707
ENSCAFG00000006413,NCKAP1L,1342.417433,-4.929651239,2.456897134,3.72E-05,0.014436707
ENSCAFG00000009605,PPM1K,312.1025187,1.553746515,0.842781877,3.76E-05,0.014436707
ENSCAFG00000003700,MAML3,253.0585263,-3.422160749,1.69589318,5.21E-05,0.01948631
ENSCAFG00000006510,EML4,2100.648415,-1.184258132,0.774660995,5.34E-05,0.01948631
