gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000018348,CCL7,5242.070445,9.651035614,1.331704438,1.12E-14,1.64E-10
ENSCAFG00000001002,SMPDL3A,2403.845103,9.010895975,1.637596233,1.16E-09,5.68E-06
ENSCAFG00000024781,NA,465.7933917,6.894344394,1.181216232,8.55E-10,5.68E-06
ENSCAFG00000001084,CXCL14,131.3212519,6.416337754,1.201859585,1.77E-08,5.98E-05
ENSCAFG00000010192,RNF144B,221.8779406,5.284655844,0.976143221,2.03E-08,5.98E-05
ENSCAFG00000008544,MMP15,271.9289213,6.073448263,1.146617711,2.61E-08,6.39E-05
ENSCAFG00000001991,NA,24.17363426,3.019220251,0.56159438,4.62E-08,9.71E-05
ENSCAFG00000009905,MMP9,8912.745886,8.351472354,1.777572356,7.20E-08,0.00013229
ENSCAFG00000007882,PCSK1,21.96703968,4.869424168,0.977464726,1.81E-07,0.000265758
ENSCAFG00000042676,NA,213.3173275,6.362136408,1.315773094,1.73E-07,0.000265758
ENSCAFG00000018272,KLHL13,81.4501003,6.285663578,1.353230135,3.45E-07,0.000460774
ENSCAFG00000020082,DNM1,298.0716378,4.126935384,0.85646558,4.02E-07,0.000492196
ENSCAFG00000029471,CLIC2,46.11153279,-4.324623377,0.904813305,4.41E-07,0.000498235
ENSCAFG00000005773,CACNB4,143.4624946,4.326181755,0.944976613,8.15E-07,0.000855676
ENSCAFG00000009273,STAB1,395.2548719,6.643001064,1.705598462,1.65E-06,0.001612696
ENSCAFG00000009313,PHF21A,799.9697084,-0.925968879,0.346713193,1.91E-06,0.001750726
ENSCAFG00000004043,LAMA4,784.1724771,6.492079551,1.786521311,2.72E-06,0.002346934
ENSCAFG00000002573,SSC5D,85.96684222,3.384181488,0.856376971,3.41E-06,0.002634779
ENSCAFG00000004611,GRIN2C,118.4926651,3.787338262,0.954426481,3.33E-06,0.002634779
ENSCAFG00000013108,AP3B2,20.2059131,4.214656368,1.084566346,3.72E-06,0.002735779
ENSCAFG00000003487,SLC66A3,1189.765494,-1.683719699,0.554521056,6.64E-06,0.004433048
ENSCAFG00000017687,SCNN1B,106.7841337,4.466575222,1.274823878,6.63E-06,0.004433048
ENSCAFG00000018277,NA,4381.847706,3.167866992,0.920387674,7.51E-06,0.00479446
ENSCAFG00000016576,SEPTIN1,360.0967232,-5.26510836,1.740219185,1.05E-05,0.006449348
ENSCAFG00000017403,NTN1,108.0458334,4.474218183,1.458666807,1.22E-05,0.007160138
ENSCAFG00000000522,SNCAIP,37.81657144,5.629471855,2.178419179,1.53E-05,0.0086588
ENSCAFG00000024864,NA,174.5276744,4.196242117,1.51312655,1.87E-05,0.0098469
ENSCAFG00000030102,TPC3,77.56133869,4.51816298,1.656494671,1.88E-05,0.0098469
ENSCAFG00000011534,ACAN,86.33608725,4.669746173,1.750707702,1.96E-05,0.009909969
ENSCAFG00000014717,PIANP,31.95069636,3.736990726,1.426898028,2.39E-05,0.011688387
ENSCAFG00000007580,LYVE1,142.4406915,4.45756959,1.825719179,2.72E-05,0.012900399
ENSCAFG00000000303,AIG1,747.4472196,-0.428822494,0.34454664,4.03E-05,0.016501025
ENSCAFG00000006447,TOPBP1,5013.789217,-0.464818781,0.369395896,3.75E-05,0.016501025
ENSCAFG00000007401,NA,8.908376174,4.132733967,1.842232472,3.74E-05,0.016501025
ENSCAFG00000020354,CARMIL2,1346.470242,-4.248311979,1.963955586,4.04E-05,0.016501025
ENSCAFG00000029883,SLC25A36,481.7701931,-0.425259479,0.33858628,3.85E-05,0.016501025
ENSCAFG00000010077,LSP1,2472.519502,-4.560123672,2.264608064,4.44E-05,0.01763016
ENSCAFG00000008056,RYR3,39.92765871,2.65993682,1.319529554,5.24E-05,0.020267067
ENSCAFG00000019014,SEMA6B,137.662726,2.476131954,1.263019808,5.50E-05,0.020711212
ENSCAFG00000037735,NA,6682.605585,2.09570024,1.13610304,5.90E-05,0.021684114
ENSCAFG00000031968,C5H11orf52,25.67004943,3.186322071,1.664388168,6.44E-05,0.023090826
ENSCAFG00000048254,NA,153.418835,1.80319414,1.07625234,7.05E-05,0.024665204
ENSCAFG00000000367,ENPP3,65.03722027,-4.118320796,2.455907548,7.66E-05,0.0261856
ENSCAFG00000017404,SCPEP1,3975.830092,0.98990938,0.749066898,7.90E-05,0.026396001
ENSCAFG00000005040,KLF12,183.0970766,-1.333502332,0.922225259,8.37E-05,0.026445036
