cytokine,treatment,donor_1_modz,donor_2_modz,donor_3_modz,,mean
vegf,D-17 ,-0.403818274,-0.03050323,-1.03687511,,-0.490398871
vegf,1771 ,0.053240332,-0.930016855,-1.393076096,,-0.75661754
vegf,17CM98 ,-0.267293612,-0.187519858,-1.088952053,,-0.514588508
vegf,Abrams ,-0.208858853,-0.257476246,-0.645058107,,-0.370464402
vegf,Bliley ,-0.474335946,-0.041728909,-0.931680296,,-0.482581717
vegf,CLL1390 ,-0.112705813,-0.930016855,-1.02525143,,-0.689324699
vegf,CML-10C2 ,0,-0.741292788,-0.952233493,,-0.56450876
vegf,CML-6M ,2.986081528,1.07680791,-0.593450601,,1.156479612
vegf,CMT12,2.20264142,0.138422822,-0.375407102,,0.655219047
vegf,CMT27,2.20264142,-0.156710473,-0.602574016,,0.481118977
vegf,CTAC ,4.13344793,0.6745,-0.854896655,,1.317683758
vegf,DEN-HSA ,3.713362627,0.413533589,-0.654130496,,1.157588573
vegf,DH82 ,2.324368596,1.065020947,-0.039698082,,1.11656382
vegf,Gracie ,1.057856923,-0.03330965,-0.381601636,,0.214315212
vegf,HMPOS ,2.685590523,0.365110093,-0.572132017,,0.826189533
vegf,Jones ,8.081712985,2.092303205,0.277835545,,3.483950578
vegf,MacKinley,5.571916588,0.602492374,-0.412533483,,1.92062516
vegf,Nike ,3.64245716,2.791448672,0.036687559,,2.156864464
vegf,Moresco ,8.450578577,-0.360905566,-0.291469642,,2.599401123
vegf,OS2.4 ,5.95797788,1.533876721,-0.455711524,,2.345381026
vegf,OSA8 ,3.815067275,1.521763193,-0.131483312,,1.735115719
vegf,Parks ,3.937763942,0.680265917,-0.269620389,,1.449469823
vegf,STSA-1 ,3.361284527,1.07680791,0.123084463,,1.5203923
vegf,Vogel ,2.118928473,1.094503661,-0.514064643,,0.899789164
vegf,Yamane,2.608888522,0.631260727,-0.651109768,,0.86301316
il.8,D-17 ,0.188278552,1.107520891,0.982430362,,0.759409935
il.8,1771 ,0.227041783,-0.901442897,-1.651986072,,-0.775462395
il.8,17CM98 ,0.147735376,-0.011075209,1.495350975,,0.544003714
il.8,Abrams ,0.06793454,3.867818942,1.410408078,,1.782053853
il.8,Bliley ,0,0.022842618,1.196221448,,0.406354689
il.8,CLL1390 ,-0.003559889,-0.181752089,-0.37991922,,-0.188410399
il.8,CML-10C2 ,-0.133693593,0.155250696,0.639098886,,0.220218663
il.8,CML-6M ,0.07218663,0.183235376,2.399266017,,0.884896008
il.8,CMT12,-0.120937326,0.424417827,2.172224234,,0.825234912
il.8,CMT27,-0.096413649,-1.132143454,1.624396936,,0.131946611
il.8,CTAC ,-0.520534819,1.341286908,-0.500263231,,0.106829619
il.8,DEN-HSA ,-0.261157382,1.112564067,-0.019579387,,0.277275766
il.8,DH82 ,-0.775759053,0.820850975,0.072483287,,0.039191736
il.8,Gracie ,-0.567604457,-0.726513928,1.915615599,,0.207165738
il.8,HMPOS ,-0.322862117,0.433614206,-0.54614624,,-0.145131384
il.8,Jones ,-0.509064067,0.74055571,0.076339833,,0.102610492
il.8,MacKinley,-0.136066852,0.716229805,-0.500461003,,0.026567317
il.8,Nike ,-0.093941504,1.581876045,0.73116156,,0.7396987
il.8,Moresco ,-0.187388579,-1.604520891,0.803743733,,-0.329388579
il.8,OS2.4 ,-0.967993036,-0.134286908,-0.872667131,,-0.658315692
il.8,OSA8 ,-1.505733983,0.417495822,-0.6745,,-0.587579387
il.8,Parks ,-0.556034819,0.914199164,1.61866156,,0.658941968
il.8,STSA-1 ,-1.354735376,-1.016150418,1.13036351,,-0.413507428
il.8,Vogel ,-1.979594708,0.298832869,-0.712867688,,-0.797876509
il.8,Yamane,-1.829683844,0.820653203,-0.738973538,,-0.58266806
kc.like,D-17 ,2.072259036,2.86053012,0.284427711,,1.739072289
kc.like,1771 ,2.787391566,0.893915663,-2.492805723,,0.396167169
kc.like,17CM98 ,0.625740964,3.079945783,-0.04063253,,1.221684739
kc.like,Abrams ,0.926421687,5.526024096,0.845156627,,2.432534137
kc.like,Bliley ,1.86096988,-2.543758916,0,,-0.227596345
kc.like,CLL1390 ,2.559849398,-2.606983133,-1.140311325,,-0.39581502
kc.like,CML-10C2 ,0.479463855,-0.917076205,-0.397873735,,-0.278495362
kc.like,CML-6M ,1.040192771,-1.291139277,0.926421687,,0.225158394
kc.like,CMT12,0.991433735,-0.609813012,0.585108434,,0.322243052
kc.like,CMT27,2.218536145,-3.111557892,0.536349398,,-0.118890783
kc.like,CTAC ,0.195036145,0.381945783,-1.775560301,,-0.399526124
kc.like,DEN-HSA ,0.666373494,-0.618914699,-0.075088916,,-0.00921004
kc.like,DH82 ,0.495716867,-0.159035723,0.308807229,,0.215162791
kc.like,Gracie ,0.893915663,0.333186747,0.325060241,,0.51738755
kc.like,HMPOS ,0.63386747,-0.294098253,-1.425226627,,-0.361819137
kc.like,Jones ,0.690753012,-0.129699036,-0.575356627,,-0.00476755
kc.like,MacKinley,0.6745,-0.255741145,-1.628226747,,-0.403155964
kc.like,Nike ,1.527783133,-0.142782711,-0.393322892,,0.330559177
kc.like,Moresco ,0.381945783,-3.539580964,-0.689615301,,-1.282416827
kc.like,OS2.4 ,-0.184471687,-0.33757506,-0.420546687,,-0.314197811
kc.like,OSA8 ,0.788271084,-0.910981325,0.251921687,,0.043070482
kc.like,Parks ,1.332746988,-0.268012169,0.430704819,,0.498479879
kc.like,STSA-1 ,-2.243484518,-2.168476867,0.024379518,,-1.462527289
kc.like,Vogel ,-3.310819819,-0.137988072,-0.279551807,,-1.242786566
kc.like,Yamane,-1.516162229,-0.083621747,-0.874412048,,-0.824732008
il.10,D-17 ,0.161798199,-0.753835251,-0.50572463,,-0.365920561
il.10,1771 ,0.692724853,-0.623133583,-0.866432361,,-0.265613697
il.10,17CM98 ,1.502377475,5.427036383,-0.404976681,,2.174812392
il.10,Abrams ,1.664175673,7.484098983,0.039036071,,3.062436909
