"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME","NABA_MATRISOME",476,0.845454405667626,1.85663551198588,2.78220718876141e-09,1.55024584557786e-05,1.50239188193116e-05,275,"tags=9%, list=2%, signal=9%","CCL7/MMP9/LAMA4/CXCL14/MMP15/ACAN/NTN1/THBS2/COL14A1/COL5A3/ADAM8/TNFSF9/SEMA6B/SPP1/CXCL8/S100A12/COL8A1/MMP2/COLEC12/CTSK/CTHRC1/VWA2/SDC2/COL24A1/IL1B/NPNT/ADAMTS17/C1QL4/FBLN2/CLEC4D/C1QTNF6/ECM2/EBI3/NTF4/HBEGF/CXCL10/ADAM19/WNT4/TGM2/SEMA5A/NID1/CLEC2L/SERPINB2"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",206,0.901121039475936,1.83619250626082,2.38454356433257e-08,6.64333837023054e-05,6.43826762369794e-05,129,"tags=7%, list=1%, signal=7%","MMP9/LAMA4/MMP15/ACAN/COL14A1/COL5A3/ADAM8/SPP1/COL8A1/MMP2/CTSK/LRP4/SDC2/COL24A1/FBLN2"
"MARKEY_RB1_ACUTE_LOF_DN","MARKEY_RB1_ACUTE_LOF_DN",152,0.918841425743297,1.79281359955396,8.35815994735399e-08,0.000155238890755521,0.000150446879052372,196,"tags=9%, list=2%, signal=9%","CCL7/SMPDL3A/STAB1/CXCL14/CSF1R/ADAM8/TNFSF9/ABCA1/C5AR1/CLEC4D/GATM/GRN/CXCL10"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",86,0.945283388710441,1.78939770882154,3.49840683036385e-07,0.000487328071469684,0.00047228492209912,65,"tags=12%, list=1%, signal=12%","MMP9/MMP15/ACAN/COL14A1/COL5A3/ADAM8/SPP1/COL8A1/MMP2/CTSK"
"REACTOME_COLLAGEN_DEGRADATION","REACTOME_COLLAGEN_DEGRADATION",40,0.971177014474539,1.85370875499128,2.14123003267802e-06,0.00238618674841639,0.00231252843529226,65,"tags=18%, list=1%, signal=17%","MMP9/MMP15/COL14A1/COL5A3/COL8A1/MMP2/CTSK"
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN",70,0.947349406565777,1.80612684506057,2.74722494601168e-06,0.00255125623319618,0.00247250245141051,133,"tags=11%, list=1%, signal=11%","CCL7/MMP9/STAB1/MAF/C5AR1/ACP5/GPNMB/RTN1"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",323,0.845403396136001,1.80270276021662,3.6651500295407e-06,0.00291745942351439,0.00282740145135997,275,"tags=9%, list=2%, signal=9%","CCL7/MMP9/CXCL14/MMP15/ADAM8/TNFSF9/SEMA6B/CXCL8/S100A12/MMP2/COLEC12/CTSK/SDC2/IL1B/ADAMTS17/C1QL4/CLEC4D/C1QTNF6/EBI3/NTF4/HBEGF/CXCL10/ADAM19/WNT4/TGM2/SEMA5A/CLEC2L/SERPINB2"
"PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP","PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP",155,0.886780647802342,1.72951373435234,2.99023129394059e-05,0.0208269609622962,0.020184061234099,210,"tags=7%, list=2%, signal=7%","MMP9/LAMA4/ENPP2/DCLK1/CTHRC1/TAGLN/GPNMB/NR1H3/CXCL10/ADGRF5/C3"
"MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP","MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP",16,0.984805875078158,1.91500914652546,4.13798438782366e-05,0.0256187211210594,0.024827906326942,67,"tags=19%, list=1%, signal=19%","MMP9/CTSK/CTHRC1"
"BOQUEST_STEM_CELL_UP","BOQUEST_STEM_CELL_UP",174,0.873578267424049,1.73425305885486,5.54940735540803e-05,0.0309212977843336,0.0299667997192034,210,"tags=10%, list=2%, signal=10%","CXCL14/THBS2/COL14A1/DCLK1/BASP1/PCDH9/MAFB/MMP2/COLEC12/CTSK/MAN1C1/SDC2/CEBPB/F3/GPNMB/ECM2/GFPT2/C3"
