ID,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000001,ENPP1,378.5431019,-0.708574261,0.655649132,-1.080721725,0.279820916,0.744836398
ENSCAFG00000000002,NA,2.752245147,0.534126349,0.503734519,1.060333031,0.288993117,0.752033177
ENSCAFG00000000005,PARD6G,253.667519,-1.173271673,0.603486315,-1.94415622,0.051876615,0.427972533
ENSCAFG00000000007,ADNP2,876.0448836,0.163616521,0.140396889,1.165385653,0.243862922,0.719320287
ENSCAFG00000000008,TXNL4A,1461.83137,0.107012238,0.188066601,0.569012452,0.56934769,0.89083833
ENSCAFG00000000009,SLC66A2,1465.630183,-0.444987924,0.226784273,-1.962163945,0.0497434,0.423008761
ENSCAFG00000000010,CTDP1,2644.451944,0.015549389,0.170215083,0.091351417,0.927213364,0.988057861
ENSCAFG00000000011,NFATC1,1467.891571,0.284816169,0.606322074,0.46974402,0.638537914,0.912992561
ENSCAFG00000000012,ATP9B,1089.088643,0.005544913,0.225077807,0.02463554,0.980345671,0.997689763
ENSCAFG00000000013,SALL3,8.517804632,2.688695123,1.869354343,1.438301482,0.150348532,0.62066555
ENSCAFG00000000014,NA,50.89840845,-0.381679945,0.445612553,-0.856528708,0.391705401,0.81693457
ENSCAFG00000000015,GALR1,0.747936369,-1.710390859,2.037340812,-0.839521227,0.401176883,NA
ENSCAFG00000000016,MBP,383.0929955,1.230924354,0.884440039,1.391755574,0.163996427,0.639087998
ENSCAFG00000000017,ZNF236,569.8181063,0.671390252,0.267040648,2.514187475,0.011930699,0.244190162
ENSCAFG00000000019,ZNF516,750.7797654,-0.533020293,0.411017888,-1.296829916,0.194689715,0.677787809
ENSCAFG00000000020,TSHZ1,1431.62719,0.691657228,0.325249272,2.126545049,0.033457902,0.365382618
ENSCAFG00000000021,ZADH2,658.0037674,0.575491559,0.251657206,2.286807387,0.022207068,0.317162486
ENSCAFG00000000022,ZNF407,695.6458768,0.011854323,0.16645866,0.071214819,0.943226788,0.991327038
ENSCAFG00000000024,CNDP1,4.683337703,0.487647828,0.629461823,0.774705963,0.438513427,0.840004273
ENSCAFG00000000025,DIPK1C,0.849485316,0.79361807,2.348356308,0.337946191,0.735403738,NA
ENSCAFG00000000026,CYB5A,2992.250127,-0.348387224,0.442494039,-0.787326367,0.431090839,0.837154827
ENSCAFG00000000027,NA,35.63322713,0.16918737,0.287559058,0.588356951,0.556292727,0.885920083
ENSCAFG00000000028,TIMM21,1362.424594,0.187013072,0.201565395,0.927803463,0.353509527,0.794822808
ENSCAFG00000000029,FBXO15,18.06687526,-0.663893451,0.436544437,-1.520792373,0.128311949,0.588180716
ENSCAFG00000000030,NA,75.71371435,-0.128022678,0.226819061,-0.564426453,0.57246394,0.892457801
ENSCAFG00000000031,NETO1,537.4181055,0.858607642,1.489328259,0.576506648,0.564272778,0.888080911
ENSCAFG00000000032,CBLN2,2.218465379,1.590111767,1.739827586,0.913947899,0.360744223,NA
ENSCAFG00000000033,NA,73.10095964,-0.087109476,0.24329945,-0.358034005,0.720317866,0.937209775
ENSCAFG00000000036,NA,486.7812012,0.25972021,0.235035759,1.105024238,0.269149087,0.735888334
ENSCAFG00000000037,SOCS6,869.2497251,0.354868002,0.212679934,1.668554225,0.095205757,0.530178911
ENSCAFG00000000038,RTTN,4.32811402,0.127134707,0.943479322,0.13475092,0.892808812,0.981845828
ENSCAFG00000000039,CD226,184.026936,-0.686590195,1.428144767,-0.480756721,0.630689413,0.912161571
ENSCAFG00000000040,DOK6,2.28257861,-1.84594696,0.92977817,-1.985362767,0.047104125,NA
ENSCAFG00000000042,CCDC102B,10.908015,-0.126362396,0.281856583,-0.448321605,0.653921111,0.916587521
ENSCAFG00000000043,NA,681.6208945,-0.107336574,0.243360033,-0.441060814,0.659168972,0.91970091
ENSCAFG00000000044,TMX3,7.829660946,-0.072130081,0.385020451,-0.187340908,0.851393351,0.974453972
ENSCAFG00000000045,NA,6.240307454,-0.933879065,0.716733596,-1.302965384,0.19258658,0.676982178
ENSCAFG00000000047,NA,348.8240401,-0.027661069,0.95709134,-0.028901179,0.976943405,0.997623851
ENSCAFG00000000049,NA,34.06324205,-0.396586143,0.334023175,-1.18730128,0.235108804,0.709593645
ENSCAFG00000000052,NA,0.175124368,0.892696251,3.158006234,0.282677166,0.777424322,NA
ENSCAFG00000000054,NA,238.3873891,0.219033019,0.202679858,1.080684687,0.279837397,0.744836398
ENSCAFG00000000056,CDH19,5.120799146,3.093245524,1.531599028,2.019618364,0.043422989,0.403038298
ENSCAFG00000000058,NA,1380.250352,-0.972481767,0.914673443,-1.063201053,0.287690785,0.750790726
ENSCAFG00000000059,CDH7,857.9716682,-0.02713646,1.215393519,-0.022327304,0.982186869,0.997689763
ENSCAFG00000000060,SERPINB8,725.2304935,-1.737868848,0.810058834,-2.145361268,0.031923973,0.362028181
ENSCAFG00000000061,SERPINB2,283.2801997,0.21541669,0.29647466,0.726593935,0.467474745,0.853192051
ENSCAFG00000000062,ITGA7,5.283273643,0.980972994,1.410337914,0.695558833,0.486705155,0.859345217
ENSCAFG00000000063,NA,258.0913586,0.439404432,0.359289369,1.222982003,0.221336494,0.701404579
ENSCAFG00000000064,NA,14332.01078,-0.238269423,0.295725396,-0.805711737,0.42040908,0.832350205
ENSCAFG00000000065,RDH5,445.4989848,-0.486538065,0.456892672,-1.064884805,0.286928062,0.750322902
ENSCAFG00000000066,CD63,1935.573991,0.124653922,0.14815326,0.841384947,0.400132316,0.822597578
