"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","fdrtool_qvalue","BH_qvalue"
"ENSCAFG00000014475","HOMER3",0.739313093980945,5.56552361776639e-05,0.359422869774498,0.371538976562686
"ENSCAFG00000005186",NA,-0.724981489886394,9.10203294795952e-05,0.359422869774498,0.371538976562686
"ENSCAFG00000011629","CLCF1",0.732213438735178,0.00010970060642256,0.359422869774498,0.371538976562686
"ENSCAFG00000006238",NA,-0.710155692547204,0.000146855262309045,0.359422869774498,0.371538976562686
"ENSCAFG00000002588","IL11",0.719367588932806,0.00016544150235364,0.359422869774498,0.371538976562686
"ENSCAFG00000006505","SIGIRR",0.699283441165131,0.000204852231460164,0.359422869774498,0.371538976562686
"ENSCAFG00000043730",NA,-0.710474308300395,0.000216413606023912,0.359422869774498,0.371538976562686
"ENSCAFG00000041383",NA,-0.693847315474095,0.000240662439747297,0.359422869774498,0.371538976562686
"ENSCAFG00000012082","SEMA4B",0.705533596837945,0.000249974862935273,0.359422869774498,0.371538976562686
"ENSCAFG00000019976",NA,-0.691908981674704,0.000254682262553312,0.359422869774498,0.371538976562686
"ENSCAFG00000041482",NA,-0.691052976173537,0.00026109555696076,0.359422869774498,0.371538976562686
"ENSCAFG00000014406","GPR82",-0.69082112036464,0.000262856546040009,0.359422869774498,0.371538976562686
"ENSCAFG00000041885",NA,-0.689416756634941,0.00027374451038929,0.359422869774498,0.371538976562686
"ENSCAFG00000023978",NA,0.686855486527457,0.000294610414131989,0.359422869774498,0.371538976562686
"ENSCAFG00000048492",NA,-0.684302129655081,0.000316768427649419,0.359422869774498,0.371538976562686
"ENSCAFG00000024246","LRRC8D",0.695652173913043,0.000330240493228606,0.359422869774498,0.371538976562686
"ENSCAFG00000028473",NA,0.693675889328063,0.000348635095140667,0.359422869774498,0.371538976562686
"ENSCAFG00000016399","LFNG",0.690711462450593,0.000377832119559568,0.359422869774498,0.371538976562686
"ENSCAFG00000006668","KBTBD8",-0.677706459466323,0.000380798242884116,0.359422869774498,0.371538976562686
"ENSCAFG00000015750","IQSEC3",0.676592628773718,0.000392646556671833,0.359422869774498,0.371538976562686
"ENSCAFG00000032015",NA,-0.676056358667067,0.000398463740759737,0.359422869774498,0.371538976562686
