"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","fdrtool_qvalue","BH_qvalue"
"ENSCAFG00000015053","SPINDOC",-0.748208572384458,4.03609846634954e-05,0.999999999999033,0.790308440695903
"ENSCAFG00000003641",NA,-0.713584158181892,0.000131817609818247,0.999999999999706,1
"ENSCAFG00000013178","OLA1",-0.687747035573123,0.000409052102370442,0.999999999999908,1
"ENSCAFG00000013332","ATF2",-0.684782608695652,0.00044240835422044,0.999999999999915,1
"ENSCAFG00000018759","ZNF280C",-0.676877470355731,0.000542717748546899,0.999999999999931,1
"ENSCAFG00000002986","PUS10",0.664359942759109,0.000545231778186244,0.999999999999931,1
"ENSCAFG00000003487","SLC66A3",-0.673913043478261,0.000584957759057719,0.999999999999936,1
"ENSCAFG00000000885","DEPTOR",0.671936758893281,0.000614627210412776,0.999999999999939,1
"ENSCAFG00000014604","NUDT13",-0.658922472989503,0.000627966798243658,0.999999999999941,1
"ENSCAFG00000013058","DUSP12",0.6699604743083,0.000645553243906144,0.999999999999943,1
"ENSCAFG00000014716","PSME3",0.66699604743083,0.000694393413452482,0.999999999999947,1
"ENSCAFG00000009410","ZDHHC13",-0.654311855902922,0.000706363941923092,0.999999999999948,1
"ENSCAFG00000013736","SPATA5L1",0.66501976284585,0.000728652860075914,0.999999999999949,1
"ENSCAFG00000000071",NA,0.662055335968379,0.000782706595305481,0.999999999999953,1
"ENSCAFG00000006096","NDUFAF7",0.648875730211885,0.000809466976675621,0.999999999999955,1
"ENSCAFG00000009313","PHF21A",-0.645081640848688,0.000888850306709802,0.999999999999959,1
"ENSCAFG00000006082","CARS2",-0.653162055335968,0.000965590709685871,0.999999999999963,1
"ENSCAFG00000005800","GPR18",-0.641147063981943,0.000978129354300018,0.999999999999963,1
"ENSCAFG00000016300","PTGER1",-0.640458579030339,0.000994515521742167,0.999999999999964,1
"ENSCAFG00000029337","CEP20",0.638655540211881,0.00103854626220485,0.999999999999966,1
"ENSCAFG00000032305","ZNF473",0.647233201581028,0.00110653777174393,0.999999999999968,1
"ENSCAFG00000016007","KRT10",0.635038319361974,0.00113192880731546,0.999999999999969,1
"ENSCAFG00000041662",NA,0.629059927471835,0.00130200594103499,0.999999999999973,1
"ENSCAFG00000020277","LHX6",-0.623177681490622,0.001490169513767,0.999999999999977,1
"ENSCAFG00000006362","NPHP3",-0.619718328778145,0.00161128863126515,0.999999999999979,1
"ENSCAFG00000001139","ST13",0.628458498023715,0.00167288186294907,0.99999999999998,1
"ENSCAFG00000029815","COMMD6",-0.615764782821027,0.0017598753270134,0.999999999999981,1
"ENSCAFG00000032734","KCNK13",-0.613684231448794,0.00184264010279255,0.999999999999982,1
"ENSCAFG00000014972","NAGLU",0.617588932806324,0.00210059022445787,0.999999999999985,1
"ENSCAFG00000017868",NA,0.606869304417513,0.00213729503887776,0.999999999999985,1
"ENSCAFG00000023429",NA,0.602728808619639,0.00233512071984354,0.999999999999986,1
"ENSCAFG00000036065",NA,0.601275870461287,0.00240811743126221,0.999999999999987,1
"ENSCAFG00000036621",NA,-0.598862566399422,0.00253363212040498,0.999999999999988,1
"ENSCAFG00000014339","SLC29A3",-0.59747963276936,0.00260802025953318,0.999999999999988,1
"ENSCAFG00000007935","TRPC1",-0.596638728355836,0.00265414913939863,0.999999999999988,1
"ENSCAFG00000047397",NA,-0.596347571152094,0.00267028083926356,0.999999999999989,1
"ENSCAFG00000000934","COL14A1",0.604743083003953,0.00272171760287645,0.999999999999989,1
"ENSCAFG00000023541",NA,0.594941018041199,0.00274938388072321,0.999999999999989,1
"ENSCAFG00000024064","UNC13A",0.593798701074033,0.00281507507391482,0.999999999999989,1
"ENSCAFG00000010757","CPT1A",-0.598814229249012,0.00305680981094779,0.99999999999999,1
"ENSCAFG00000018775","LONP1",0.595849802371542,0.00323698458752963,0.999999999999991,1
"ENSCAFG00000014811","JADE3",-0.583292211648622,0.00348397059050251,0.999999999999992,1
"ENSCAFG00000007190","CLVS1",0.579480999916872,0.0037575533157817,0.999999999999993,1
"ENSCAFG00000014014","AIFM2",-0.587944664031621,0.00376175342373973,0.999999999999993,1
"ENSCAFG00000023153","CCDC152",0.57791060436937,0.0038754211932931,0.999999999999993,1
"ENSCAFG00000007569","CEP70",-0.576723516494493,0.00396656772371876,0.999999999999993,1
"ENSCAFG00000002820","SPACA6",0.576229323249854,0.00400503996024869,0.999999999999993,1
"ENSCAFG00000016423","PIGH",-0.58102766798419,0.00427798566929964,0.999999999999994,1
"ENSCAFG00000011415","MCUB",-0.5800395256917,0.00435637732967751,0.999999999999994,1
"ENSCAFG00000018493","CD320",0.5800395256917,0.00435637732967751,0.999999999999994,1
"ENSCAFG00000029711","ZNF2",0.570510277244221,0.00447354107967096,0.999999999999994,1
"ENSCAFG00000006031","LIG4",-0.568322231335619,0.0046645331053415,0.999999999999995,1
"ENSCAFG00000013169","SP3",-0.576086956521739,0.00468213604350978,0.999999999999995,1
"ENSCAFG00000014364","GRPEL1",0.573122529644269,0.00493967724208213,0.999999999999995,1
"ENSCAFG00000002993","SMAP2",-0.571146245059289,0.00511789773672331,0.999999999999996,1
"ENSCAFG00000044593",NA,-0.562872390692957,0.00517013623781243,0.999999999999996,1
"ENSCAFG00000030456","LZIC",0.561542332570199,0.00530025082265264,0.999999999999996,1
"ENSCAFG00000007586","MAST4",0.568181818181818,0.00539533260950954,0.999999999999996,1
"ENSCAFG00000018972","EFCAB5",-0.568181818181818,0.00539533260950954,0.999999999999996,1
"ENSCAFG00000038813",NA,-0.559884946297968,0.00546620514171207,0.999999999999996,1
"ENSCAFG00000018942","PLIN3",0.567193675889328,0.00549056943107217,0.999999999999996,1
"ENSCAFG00000019659","MED16",0.567193675889328,0.00549056943107217,0.999999999999996,1
"ENSCAFG00000042595",NA,-0.567193675889328,0.00549056943107219,0.999999999999996,1
"ENSCAFG00000016880","ATP5MC1",0.565217391304348,0.00568527859437405,0.999999999999996,1
"ENSCAFG00000041872","ALDH4A1",0.565217391304348,0.00568527859437405,0.999999999999996,1
"ENSCAFG00000000938","MCM9",-0.556874654211581,0.00577872796650416,0.999999999999996,1
"ENSCAFG00000014221","ARHGAP20",0.556851929711496,0.00578114266983739,0.999999999999996,1
"ENSCAFG00000043343",NA,-0.556591343179226,0.00580889279096858,0.999999999999996,1
"ENSCAFG00000009120","RIOX2",-0.563241106719368,0.00588574546583238,0.999999999999997,1
"ENSCAFG00000013365",NA,0.553496433996429,0.00614705807033315,0.999999999999997,1
"ENSCAFG00000023542",NA,-0.553437262672401,0.00615367980700753,0.999999999999997,1
"ENSCAFG00000048884",NA,0.553424024203241,0.00615516210911452,0.999999999999997,1
"ENSCAFG00000017271","DIS3L",-0.560276679841897,0.0061975357986353,0.999999999999997,1
"ENSCAFG00000001991",NA,0.552150339331789,0.00629917368200618,0.999999999999997,1
"ENSCAFG00000014147","RPL10L",0.55157370994236,0.00636528798530705,0.999999999999997,1
"ENSCAFG00000013108","AP3B2",0.550789709192067,0.00645610464500695,0.999999999999997,1
"ENSCAFG00000045047",NA,-0.550637807489425,0.00647382467351504,0.999999999999997,1
"ENSCAFG00000003953",NA,-0.550531274528591,0.00648627636524352,0.999999999999997,1
"ENSCAFG00000016472","MFN2",0.557312252964427,0.00652304583326937,0.999999999999997,1
"ENSCAFG00000000160","NAB2",0.556324110671937,0.00663467945959352,0.999999999999997,1
"ENSCAFG00000017415","ZC3H14",-0.556324110671937,0.00663467945959352,0.999999999999997,1
"ENSCAFG00000003342","NAPSA",0.548907049465947,0.00667859989222196,0.999999999999997,1
"ENSCAFG00000025287","GZMB",-0.547990242365764,0.00678923670099189,0.999999999999997,1
"ENSCAFG00000029700","LPAR6",0.547640369348556,0.00683185781188952,0.999999999999997,1
"ENSCAFG00000000259","OS9",0.554347826086957,0.00686274869019326,0.999999999999998,1
"ENSCAFG00000004854","ATP6V0B",0.554347826086957,0.00686274869019326,0.999999999999998,1
"ENSCAFG00000005949",NA,-0.554347826086957,0.00686274869019326,0.999999999999998,1
"ENSCAFG00000025044",NA,-0.554347826086957,0.00686274869019326,0.999999999999998,1
"ENSCAFG00000004840","INHBB",-0.546129529681923,0.00701846941029985,0.999999999999998,1
"ENSCAFG00000000318","PLAGL1",-0.551383399209486,0.00721712844809956,0.999999999999998,1
"ENSCAFG00000013776","DDX50",-0.551383399209486,0.00721712844809956,0.999999999999998,1
"ENSCAFG00000007207","LATS2",0.549407114624506,0.00746177949000614,0.999999999999998,1
"ENSCAFG00000004944","PCDH9",0.548418972332016,0.00758668020119448,0.999999999999998,1
"ENSCAFG00000014029","IL1RAP",0.548418972332016,0.00758668020119448,0.999999999999998,1
"ENSCAFG00000007298","TCP11L1",-0.547430830039526,0.00771332283817761,0.999999999999998,1
"ENSCAFG00000014554","ACOX3",0.538176443412599,0.0080720283422683,0.999999999999998,1
"ENSCAFG00000000367","ENPP3",-0.53805016020177,0.0080897581116823,0.999999999999998,1
"ENSCAFG00000007553","MRPL35",0.543478260869565,0.00823769511723212,0.999999999999998,1
"ENSCAFG00000000751","TNXB",-0.543478260869565,0.00823769511723213,0.999999999999998,1
"ENSCAFG00000013688","USP28",-0.543478260869565,0.00823769511723213,0.999999999999998,1
"ENSCAFG00000016833","SNX11",0.53669386367868,0.0082822199728054,0.999999999999998,1
"ENSCAFG00000000613",NA,-0.536078709496208,0.00837075296601379,0.999999999999999,1
"ENSCAFG00000014163","UBE2E3",-0.541501976284585,0.00851083387680521,0.999999999999998,1
"ENSCAFG00000044362",NA,-0.541501976284585,0.00851083387680521,0.999999999999998,1
"ENSCAFG00000009850","DNAH5",0.533728704210842,0.00871620989740758,0.999999999999999,1
"ENSCAFG00000045281",NA,-0.532407751558354,0.00891551352053648,0.999999999999999,1
"ENSCAFG00000008333","TMEM161B",0.538537549407115,0.0089346770110611,0.999999999999999,1
"ENSCAFG00000012992","SDHC",0.536561264822134,0.00922689719452662,0.999999999999999,1
"ENSCAFG00000019122","NAGPA",0.536561264822134,0.00922689719452662,0.999999999999999,1
"ENSCAFG00000007250","IFT88",-0.529906144819765,0.00930327609511237,0.999999999999999,1
"ENSCAFG00000025324","CLEC4D",0.529863599233318,0.00930998936775085,0.999999999999999,1
"ENSCAFG00000010012",NA,0.529673849609772,0.00933997869675437,0.999999999999999,1
"ENSCAFG00000004005","CCN6",-0.528786771764446,0.00948123848030548,0.999999999999999,1
"ENSCAFG00000008265","HK2",0.534584980237154,0.00952703456654846,0.999999999999999,1
"ENSCAFG00000009869","EHD4",0.534584980237154,0.00952703456654846,0.999999999999999,1
"ENSCAFG00000023629","BSCL2",-0.534584980237154,0.00952703456654846,0.999999999999999,1
"ENSCAFG00000000564","SCO2",0.528292578519806,0.00956069630609293,0.999999999999999,1
"ENSCAFG00000012051","PDIA5",-0.533596837944664,0.00968012397366162,0.999999999999999,1
"ENSCAFG00000013745","BLOC1S6",0.533596837944664,0.00968012397366162,0.999999999999999,1
"ENSCAFG00000046991",NA,0.526614683241583,0.00983458380332344,0.999999999999999,1
"ENSCAFG00000006085","CEBPZ",0.532608695652174,0.00983525508505557,0.999999999999999,1
"ENSCAFG00000008823","FAM151B",0.532608695652174,0.00983525508505557,0.999999999999999,1
"ENSCAFG00000000620","PPP6R2",0.531620553359684,0.00999244899131741,0.999999999999999,1
"ENSCAFG00000005072","FBXL3",-0.525327419051968,0.0100490651470268,0.999999999999999,1
"ENSCAFG00000046669",NA,0.52496299048376,0.0101104807118412,0.999999999999999,1
"ENSCAFG00000037122",NA,-0.524865030200092,0.0101270421685261,0.999999999999999,1
"ENSCAFG00000046073",NA,0.524860229841779,0.010127854305517,0.999999999999999,1
"ENSCAFG00000031355",NA,0.524826522035898,0.0101335585905046,0.999999999999999,1
"ENSCAFG00000029889","SRP14",0.530632411067194,0.0101517269213635,0.999999999999999,1
"ENSCAFG00000004165","NDNF",0.524315979895954,0.0102202804994334,0.999999999999999,1
"ENSCAFG00000018348","CCL7",0.523974359616559,0.010278649624415,0.999999999999999,1
"ENSCAFG00000049479",NA,-0.523844884368799,0.0103008433456204,0.999999999999999,1
"ENSCAFG00000001293","HSPA9",0.529644268774703,0.0103131102424149,0.999999999999999,1
"ENSCAFG00000017935","EDC3",0.528656126482213,0.0104766204599605,0.999999999999999,1
"ENSCAFG00000003686","DDX1",0.527667984189723,0.0106422792177083,0.999999999999999,1
"ENSCAFG00000024306","AGO4",-0.527667984189723,0.0106422792177083,0.999999999999999,1
"ENSCAFG00000047873",NA,0.521760888271064,0.0106635317874393,0.999999999999999,1
"ENSCAFG00000019198",NA,-0.521373873094851,0.0107320291085114,1,1
"ENSCAFG00000007162","SLC35A4",0.525691699604743,0.0109801296193574,1,1
"ENSCAFG00000000277","CCDC28A",-0.519891293360932,0.0109977873195916,1,1
"ENSCAFG00000033464",NA,0.518379273552869,0.0112743722942393,1,1
"ENSCAFG00000019819","SPATA2L",0.523715415019763,0.0113268373587678,1,1
"ENSCAFG00000047932",NA,0.518041313184077,0.011336968398409,1,1
"ENSCAFG00000006835","NR1H4",-0.517932624616824,0.0113571599733376,1,1
"ENSCAFG00000045569",NA,-0.517456100188186,0.0114460351495136,1,1
"ENSCAFG00000009018",NA,0.517420327137733,0.0114527300624474,1,1
"ENSCAFG00000030421","NSG2",-0.517168962082738,0.0114998636981819,1,1
"ENSCAFG00000008810","TMEM192",-0.522727272727273,0.0115035683058265,1,1
"ENSCAFG00000001873","TCP11L2",-0.516926133893094,0.0115455477514627,1,1
"ENSCAFG00000006417","LZTS3",0.516431940648454,0.0116389822775859,1,1
"ENSCAFG00000004237","KIAA1217",0.521739130434783,0.0116825805536312,1,1
"ENSCAFG00000007088","UBXN2B",0.521739130434783,0.0116825805536312,1,1
"ENSCAFG00000013640","RBM45",-0.521739130434783,0.0116825805536312,1,1
"ENSCAFG00000019515","DPP7",0.515937747403814,0.0117330367110834,1,1
"ENSCAFG00000019537","C8G",-0.515344793928152,0.011846709551946,1,1
"ENSCAFG00000029822","VPS26B",-0.520750988142292,0.0118638967110069,1,1
"ENSCAFG00000029883","SLC25A36",-0.515076681811749,0.0118984041777116,1,1
"ENSCAFG00000048713",NA,0.514516479907696,0.0120070140797975,1,1
"ENSCAFG00000015021","USP11",-0.519762845849802,0.0120475395241557,1,1
