ensembl_gene_id,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000032734,KCNK13,108.3747701,-25.02750535,2.492072327,-10.04284871,9.88E-24,1.73E-19
ENSCAFG00000031869,NA,715.7844296,27.35791477,2.994950482,9.134680168,6.56E-20,5.74E-16
ENSCAFG00000008862,NAA11,186.8632127,25.49491768,2.9950544,8.512338769,1.70E-17,7.46E-14
ENSCAFG00000018167,CCL3,375.037279,25.53049651,2.994983845,8.524418772,1.54E-17,7.46E-14
ENSCAFG00000029170,NA,112.2751735,-25.07969356,3.011651653,-8.327554596,8.25E-17,2.89E-13
ENSCAFG00000003864,CLEC5A,94.10076047,24.29536027,2.995192993,8.11145069,5.00E-16,1.46E-12
ENSCAFG00000037290,NA,51.65161577,23.70689226,2.957161269,8.016773557,1.09E-15,2.72E-12
ENSCAFG00000048256,NA,50.36190581,-23.97658572,3.011941078,-7.960509553,1.71E-15,3.75E-12
ENSCAFG00000038521,NA,42.11973287,23.4228104,2.995537611,7.81923429,5.31E-15,1.03E-11
ENSCAFG00000046309,NA,21.19923359,-22.80891746,3.012662896,-7.571015493,3.70E-14,6.48E-11
ENSCAFG00000045561,NA,23.45762276,22.60546276,2.996033885,7.545129206,4.52E-14,6.66E-11
ENSCAFG00000048884,NA,23.14958791,22.57031795,2.991874588,7.543871671,4.56E-14,6.66E-11
ENSCAFG00000044417,NA,21.12788399,22.45837745,2.996157401,7.495726843,6.59E-14,8.88E-11
ENSCAFG00000008567,SUCNR1,15.69965452,22.04502496,2.996587234,7.356710562,1.88E-13,2.36E-10
ENSCAFG00000038194,NA,11.92511179,-22.02903432,3.013632867,-7.309793626,2.68E-13,3.12E-10
ENSCAFG00000001991,NA,22.73380945,3.347255248,0.580514616,5.766013735,8.12E-09,8.88E-06
ENSCAFG00000023928,CCL8,462.3794116,11.04365176,2.133173654,5.177099264,2.25E-07,0.000232097
ENSCAFG00000015708,ACTA2,4780.800321,-7.558547686,1.527604613,-4.947973855,7.50E-07,0.000729403
ENSCAFG00000009273,STAB1,372.7278324,7.618070907,1.56187111,4.877528535,1.07E-06,0.000989878
ENSCAFG00000018348,CCL7,4954.643946,7.979123475,1.713643595,4.656232778,3.22E-06,0.002819206
ENSCAFG00000018277,NA,4264.954025,3.147776164,0.689946754,4.562346507,5.06E-06,0.00421735
ENSCAFG00000042676,NA,203.0360262,5.996814947,1.330267666,4.507976177,6.54E-06,0.005208544
ENSCAFG00000008740,CIAPIN1,2328.842218,0.724767097,0.161597052,4.485026712,7.29E-06,0.00554964
ENSCAFG00000037122,NA,43.88643226,-7.85396912,1.769953311,-4.437387738,9.11E-06,0.006642622
ENSCAFG00000013332,ATF2,777.430749,-0.896237909,0.203340447,-4.407573223,1.05E-05,0.007039244
ENSCAFG00000034733,NA,13.40248115,5.322231595,1.205873906,4.413588824,1.02E-05,0.007039244
ENSCAFG00000001873,TCP11L2,71.6142807,-1.394573093,0.317979463,-4.385733221,1.16E-05,0.007164818
ENSCAFG00000011008,CAMKV,105.5005279,6.920553105,1.579042721,4.382752293,1.17E-05,0.007164818
ENSCAFG00000018219,CSF1R,2980.946811,7.557557812,1.725468165,4.380004202,1.19E-05,0.007164818
ENSCAFG00000020082,DNM1,294.3564417,3.536442648,0.817337213,4.326785312,1.51E-05,0.008829944
ENSCAFG00000016764,SLC49A3,204.7852288,9.326763459,2.175071608,4.288025932,1.80E-05,0.010181074
ENSCAFG00000008901,BPI,2732.188985,10.60113227,2.479851628,4.274905864,1.91E-05,0.010462019
