GeneID,GeneName,Spearman_Correlation_Coefficient,P_value,qvalue
ENSCAFG00000014475,HOMER3,0.744987321,6.96E-05,0.445132685
ENSCAFG00000005186,NA,-0.739339199,8.44E-05,0.445132685
ENSCAFG00000002085,NA,-0.721107917,0.00015265,0.445132685
ENSCAFG00000041482,NA,-0.710169605,0.000213171,0.445132685
ENSCAFG00000043730,NA,-0.718802936,0.000244626,0.445132685
ENSCAFG00000006668,KBTBD8,-0.704519886,0.000251849,0.445132685
ENSCAFG00000011629,CLCF1,0.717673631,0.000252831,0.445132685
ENSCAFG00000014406,GPR82,-0.700865866,0.000279968,0.445132685
ENSCAFG00000048492,NA,-0.698908758,0.000296113,0.445132685
ENSCAFG00000002588,IL11,0.712027103,0.000297331,0.445132685
ENSCAFG00000006238,NA,-0.697543095,0.000307848,0.445132685
ENSCAFG00000041383,NA,-0.69641347,0.000317855,0.445132685
ENSCAFG00000012082,SEMA4B,0.708639187,0.000326994,0.445132685
ENSCAFG00000006505,SIGIRR,0.692459785,0.000355121,0.445132685
ENSCAFG00000016399,LFNG,0.699604743,0.000418253,0.445132685
ENSCAFG00000030542,FEN1,0.699604743,0.000418253,0.445132685
ENSCAFG00000041885,NA,-0.685133281,0.000434183,0.445132685
ENSCAFG00000004616,RAB30,-0.684552414,0.000441052,0.445132685
ENSCAFG00000028473,NA,0.697346132,0.000444089,0.445132685
ENSCAFG00000024246,LRRC8D,0.69282891,0.000499743,0.458362468
ENSCAFG00000023978,NA,0.673099368,0.000596888,0.476764876
ENSCAFG00000031063,SBK3,-0.668925702,0.000664357,0.486979012
ENSCAFG00000000016,MBP,0.681535855,0.000664708,0.487027742
ENSCAFG00000032015,NA,-0.664783986,0.000737658,0.496326817
ENSCAFG00000015750,IQSEC3,0.663648353,0.000758924,0.498758372
ENSCAFG00000005051,SCN5A,0.662323623,0.000784392,0.501525482
ENSCAFG00000029475,B3GALT5,0.661003978,0.000810485,0.504209131
ENSCAFG00000047338,NA,-0.657547446,0.000882371,0.510904498
ENSCAFG00000019976,NA,-0.657427032,0.00088497,0.511129258
ENSCAFG00000049343,NA,-0.65552053,0.000927003,0.514613995
ENSCAFG00000036060,NA,-0.653489319,0.000973647,0.518177312
ENSCAFG00000013252,NMNAT2,0.653487741,0.000973684,0.518180021
ENSCAFG00000029293,NA,-0.651628308,0.001018125,0.521311277
ENSCAFG00000047812,NA,0.650625484,0.001042802,0.522949689
ENSCAFG00000002413,DST,-0.662337662,0.0010486,0.523324889
ENSCAFG00000045162,NA,-0.649717618,0.00106558,0.524403237
ENSCAFG00000031891,NA,-0.649134748,0.001080426,0.525321784
ENSCAFG00000044756,NA,-0.648436306,0.001098448,0.526407567
ENSCAFG00000029513,ZNF829,-0.660079051,0.001103964,0.526733733
ENSCAFG00000006853,NA,-0.647625367,0.001119692,0.527648126
ENSCAFG00000006033,ZNF605,-0.645762815,0.001169815,0.530417341
ENSCAFG00000036528,NA,0.645127919,0.001187331,0.53133633
ENSCAFG00000042282,NA,0.641626929,0.001287979,0.536184603
ENSCAFG00000023521,NA,-0.641185861,0.001301158,0.536769857
ENSCAFG00000001857,NA,-0.641019644,0.001306155,0.536988969
ENSCAFG00000014466,NA,-0.640614833,0.001318391,0.537519318
ENSCAFG00000013016,NA,0.639976581,0.001337882,0.538346127
ENSCAFG00000017367,NIPAL4,0.639292438,0.001359046,0.539219791
ENSCAFG00000042844,NA,-0.636575293,0.00144593,0.543318958
ENSCAFG00000009390,PPP3CC,-0.647656691,0.00145416,0.54368486
ENSCAFG00000028827,UBE2V2,-0.646527386,0.001490147,0.545242813
ENSCAFG00000007885,SLC12A6,-0.64539808,0.001526877,0.546765792
ENSCAFG00000030761,ZNF835,-0.632376031,0.001589462,0.549216426
ENSCAFG00000012052,IDH2,-0.643139469,0.001602616,0.549709788
ENSCAFG00000031168,ZNF454,-0.631967293,0.001604056,0.549763365
ENSCAFG00000015235,SLC19A2,0.63033044,0.001663643,0.551907406
ENSCAFG00000030391,NA,-0.628248688,0.001742127,0.554530085
ENSCAFG00000019183,PODN,-0.626165808,0.001823768,0.557041898
ENSCAFG00000031252,ZNF252,-0.635234331,0.001892984,0.559017613
ENSCAFG00000049158,NA,0.621344437,0.002025248,0.562450359
ENSCAFG00000034268,NA,0.621143347,0.002034044,0.562664205
ENSCAFG00000044731,NA,0.620904054,0.002044554,0.562917498
ENSCAFG00000044701,NA,0.620208045,0.002075382,0.563646994
ENSCAFG00000029650,NA,-0.619579857,0.002103543,0.56429626
ENSCAFG00000001141,NDRG1,0.629587804,0.002126352,0.564810616
ENSCAFG00000050032,NA,-0.616650263,0.002239172,0.567212911
ENSCAFG00000000027,NA,-0.616384279,0.002251843,0.567468886
ENSCAFG00000017910,CCDC69,0.615645322,0.002287364,0.568172531
ENSCAFG00000031993,ZNF875,-0.625070582,0.002329987,0.56899072
ENSCAFG00000009983,ZNF423,0.613514891,0.00239243,0.570140708
ENSCAFG00000047849,NA,0.611691637,0.00248555,0.571756143
ENSCAFG00000012151,NUP133,0.621682665,0.002493225,0.571884297
ENSCAFG00000049624,NA,-0.611299533,0.00250597,0.572095497
ENSCAFG00000030470,NA,0.610853455,0.002529372,0.572478162
ENSCAFG00000019533,PTGDS,-0.610588399,0.002543365,0.572703836
ENSCAFG00000001511,IL2RB,0.60718466,0.002728927,0.575492359
ENSCAFG00000004047,NA,0.605767786,0.00280946,0.576595391
ENSCAFG00000019156,GABRE,-0.605417867,0.002829654,0.576862767
ENSCAFG00000045995,NA,-0.604805665,0.002865278,0.577325839
ENSCAFG00000002800,NA,-0.604349078,0.002892092,0.577667338
ENSCAFG00000013243,LAMC2,0.604236168,0.002898755,0.577751282
ENSCAFG00000003955,NA,-0.603849878,0.002921649,0.578036971
ENSCAFG00000012207,SLC9A1,0.603784266,0.002925552,0.578085265
ENSCAFG00000030461,ZNF354C,-0.603219454,0.002959338,0.578498253
ENSCAFG00000016936,RUSF1,0.612648221,0.002976066,0.578699484
ENSCAFG00000021479,NA,-0.602886654,0.002979398,0.578739306
ENSCAFG00000047451,ZNF382,-0.602771312,0.002986377,0.578822458
ENSCAFG00000042873,NA,0.602435173,0.003006794,0.579063637
ENSCAFG00000011155,STARD9,-0.611518916,0.003041582,0.579467558
ENSCAFG00000049043,NA,-0.611518916,0.003041582,0.579467558
ENSCAFG00000004585,TMEM176B,-0.601151512,0.003085848,0.57996914
ENSCAFG00000013885,LANCL3,0.601136618,0.003086775,0.579979504
ENSCAFG00000043608,NA,-0.600975355,0.003096831,0.580091508
ENSCAFG00000003123,MAP3K7,-0.61038961,0.003108302,0.580218436
ENSCAFG00000043940,NA,0.600000096,0.003158235,0.580760841
ENSCAFG00000032571,NA,0.59983058,0.003169012,0.58087579
ENSCAFG00000007424,SWAP70,-0.609260305,0.003176244,0.580952524
ENSCAFG00000014896,SCARF2,-0.609260305,0.003176244,0.580952524
ENSCAFG00000024958,CCR10,-0.599319185,0.003201709,0.581220103
ENSCAFG00000039525,NA,-0.598473793,0.003256383,0.581781255
ENSCAFG00000004231,DMBX1,0.598136171,0.003278436,0.582002597
ENSCAFG00000003833,SDC1,0.607001694,0.003315864,0.582371893
ENSCAFG00000010829,NA,-0.596749571,0.003370325,0.582895401
ENSCAFG00000041632,NA,0.594612137,0.003516197,0.584221915
ENSCAFG00000017916,SEMA7A,0.603613778,0.003534911,0.584384584
ENSCAFG00000039474,NA,-0.593635196,0.003584611,0.584808776
ENSCAFG00000042377,NA,-0.593613109,0.00358617,0.584821905
ENSCAFG00000019676,ERRFI1,0.602484472,0.003610566,0.585025897
ENSCAFG00000044379,NA,-0.59257695,0.003659973,0.585431131
ENSCAFG00000019524,KCNAB2,0.601355167,0.003687571,0.585652996
ENSCAFG00000008575,CUX2,0.591923209,0.003707188,0.585808797
ENSCAFG00000044430,NA,-0.591462282,0.003740784,0.586072002
ENSCAFG00000019870,PIEZO1,0.600225861,0.003765946,0.586266215
ENSCAFG00000047595,NA,0.591020194,0.003773245,0.586322089
ENSCAFG00000012214,KDF1,0.590788167,0.003790376,0.586452429
ENSCAFG00000002190,RFX8,0.590782215,0.003790816,0.586455764
ENSCAFG00000030864,NA,-0.590318685,0.003825239,0.586714243
ENSCAFG00000023983,NA,-0.590228772,0.003831946,0.586764093
ENSCAFG00000029394,HAS2,0.599096556,0.003845711,0.586865882
ENSCAFG00000029269,NA,-0.58959902,0.0038792,0.587110651
ENSCAFG00000002323,MGAT4A,-0.59796725,0.003926885,0.587452315
ENSCAFG00000005002,TIMP4,0.588772638,0.003941947,0.587558599
ENSCAFG00000010306,TRPM1,0.586572413,0.004113162,0.58871452
ENSCAFG00000011716,UBASH3B,0.594579334,0.004179059,0.589135294
ENSCAFG00000013990,NA,-0.585710275,0.004181925,0.589153304
ENSCAFG00000017274,NA,0.585145462,0.004227492,0.589436557
ENSCAFG00000045394,NA,-0.584511397,0.00427914,0.589750634
ENSCAFG00000025983,NA,-0.584136044,0.004309962,0.589934635
ENSCAFG00000029421,NA,0.583615089,0.004353047,0.590187664
ENSCAFG00000004265,THNSL1,-0.592320723,0.004354589,0.590196632
ENSCAFG00000005811,FMNL2,-0.592320723,0.004354589,0.590196632
ENSCAFG00000024645,BNIP3,-0.592320723,0.004354589,0.590196632
ENSCAFG00000045062,MRPL33,-0.592320723,0.004354589,0.590196632
ENSCAFG00000003504,ASTN2,0.583488831,0.004363543,0.590248581
ENSCAFG00000001296,GRAP2,0.591191417,0.00444464,0.590709955
ENSCAFG00000023072,POC1A,0.591191417,0.00444464,0.590709955
ENSCAFG00000028834,FAM104A,0.591191417,0.00444464,0.590709955
ENSCAFG00000044295,NA,-0.581356025,0.004544066,0.591254061
ENSCAFG00000009318,CCDC148,0.580883189,0.00458492,0.591471071
ENSCAFG00000033916,NA,-0.580785949,0.00459336,0.59151544
ENSCAFG00000007682,MMAA,-0.580626965,0.004607186,0.591587791
ENSCAFG00000048800,NA,0.580583808,0.004610945,0.59160739
ENSCAFG00000010154,MYH15,0.580527224,0.004615878,0.591633061
ENSCAFG00000012879,NA,-0.580390149,0.004627845,0.591695125
ENSCAFG00000002935,VRK2,-0.588932806,0.004629418,0.591703259
ENSCAFG00000018740,NA,-0.588932806,0.004629418,0.591703259
ENSCAFG00000045902,NA,-0.580288567,0.004636731,0.591741006
ENSCAFG00000041248,NA,-0.579606748,0.00469674,0.592046505
ENSCAFG00000004498,SSTR2,0.587803501,0.004724188,0.592183759
ENSCAFG00000032632,WNT7A,0.587803501,0.004724188,0.592183759
ENSCAFG00000018632,NA,-0.587803501,0.004724188,0.592183759
ENSCAFG00000005808,MYF5,-0.578682565,0.004779112,0.592453852
ENSCAFG00000005489,LIPT2,-0.586674195,0.004820574,0.592653827
ENSCAFG00000009104,STC1,0.586674195,0.004820574,0.592653827
ENSCAFG00000009037,OTOG,0.578189049,0.00482359,0.592668246
ENSCAFG00000032448,NA,-0.577238091,0.004910269,0.593259158
ENSCAFG00000004129,ENDOD1,0.58554489,0.004918598,0.593314904
ENSCAFG00000002237,NA,-0.576673279,0.004962362,0.593604908
ENSCAFG00000048879,NA,-0.576359688,0.004991483,0.593795216
ENSCAFG00000011227,PRSS56,0.575908797,0.005033604,0.594066791
ENSCAFG00000042934,NA,0.575833891,0.00504063,0.594111675
ENSCAFG00000002214,TRAM2,-0.575543655,0.005067931,0.594284957
ENSCAFG00000008995,USH1C,0.575337072,0.005087438,0.594407692
ENSCAFG00000028593,NA,-0.574667053,0.005151136,0.594975134
ENSCAFG00000047947,NA,-0.574596841,0.005157849,0.595034182
ENSCAFG00000018341,TYMS,0.582156973,0.005222716,0.595597512
ENSCAFG00000012823,STRN3,-0.582156973,0.005222716,0.595597512
ENSCAFG00000012803,RIN1,0.581027668,0.005327513,0.597879601
ENSCAFG00000050012,NA,-0.572399014,0.005371707,0.598820356
ENSCAFG00000010840,ADRA2A,0.579898363,0.005434059,0.600126513
ENSCAFG00000011869,TRIM67,0.571597735,0.005451486,0.60048724
ENSCAFG00000017631,TMED1,0.578769057,0.005542378,0.602338629
ENSCAFG00000019577,HES2,0.570482783,0.005564134,0.602774467
ENSCAFG00000006899,NA,-0.570217461,0.005591224,0.603313277
ENSCAFG00000047578,C20orf204,-0.569981858,0.005615371,0.60378998
ENSCAFG00000010736,KCNJ2,-0.569408389,0.005674508,0.604943427
ENSCAFG00000014561,LAMTOR4,-0.568765908,0.005741377,0.606224172
ENSCAFG00000046831,NA,0.568436195,0.005775946,0.606876736
ENSCAFG00000013735,ITGB3,0.575381141,0.005878205,0.608770082
ENSCAFG00000015888,INCENP,0.575381141,0.005878205,0.608770082
ENSCAFG00000046473,NA,0.567225389,0.005904381,0.609246039
ENSCAFG00000030285,CDR2L,0.574251835,0.00599385,0.610846909
ENSCAFG00000016432,CAPN8,0.566167009,0.006018582,0.611282497
ENSCAFG00000010664,ANO1,0.565856778,0.006052402,0.611873366
ENSCAFG00000006743,PCMTD1,-0.57312253,0.006111386,0.612890903
ENSCAFG00000035881,NA,0.565316771,0.006111647,0.612895369
ENSCAFG00000044504,NA,-0.5652062,0.006123837,0.613103618
ENSCAFG00000039583,NA,0.564726195,0.00617699,0.614003677
ENSCAFG00000042324,NA,-0.564566363,0.006194773,0.614301947
ENSCAFG00000006244,NR2C1,-0.56424741,0.006230388,0.614895027
ENSCAFG00000015919,WNT5B,0.571993224,0.006230837,0.614902463
ENSCAFG00000041390,NA,-0.563349227,0.006331595,0.616549995
ENSCAFG00000001970,EDAR,0.563272889,0.006340259,0.616689626
ENSCAFG00000007280,RNF180,-0.563271578,0.006340408,0.616692023
ENSCAFG00000015795,EML3,0.570863919,0.006352228,0.61688199
ENSCAFG00000009354,TOX2,0.562609483,0.006415969,0.617896342
ENSCAFG00000048854,MESD,0.569734613,0.006475583,0.618829887
ENSCAFG00000019291,PUSL1,0.561988161,0.006487554,0.619015616
ENSCAFG00000028596,NA,-0.561899737,0.006497795,0.619174055
ENSCAFG00000016017,KRT24,-0.561802928,0.006509023,0.619347277
ENSCAFG00000014844,RAP1GAP,0.560858537,0.006619398,0.621023841
ENSCAFG00000010513,SYNC,-0.560293725,0.006686148,0.622015142
ENSCAFG00000043177,NA,0.558192179,0.006939427,0.625629712
ENSCAFG00000001216,SLC35D2,0.558034476,0.006958749,0.625896315
ENSCAFG00000011999,FAM204A,-0.565217391,0.00698915,0.626313252
ENSCAFG00000048168,NA,-0.557535191,0.007020217,0.626736148
ENSCAFG00000008335,ODAPH,0.557469664,0.007028317,0.626845894
ENSCAFG00000001388,NA,-0.557469664,0.007028317,0.626845894
ENSCAFG00000013196,TM6SF1,-0.557469664,0.007028317,0.626845894
ENSCAFG00000043186,NA,-0.557381986,0.007039168,0.626992567
ENSCAFG00000048220,NA,-0.557278213,0.007052028,0.627165911
ENSCAFG00000023699,ANGPTL5,0.557133748,0.007069964,0.627406769
ENSCAFG00000030330,CPTP,0.557062236,0.007078857,0.627525801
ENSCAFG00000032470,NA,0.564088086,0.007122706,0.628109057
ENSCAFG00000020108,SLC44A3,0.556669941,0.007127803,0.628176458
ENSCAFG00000044045,NA,0.556061119,0.007204319,0.629178529
ENSCAFG00000031965,FGF1,0.556010665,0.00721069,0.629261154
ENSCAFG00000013823,SPECC1L,-0.555775227,0.007240483,0.629645864
ENSCAFG00000015088,ARRDC2,0.555775227,0.007240483,0.629645864
ENSCAFG00000016116,HSPB7,-0.555213141,0.007312022,0.630575582
ENSCAFG00000046849,NA,-0.555087456,0.007328098,0.630782381
ENSCAFG00000016504,IL27RA,0.554645602,0.007384847,0.63150625
ENSCAFG00000010507,NA,-0.561829475,0.007396195,0.631649855
ENSCAFG00000013187,NA,-0.552441467,0.007673386,0.635653416
ENSCAFG00000023155,IER2,0.559570864,0.007678362,0.6357231
ENSCAFG00000009254,GALNT5,0.552386354,0.007680718,0.635756061
ENSCAFG00000011476,PITPNC1,0.552386354,0.007680718,0.635756061
ENSCAFG00000016112,ZNF280D,-0.552386354,0.007680718,0.635756061
ENSCAFG00000032122,NA,-0.552386354,0.007680718,0.635756061
ENSCAFG00000001965,DNAJB5,-0.551977489,0.007735295,0.636514975
ENSCAFG00000024289,ZFP28,-0.551412517,0.007811236,0.637556265
ENSCAFG00000011295,PSMB5,-0.558441558,0.007822768,0.637712914
ENSCAFG00000029004,NA,0.558441558,0.007822768,0.637712914
ENSCAFG00000001130,ITPR3,0.557312253,0.007969423,0.639672025
ENSCAFG00000003005,CREB5,-0.557312253,0.007969423,0.639672025
ENSCAFG00000002986,PUS10,-0.549562292,0.008064255,0.640907068
ENSCAFG00000015256,NIBAN3,0.5491824,0.008117033,0.641583938
ENSCAFG00000032308,NA,-0.556182947,0.008118356,0.641600807
ENSCAFG00000044621,NA,0.548022686,0.008279916,0.64362711
ENSCAFG00000001560,KIF6,-0.547862449,0.008302631,0.643906693
ENSCAFG00000005192,ACER3,0.553924337,0.008423164,0.6453689
ENSCAFG00000007492,PALLD,-0.553924337,0.008423164,0.6453689
ENSCAFG00000008655,NA,-0.546071576,0.008560026,0.646986995
ENSCAFG00000010408,MLEC,0.552795031,0.008579094,0.647208966
ENSCAFG00000024995,SLCO4C1,-0.545734745,0.008609164,0.647557318
ENSCAFG00000031083,RGS8,0.545676559,0.008617676,0.647655551
ENSCAFG00000002426,SOSTDC1,-0.545425757,0.008654445,0.648078008
ENSCAFG00000009406,NA,0.545249654,0.008680339,0.648373708
ENSCAFG00000010689,SLC39A8,0.545197827,0.008687972,0.648460584
ENSCAFG00000044957,NA,0.545182112,0.008690288,0.648486915
ENSCAFG00000011164,UBA7,-0.545043795,0.00871069,0.648718396
ENSCAFG00000002796,CCDC88A,-0.551665726,0.008737414,0.649020214
ENSCAFG00000013587,NA,-0.551665726,0.008737414,0.649020214
ENSCAFG00000001402,KDELR3,0.551665726,0.008737414,0.649020214
ENSCAFG00000030170,ZNF229,-0.544478982,0.008794411,0.649658738
ENSCAFG00000017685,RIT2,-0.544403278,0.008805683,0.649784179
ENSCAFG00000029682,NA,0.544221727,0.008832763,0.650084436
ENSCAFG00000020353,NEXN,-0.54391417,0.008878795,0.650591247
ENSCAFG00000028789,GADL1,-0.543254236,0.008978232,0.651670957
ENSCAFG00000046609,RPS27AP5,-0.543091464,0.009002898,0.651935644
ENSCAFG00000007626,PIK3R1,-0.549407115,0.009061332,0.652557768
ENSCAFG00000012012,NECTIN1,0.549407115,0.009061332,0.652557768
ENSCAFG00000018381,ESM1,0.549407115,0.009061332,0.652557768
