"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000025396",NA,0.786208395935236,1.43941654296963e-05,0.355389157141472
"ENSCAFG00000041292",NA,0.718353433471713,0.000166279608500673,0.498305854344611
"ENSCAFG00000015750","IQSEC3",0.706580090305356,0.000237096880583046,0.504043457012773
"ENSCAFG00000010913","C18H11orf24",0.717673630717109,0.000252831312208068,0.504892938223524
"ENSCAFG00000002441",NA,-0.704134585723131,0.000254694497833048,0.504986754269519
"ENSCAFG00000030285","CDR2L",0.716544325239977,0.000261261718612976,0.50530702240674
"ENSCAFG00000006370","HGF",0.702657317361303,0.000265861660313827,0.505522156134592
"ENSCAFG00000048854","MESD",0.715415019762846,0.000269921839295151,0.505706098584237
"ENSCAFG00000005157","THBD",0.71089779785432,0.000306961102825075,0.507164173600829
"ENSCAFG00000014475","HOMER3",0.705251270468662,0.00035905659587501,0.508715021351915
"ENSCAFG00000002588","IL11",0.70412196499153,0.000370304241020441,0.508993581521009
"ENSCAFG00000012803","RIN1",0.70412196499153,0.000370304241020441,0.508993581521009
"ENSCAFG00000006598","MCM4",-0.701863354037267,0.000393674852584916,0.509522320558495
"ENSCAFG00000017367","NIPAL4",0.683198781633106,0.000457421932503604,0.510693764594508
"ENSCAFG00000005139","JMJD6",0.695087521174478,0.000471234524699955,0.510906389989196
"ENSCAFG00000005725","SLC38A10",0.691699604743083,0.000514524753486486,0.511499759755081
"ENSCAFG00000047513",NA,0.678473893658513,0.000518719575495466,0.511552059797059
"ENSCAFG00000004805","WBP4",0.690570299265951,0.000529668324961935,0.511684711336849
"ENSCAFG00000005926","FGF14",0.690570299265951,0.000529668324961935,0.511684711336849
"ENSCAFG00000014026","SAR1A",0.690570299265951,0.000529668324961935,0.511684711336849
"ENSCAFG00000029475","B3GALT5",0.676507261060422,0.000546236736267701,0.511875457076639
"ENSCAFG00000001141","NDRG1",0.684923771880294,0.00061106110157982,0.512523409147248
"ENSCAFG00000043177",NA,0.684923771880294,0.00061106110157982,0.512523409147248
"ENSCAFG00000041771",NA,0.67126425616044,0.000625792380332097,0.512652131553768
"ENSCAFG00000046322",NA,-0.666725550320531,0.000702477863846844,0.513235821365033
"ENSCAFG00000028834","FAM104A",0.679277244494636,0.000702607145028985,0.513236698803987
"ENSCAFG00000015361","FGF6",-0.666665730505273,0.000703539924620099,0.51324302016537
"ENSCAFG00000012082","SEMA4B",0.677018633540373,0.000742291235030366,0.513491717967248
"ENSCAFG00000047395",NA,0.675889328063241,0.000762823566177139,0.51361333704359
"ENSCAFG00000010457","RIPOR2",-0.674760022586109,0.000783827570401501,0.513731212081095
"ENSCAFG00000049158",NA,0.661648320657653,0.000797653856047134,0.513805445132723
"ENSCAFG00000004473","ESD",0.672501411631846,0.000827285787282749,0.513956247068119
"ENSCAFG00000005731","NRG2",0.672501411631846,0.000827285787282749,0.513956247068119
"ENSCAFG00000032632","WNT7A",0.659135863618186,0.000848688466977914,0.514058669542634
"ENSCAFG00000003008","SHOC1",0.669113495200452,0.000896233895017059,0.514268821828638
"ENSCAFG00000010999","PRKAR1A",0.669113495200452,0.000896233895017059,0.514268821828638
"ENSCAFG00000048548",NA,0.655293541581051,0.000932119107526923,0.514413338284479
"ENSCAFG00000030211","SDC4",0.665725578769057,0.000969918276813818,0.514554076190242
"ENSCAFG00000018188","TNFAIP2",0.664596273291925,0.000995577038301032,0.514643562249075
"ENSCAFG00000007885","SLC12A6",-0.663466967814794,0.00102180089103958,0.514730405056493
"ENSCAFG00000029394","HAS2",0.663466967814794,0.00102180089103959,0.514730405056493
"ENSCAFG00000028476","DRAP1",0.662337662337662,0.00104859990171936,0.514814693021151
"ENSCAFG00000023521",NA,-0.64553211730908,0.00117615373874946,0.515163518174506
"ENSCAFG00000049175",NA,0.645522195668342,0.00117642701654059,0.515164184763529
"ENSCAFG00000047595",NA,0.645071783410105,0.0011888900170351,0.51519426108791
"ENSCAFG00000048879",NA,-0.644493243694042,0.00120506296176685,0.515232368019258
"ENSCAFG00000043522",NA,0.655561829474873,0.00122205335243407,0.515271320462884
"ENSCAFG00000043844",NA,0.641896444953421,0.00127998112736299,0.515396393183966
"ENSCAFG00000005051","SCN5A",0.65330321852061,0.00128495123023098,0.515406601606968
"ENSCAFG00000037443",NA,0.640682763432714,0.00131633111797612,0.515469283845826
"ENSCAFG00000013016",NA,0.639792866640904,0.00134353768135428,0.515521271498343
"ENSCAFG00000017916","SEMA7A",0.651044607566347,0.00135053739869651,0.515534309779411
"ENSCAFG00000005073","SPHK1",0.649915302089215,0.00138436739210759,0.515595474746497
"ENSCAFG00000013243","LAMC2",0.638214087933154,0.00139298123932253,0.515610576368259
"ENSCAFG00000042559",NA,0.637672999164466,0.00141027843836212,0.515640346893518
"ENSCAFG00000019993","S1PR1",0.648785996612083,0.00141890431521803,0.51565492306528
"ENSCAFG00000046108",NA,0.635381417242677,0.00148557041780535,0.515761892394363
"ENSCAFG00000009104","STC1",0.634284125829668,0.00152281329499811,0.515817590555897
"ENSCAFG00000004584","TSC22D1",0.645398080180689,0.00152687672273567,0.515823503875075
"ENSCAFG00000018406","DRC3",0.645398080180689,0.00152687672273567,0.515823503875075
"ENSCAFG00000033682",NA,0.634046245523127,0.00153099071494472,0.515829458937805
"ENSCAFG00000013252","NMNAT2",0.644268774703557,0.00156436218605889,0.515876611967706
"ENSCAFG00000043070",NA,0.632561173071036,0.00158288853482795,0.515901934511252
"ENSCAFG00000011151","ZNF281",0.643139469226426,0.00160261575518054,0.515928257473706
"ENSCAFG00000017396","KATNIP",0.643139469226426,0.00160261575518054,0.515928257473706
"ENSCAFG00000013132","FOSL1",0.640880858272163,0.00168147816149289,0.516027341478601
"ENSCAFG00000041375",NA,0.640880858272163,0.00168147816149289,0.516027341478601
"ENSCAFG00000013138","CCDC85B",0.639751552795031,0.00172211286770515,0.516074866447557
"ENSCAFG00000030348",NA,0.639751552795031,0.00172211286770515,0.516074866447557
"ENSCAFG00000001216","SLC35D2",0.638622247317899,0.00176356741999373,0.516121101889537
"ENSCAFG00000019998","SLC30A7",0.638622247317899,0.00176356741999373,0.516121101889537
"ENSCAFG00000026940",NA,0.627340920209524,0.00177731887014788,0.516135964632134
"ENSCAFG00000036080",NA,0.636363636363636,0.00184898955714496,0.51620986120792
"ENSCAFG00000035770","KNCN",0.624822893347905,0.00187810266599376,0.516238273314263
"ENSCAFG00000012012","NECTIN1",0.635234330886505,0.00189298429397969,0.516252460249183
"ENSCAFG00000016909","SLC5A2",0.635234330886505,0.00189298429397969,0.516252460249183
"ENSCAFG00000005378","HGSNAT",0.634105025409373,0.00193785318303446,0.516293920193958
"ENSCAFG00000011499","SNAI1",0.634105025409373,0.00193785318303446,0.516293920193958
"ENSCAFG00000004664",NA,0.632975719932242,0.00198361021003519,0.51633427550495
"ENSCAFG00000014457","NDP",0.622183742351885,0.00198888128167386,0.516338805435911
"ENSCAFG00000045032",NA,0.620486828227841,0.00206298694370733,0.516400048827114
"ENSCAFG00000047849",NA,0.630717108977979,0.00207784545114947,0.516411804298242
"ENSCAFG00000016716","CPLX2",0.629587803500847,0.0021263524703252,0.516449041056433
"ENSCAFG00000037819",NA,0.629587803500847,0.0021263524703252,0.516449041056433
"ENSCAFG00000045320",NA,0.629587803500847,0.0021263524703252,0.516449041056433
"ENSCAFG00000049041",NA,0.618408607945214,0.00215690995991356,0.516471641475639
"ENSCAFG00000006599","TMEM239",0.618402195987805,0.00215720523384025,0.516471856747319
"ENSCAFG00000042282",NA,0.618402195987805,0.00215720523384025,0.516471856747319
"ENSCAFG00000012493","PFKFB4",0.628458498023715,0.00217580523971717,0.516485299814312
