"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000046057",NA,0.765077830246853,3.35804591237351e-05,1
"ENSCAFG00000025396",NA,-0.733177868836859,0.000103693743566666,1
"ENSCAFG00000024869","ADAMDEC1",-0.697413094747256,0.000308985361529367,1
"ENSCAFG00000012573",NA,0.685985909058678,0.000424266754271089,1
"ENSCAFG00000002615","DNAAF3",-0.679277244494636,0.000702607145028982,1
"ENSCAFG00000013233","PISD",-0.672501411631846,0.000827285787282745,1
"ENSCAFG00000016172","TLR6",-0.658006239173253,0.000872527068306463,1
"ENSCAFG00000010089","ATPSCKMT",-0.658949745906268,0.00113255060161349,1
"ENSCAFG00000024010","TLR1",-0.655561829474873,0.00122205335243407,1
"ENSCAFG00000048436",NA,0.638984108477373,0.00136867645878674,1
"ENSCAFG00000046054",NA,0.635902888460025,0.00146814399546059,1
"ENSCAFG00000001970","EDAR",-0.63477038108966,0.00150621289029097,1
"ENSCAFG00000013139","GPR33",-0.633802944548816,0.00153939296980284,1
"ENSCAFG00000010688","FGF3",-0.631294769025178,0.00162831547831378,1
"ENSCAFG00000014197","RUNDC3A",-0.642010163749294,0.00164165012851253,1
"ENSCAFG00000030862","COMMD4",-0.640880858272163,0.0016814781614929,1
"ENSCAFG00000044155",NA,0.627504586888288,0.0017709297736149,1
"ENSCAFG00000043659",NA,0.62595391886961,0.00183225125193517,1
"ENSCAFG00000044514",NA,-0.623590834242298,0.00192915073336761,1
"ENSCAFG00000041110",NA,0.621656454671249,0.00201166344814172,1
"ENSCAFG00000011861","FANCB",0.63184641445511,0.00203026952656574,1
"ENSCAFG00000020082","DNM1",-0.622811970638058,0.00243778025625715,1
"ENSCAFG00000047625",NA,-0.612590340959647,0.00243927540856269,1
"ENSCAFG00000049820",NA,-0.611215368755383,0.00251037134966664,1
"ENSCAFG00000000880","IL4",0.610562012486083,0.00254476157825847,1
"ENSCAFG00000028731",NA,-0.620553359683794,0.00254972270039709,1
"ENSCAFG00000041974",NA,0.610056358163537,0.00257164895547811,1
"ENSCAFG00000019759","CHIA",-0.608333232145399,0.00266507743493961,1
"ENSCAFG00000002103",NA,-0.60339474934095,0.00294881703585954,1
"ENSCAFG00000046336",NA,-0.602868181080486,0.00298051466080538,1
"ENSCAFG00000046551",NA,0.59887932836637,0.00323005926964834,1
"ENSCAFG00000048673",NA,0.597631526692949,0.00331163224565119,1
"ENSCAFG00000047379",NA,0.596905250466947,0.00335990200266898,1
"ENSCAFG00000049048",NA,0.595674050041339,0.00344307792373068,1
"ENSCAFG00000042739",NA,-0.595013316234088,0.00348842216183388,1
"ENSCAFG00000017111","KLF1",-0.591860186063784,0.00371176680517741,1
"ENSCAFG00000029224","HBM",0.59122944776837,0.00375785067137222,1
"ENSCAFG00000010047","MARCHF6",-0.600225861095426,0.00376594598867914,1
"ENSCAFG00000045986",NA,-0.600225861095426,0.00376594598867914,1
"ENSCAFG00000000387","LATS1",0.599096555618295,0.00384571071734001,1
"ENSCAFG00000028656",NA,0.589873465100987,0.00385854690349651,1
"ENSCAFG00000049279",NA,-0.589493993360325,0.00388712766704645,1
"ENSCAFG00000039177",NA,-0.588268870370365,0.00398061250266806,1
"ENSCAFG00000030416","RGS16",-0.584903652939566,0.00424712690731886,1
"ENSCAFG00000000385","KATNA1",0.593450028232637,0.00426606931599801,1
"ENSCAFG00000045106",NA,-0.583999902859583,0.00432118696134645,1
"ENSCAFG00000018487","EMB",-0.591191417278374,0.00444464016475473,1
"ENSCAFG00000042630",NA,-0.581285787963046,0.00455011560454741,1
"ENSCAFG00000036642",NA,-0.580643581578781,0.00460573930195737,1
"ENSCAFG00000011893","MROH2A",0.580626964695368,0.00460718604139472,1
"ENSCAFG00000016957","HES7",-0.579793561719066,0.00468023371024613,1
"ENSCAFG00000011594","RLBP1",-0.587803500846979,0.00472418827425198,1
"ENSCAFG00000004439","RTN2",-0.586674195369847,0.00482057414636779,1
"ENSCAFG00000005818",NA,-0.586674195369847,0.00482057414636779,1
"ENSCAFG00000043256",NA,0.577469392859816,0.00488906741748977,1
"ENSCAFG00000045334",NA,0.577469392859816,0.00488906741748977,1
"ENSCAFG00000015226","SLC22A9",-0.585544889892716,0.00491859775412455,1
"ENSCAFG00000000326","UTRN",0.585544889892716,0.00491859775412457,1
"ENSCAFG00000001429","SLC16A8",-0.576589878623536,0.00497009302427279,1
"ENSCAFG00000014053","RASGRF1",-0.583286278938453,0.00511964636465241,1
"ENSCAFG00000032159",NA,-0.574871396934937,0.00513163908492277,1
"ENSCAFG00000048037",NA,-0.574811070027814,0.00513738859641829,1
"ENSCAFG00000001590","SAXO1",0.579898362507058,0.00543405885162764,1
"ENSCAFG00000015905","ARRB2",-0.577639751552795,0.00565249309494113,1
"ENSCAFG00000001986","TMEM151B",-0.576510446075663,0.00576442768690701,1
"ENSCAFG00000036471",NA,-0.566978650629663,0.00593084253313676,1
"ENSCAFG00000015710","UBXN1",-0.573122529644269,0.00611138574476657,1
"ENSCAFG00000043075",NA,0.563117785798913,0.00635789295240768,1
"ENSCAFG00000018802","RAD1",-0.567476002258611,0.00672828670446204,1
"ENSCAFG00000044377",NA,0.567476002258611,0.00672828670446206,1
"ENSCAFG00000003392",NA,-0.566346696781479,0.00685768575525399,1
"ENSCAFG00000007949","LGI1",-0.558109710843277,0.00694952532891377,1
"ENSCAFG00000014572","FKBP2",-0.565217391304348,0.006989150201036,1
"ENSCAFG00000016963","HCN3",-0.565217391304348,0.006989150201036,1
"ENSCAFG00000032931",NA,-0.55737284026177,0.00704030050060336,1
"ENSCAFG00000048047",NA,0.55737284026177,0.00704030050060336,1
"ENSCAFG00000005106","MOBP",0.556779890431704,0.00711405635897413,1
"ENSCAFG00000009164",NA,0.562958780350085,0.00725837851938545,1
"ENSCAFG00000016177","CYB561A3",-0.562958780350085,0.00725837851938545,1
"ENSCAFG00000016508","KLF8",0.562958780350085,0.00725837851938545,1
"ENSCAFG00000049171",NA,-0.562958780350085,0.00725837851938545,1
"ENSCAFG00000002689","MBOAT7",-0.561829474872953,0.0073961945457957,1
"ENSCAFG00000017277",NA,-0.561829474872953,0.0073961945457957,1
"ENSCAFG00000049182",NA,0.561829474872953,0.00739619454579571,1
"ENSCAFG00000046489",NA,-0.553782850016986,0.00749670115236126,1
"ENSCAFG00000024414",NA,-0.553390763111195,0.00754799488728117,1
"ENSCAFG00000033394",NA,-0.553390763111195,0.00754799488728117,1
"ENSCAFG00000013612","KLRB1",-0.55322219145131,0.00757013677030944,1
"ENSCAFG00000040083",NA,0.550309241623373,0.007961307637063,1
"ENSCAFG00000015715","UQCC3",-0.557312252964427,0.00796942286654231,1
"ENSCAFG00000018238","TIGD6",-0.557312252964427,0.00796942286654231,1
"ENSCAFG00000033362",NA,-0.54959760973136,0.00805936278917457,1
"ENSCAFG00000044636",NA,-0.548249902941476,0.0082477923384105,1
"ENSCAFG00000025710",NA,-0.555053642010164,0.00826959336279352,1
"ENSCAFG00000042294","C12orf43",-0.555053642010164,0.00826959336279352,1
"ENSCAFG00000043108",NA,0.553924336533032,0.00842316364878197,1
"ENSCAFG00000044020",NA,0.553924336533032,0.00842316364878197,1
"ENSCAFG00000002694","TMC4",-0.553924336533032,0.008423163648782,1
"ENSCAFG00000012776","B4GAT1",-0.553924336533032,0.008423163648782,1
"ENSCAFG00000046830",NA,-0.546800362293149,0.00845449891807614,1
"ENSCAFG00000045458",NA,0.546800362293149,0.00845449891807619,1
"ENSCAFG00000044609",NA,0.546706788260781,0.00846798803881612,1
"ENSCAFG00000009661","PIK3C2B",0.552795031055901,0.00857909442028833,1
"ENSCAFG00000011098",NA,0.552795031055901,0.00857909442028833,1
"ENSCAFG00000048301",NA,0.54572146210776,0.00861110685863404,1
"ENSCAFG00000013805","CCR1",-0.545315132767313,0.00867070356343481,1
"ENSCAFG00000041082",NA,0.551665725578769,0.00873741379145149,1
"ENSCAFG00000049753",NA,0.551665725578769,0.00873741379145149,1
"ENSCAFG00000005795","ZNF385D",-0.550536420101638,0.00889815009167273,1
"ENSCAFG00000031576","PARD6A",-0.550536420101638,0.00889815009167273,1
"ENSCAFG00000042023",NA,0.543676882795281,0.00891444352480261,1
"ENSCAFG00000009104","STC1",-0.543349358012592,0.00896384281499252,1
"ENSCAFG00000003376","CSF3R",-0.542670253666976,0.00906698740676774,1
"ENSCAFG00000046191",NA,0.542437480351654,0.0091025656633515,1
"ENSCAFG00000044950",NA,0.542098431379721,0.00915459301678472,1
"ENSCAFG00000044500",NA,0.541800578330721,0.00920050039534719,1
"ENSCAFG00000032393","BEAN1",-0.54098395230472,0.00932733697898396,1
"ENSCAFG00000049394",NA,-0.54077024501993,0.0093607657713902,1
"ENSCAFG00000004315","SYNDIG1",-0.547148503670243,0.00939514709097245,1
"ENSCAFG00000015418","SLC22A6",0.540371831270506,0.00942334990506922,1
"ENSCAFG00000048822",NA,0.540042778839209,0.00947529747416097,1
"ENSCAFG00000003864","CLEC5A",-0.539853369332296,0.00950530615262563,1
"ENSCAFG00000016923","ABCD4",-0.54488989271598,0.00973909213314367,1
"ENSCAFG00000031670","SMIM31",-0.54488989271598,0.00973909213314367,1
"ENSCAFG00000049710",NA,0.538121001728166,0.00978341086301709,1
"ENSCAFG00000043532",NA,-0.537837848474395,0.00982949558464396,1
"ENSCAFG00000043174",NA,-0.537648264303321,0.00986045093768244,1
"ENSCAFG00000008998","CFAP298-TCP10L",-0.543760587238848,0.00991493698595967,1
"ENSCAFG00000012934","MAP3K3",-0.543760587238848,0.00991493698595967,1
"ENSCAFG00000049061",NA,-0.543760587238848,0.00991493698595967,1
"ENSCAFG00000033022",NA,-0.537238047144778,0.00992770530467452,1
"ENSCAFG00000012886","APOA2",-0.536635568878078,0.0100271627692815,1
"ENSCAFG00000031412","SPACA7",-0.53657085707634,0.0100378938863507,1
"ENSCAFG00000015783","B3GAT3",-0.542631281761716,0.0100934031041125,1
"ENSCAFG00000048998","TRIM6",-0.535962762416422,0.0101391949953883,1
"ENSCAFG00000015960","RNASEK",-0.541501976284585,0.0102745205397501,1
"ENSCAFG00000047058",NA,-0.534471420782607,0.0103911893409222,1
"ENSCAFG00000007516","ARFGEF1",0.540372670807453,0.0104583195600952,1
"ENSCAFG00000046258",NA,-0.53403687428023,0.0104655737770589,1
"ENSCAFG00000049180",NA,0.533057884245235,0.0106347548861393,1
"ENSCAFG00000016171","TMEM138",-0.539243365330322,0.0106448306473072,1
"ENSCAFG00000017695",NA,-0.539243365330322,0.0106448306473072,1
"ENSCAFG00000007291","PARPBP",0.539243365330322,0.0106448306473073,1
"ENSCAFG00000018347","CCL1",-0.532777068717673,0.0106836946066404,1
"ENSCAFG00000041548",NA,-0.532771807127878,0.0106846133394333,1
"ENSCAFG00000045972",NA,-0.532579486549748,0.0107182391306593,1
"ENSCAFG00000019067",NA,0.532092622263237,0.0108037513765002,1
"ENSCAFG00000014180","SLC25A39",-0.53811405985319,0.0108340844983183,1
"ENSCAFG00000016626","CCDC130",-0.53811405985319,0.0108340844983183,1
"ENSCAFG00000019514","NPHP4",-0.53811405985319,0.0108340844983183,1
"ENSCAFG00000040296",NA,-0.53811405985319,0.0108340844983183,1
"ENSCAFG00000048786",NA,0.531488301340799,0.0109106700848165,1
"ENSCAFG00000016017","KRT24",0.531333356146648,0.0109382226766447,1
"ENSCAFG00000048065",NA,-0.531231267405991,0.0109564073701352,1
"ENSCAFG00000037624",NA,-0.529795488256209,0.0112147906240249,1
"ENSCAFG00000024066","GSTA4",0.535855448898927,0.011220944352178,1
"ENSCAFG00000046255","ZC3H7B",0.535855448898927,0.011220944352178,1
"ENSCAFG00000016786","DNAH2",-0.534726143421796,0.0114186128209397,1
"ENSCAFG00000006825","PRR5L",-0.533596837944664,0.0116191489848261,1
"ENSCAFG00000018012","TRPV2",-0.533596837944664,0.0116191489848261,1
"ENSCAFG00000000760","MAP3K4",0.533596837944664,0.0116191489848261,1
"ENSCAFG00000006320","DDX51",0.533596837944664,0.0116191489848261,1
"ENSCAFG00000016657","CDHR2",-0.527549675648396,0.0116289320216844,1
"ENSCAFG00000042873",NA,-0.527416956635636,0.0116537922104622,1
"ENSCAFG00000042965",NA,-0.526903683851172,0.011750344904624,1
"ENSCAFG00000012296",NA,0.526434925891899,0.0118390941324395,1
"ENSCAFG00000049445",NA,0.526172314158106,0.0118890529235269,1
"ENSCAFG00000040952",NA,-0.531338226990401,0.0120289516811601,1
"ENSCAFG00000040630",NA,-0.525167934493844,0.0120817162072445,1
"ENSCAFG00000019258","VWA1",-0.530208921513269,0.0122382823880366,1
"ENSCAFG00000004399","FZD4",0.524145742448737,0.0122804069906118,1
"ENSCAFG00000043185",NA,-0.529079616036138,0.0124506091381915,1
"ENSCAFG00000001721","FSCN3",0.523016118003805,0.0125030748776537,1
"ENSCAFG00000048155",NA,-0.521366960299679,0.0128340574789852,1
"ENSCAFG00000001711","HMOX1",-0.525691699604743,0.0131058928908622,1
"ENSCAFG00000042581",NA,-0.519627244669007,0.0131909234027932,1
"ENSCAFG00000027540",NA,-0.519030413023137,0.0133151973071694,1
"ENSCAFG00000012047","CAPN9",-0.51855163788394,0.0134155771218465,1
"ENSCAFG00000012254","LTB4R",-0.518122121942051,0.0135061529143439,1
"ENSCAFG00000002214","TRAM2",0.52343308865048,0.0135583325848083,1
"ENSCAFG00000049288",NA,-0.517492545132698,0.0136398166037351,1
"ENSCAFG00000011266","TDRD1",0.517089408710131,0.0137259694540704,1
"ENSCAFG00000049900",NA,0.516991554041934,0.0137469482858806,1
"ENSCAFG00000048681",NA,0.516820554849972,0.0137836710420588,1
"ENSCAFG00000025798",NA,-0.522303783173348,0.0137893279768399,1
"ENSCAFG00000000070","PHLPP1",0.522303783173348,0.0137893279768399,1
"ENSCAFG00000006873",NA,0.522303783173348,0.0137893279768399,1
"ENSCAFG00000043642",NA,-0.516122688155131,0.0139343693755658,1
"ENSCAFG00000027999",NA,-0.515954677242259,0.0139708493547172,1
"ENSCAFG00000042304",NA,0.515954677242259,0.0139708493547172,1
"ENSCAFG00000048592",NA,0.515954677242259,0.0139708493547172,1
"ENSCAFG00000026427",NA,0.515843959027413,0.0139949318898298,1
"ENSCAFG00000014165","GRN",-0.521174477696217,0.0140235521715129,1
"ENSCAFG00000002835","CTNNAL1",0.515673559111743,0.0140320618783064,1
"ENSCAFG00000014049","CLEC3B",0.515510490072152,0.0140676694673007,1
"ENSCAFG00000034336",NA,0.515032003309403,0.0141725757567727,1
"ENSCAFG00000044499",NA,0.520045172219085,0.0142610392592891,1
"ENSCAFG00000012534","BTBD16",-0.514050821877731,0.0143896858688657,1
"ENSCAFG00000020361",NA,0.518915866741954,0.0145018235387166,1
"ENSCAFG00000002808",NA,-0.512785099150163,0.0146737426649076,1
"ENSCAFG00000043767",NA,0.512586188431707,0.0147187940264995,1
"ENSCAFG00000018339","ADRB2",-0.512284685776945,0.0147872956332596,1
"ENSCAFG00000000265","OLIG3",-0.511768209988302,0.0149052408138916,1
"ENSCAFG00000045958",NA,-0.511768209988302,0.0149052408138916,1
"ENSCAFG00000029809","CACNG2",-0.511573809223849,0.0149498325937862,1
"ENSCAFG00000013299","KAT5",-0.516657255787691,0.0149934219033263,1
"ENSCAFG00000000442","MDC1",0.516657255787691,0.0149934219033264,1
"ENSCAFG00000011363","CABP2",-0.511341073570942,0.0150033600487085,1
"ENSCAFG00000003120","MACF1",0.515527950310559,0.0152443056202023,1
"ENSCAFG00000046613",NA,0.509460624664613,0.015441581150062,1
"ENSCAFG00000048548",NA,-0.509292543630878,0.0154812509784495,1
"ENSCAFG00000045584",NA,-0.514398644833427,0.0154986257907121,1
"ENSCAFG00000028640",NA,-0.508625064467665,0.015639603526203,1
"ENSCAFG00000049586",NA,-0.508331000219681,0.0157097827139697,1
"ENSCAFG00000031126","HSPA13",-0.513269339356296,0.015756417743786,1
"ENSCAFG00000027641",NA,0.507984341522584,0.0157928413554322,1
"ENSCAFG00000017853","LHX1",-0.512140033879164,0.0160177170122243,1
"ENSCAFG00000023831","GPRIN1",-0.512140033879164,0.0160177170122243,1
"ENSCAFG00000023978",NA,-0.512140033879164,0.0160177170122243,1
"ENSCAFG00000012759","SLC17A9",-0.506222251555015,0.0162205551836716,1
"ENSCAFG00000037317",NA,-0.506092407289725,0.0162524398597112,1
"ENSCAFG00000044171",NA,-0.511010728402033,0.016282559331897,1
"ENSCAFG00000048294",NA,-0.505965433080932,0.0162836688322418,1
"ENSCAFG00000044600",NA,0.505506939107349,0.0163968390134471,1
"ENSCAFG00000031639",NA,-0.509881422924901,0.0165509806409137,1
"ENSCAFG00000031911",NA,-0.509881422924901,0.0165509806409137,1
"ENSCAFG00000031260",NA,-0.504200473056866,0.0167228111163518,1
"ENSCAFG00000045126",NA,-0.50381250243995,0.016820615677905,1
"ENSCAFG00000018418","RHBDL3",-0.50875211744777,0.0168230170787653,1
"ENSCAFG00000048403",NA,-0.503790007434579,0.0168263006675238,1
"ENSCAFG00000045785","SPAAR",0.503329552974701,0.016943009751449,1
"ENSCAFG00000044979",NA,0.502869759636348,0.0170602037493106,1
"ENSCAFG00000031630","GNG4",-0.507622811970638,0.0170987049854374,1
"ENSCAFG00000016718","HRH2",-0.506493506493506,0.0173780809004941,1
"ENSCAFG00000049269",NA,-0.50057599833787,0.0176546787360182,1
"ENSCAFG00000003799","C19H4orf33",0.505364201016375,0.0176611815621333,1
"ENSCAFG00000017954","TNIP1",-0.505364201016375,0.0176611815621333,1
"ENSCAFG00000041989",NA,0.5005213675246,0.0176690387736898,1
"ENSCAFG00000011504","FCGR1A",-0.499777628824112,0.0178654752422177,1
"ENSCAFG00000011101","GPR137B",-0.504234895539243,0.017948043906213,1
"ENSCAFG00000009651","PPP1R15B",0.504234895539243,0.0179480439062131,1
"ENSCAFG00000021452",NA,0.499010879347845,0.0180698316564107,1
"ENSCAFG00000034640",NA,-0.499010879347845,0.0180698316564107,1
"ENSCAFG00000044229",NA,-0.499010879347845,0.0180698316564107,1
"ENSCAFG00000048699",NA,-0.499010879347845,0.0180698316564107,1
"ENSCAFG00000041172",NA,-0.498479647960492,0.018212520396361,1
"ENSCAFG00000016134","PPP1R32",-0.498413710199127,0.0182302945313908,1
"ENSCAFG00000042122",NA,0.503105590062112,0.018238705065248,1
"ENSCAFG00000036254",NA,-0.498164380215287,0.0182976303199423,1
"ENSCAFG00000003625","FCGRT",-0.50197628458498,0.0185332023673772,1
"ENSCAFG00000015045","PINK1",-0.50197628458498,0.0185332023673772,1
"ENSCAFG00000025589",NA,-0.50197628458498,0.0185332023673772,1
"ENSCAFG00000001369",NA,0.497034755770354,0.0186052233315795,1
"ENSCAFG00000040003",NA,-0.496747791459646,0.0186840232256147,1
"ENSCAFG00000011684","OR6N1",0.496747791459646,0.0186840232256147,1
"ENSCAFG00000047589",NA,0.496747791459646,0.0186840232256147,1
"ENSCAFG00000047921",NA,0.496747791459646,0.0186840232256147,1
"ENSCAFG00000049813",NA,0.496747791459646,0.0186840232256147,1
"ENSCAFG00000030954",NA,0.496632736125431,0.0187156926961263,1
"ENSCAFG00000007514","IMMP1L",0.496469943547888,0.0187605759740605,1
"ENSCAFG00000041602",NA,-0.496299007765002,0.0188077977590792,1
"ENSCAFG00000004443","FOSB",-0.500846979107849,0.0188315733353027,1
"ENSCAFG00000002427","TMOD1",0.499717673630717,0.0191338556851973,1
