,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000001,ENPP1,429.5991505,0.731226601,0.877095253,0.833691207,0.404455014,0.909475145
ENSCAFG00000000002,NA,2.341593856,0.668084358,0.737175416,0.90627596,0.364789807,0.899417106
ENSCAFG00000000005,PARD6G,277.8919419,0.974521874,0.83128178,1.172312323,0.241071686,0.834890444
ENSCAFG00000000007,ADNP2,918.7842651,-0.032687687,0.16978842,-0.192520118,0.847334811,0.990155238
ENSCAFG00000000008,TXNL4A,1478.775015,0.072288124,0.286966283,0.251904592,0.80111481,0.984809542
ENSCAFG00000000009,SLC66A2,1609.924551,-0.026400495,0.380294124,-0.069421255,0.944654311,0.997075443
ENSCAFG00000000010,CTDP1,2692.288402,-0.039684195,0.254615022,-0.155859598,0.876143692,0.992341686
ENSCAFG00000000011,NFATC1,1350.56813,-0.626183629,0.816999463,-0.766443134,0.443412675,0.91792422
ENSCAFG00000000012,ATP9B,1116.514903,-0.133987212,0.318576512,-0.420580951,0.674061106,0.972069487
ENSCAFG00000000013,SALL3,54.50884455,-5.0638921,2.904588838,-1.743410989,0.08126185,0.627248015
ENSCAFG00000000014,NA,46.93387785,0.510931946,0.558325482,0.915114862,0.360131334,0.897384484
ENSCAFG00000000015,GALR1,4.256594646,-3.665395381,2.573323048,-1.424382137,NA,NA
ENSCAFG00000000016,MBP,277.6732043,-0.470349337,1.364025383,-0.344824475,0.730226332,0.979018633
ENSCAFG00000000017,ZNF236,530.4644343,-0.002592104,0.290410789,-0.008925645,0.99287846,0.999635858
ENSCAFG00000000019,ZNF516,775.1350739,0.037616906,0.512183925,0.073444136,0.941452697,0.997075443
ENSCAFG00000000020,TSHZ1,1256.676431,-0.021734001,0.33217573,-0.065429227,0.947832254,0.997075443
ENSCAFG00000000021,ZADH2,586.1256678,0.193538481,0.303388665,0.637922583,0.523524076,0.937705175
ENSCAFG00000000022,ZNF407,727.4730114,0.064836811,0.230545837,0.281231758,0.778532648,0.983918393
ENSCAFG00000000024,CNDP1,4.982516196,-0.007336682,0.889607977,-0.008247095,0.993419845,0.999635858
ENSCAFG00000000025,DIPK1C,28.59385298,6.971036426,2.747667353,2.537074373,NA,NA
ENSCAFG00000000026,CYB5A,2993.201583,-0.384073278,0.51626506,-0.743945907,0.456909201,0.921446902
ENSCAFG00000000027,NA,38.74312842,-0.588410277,0.379264935,-1.55144919,0.120794075,0.704842398
ENSCAFG00000000028,TIMM21,1372.431162,0.088053791,0.265953334,0.331087374,0.740578489,0.979406287
ENSCAFG00000000029,FBXO15,18.39303417,-0.106533969,0.6473047,-0.164580868,0.869273891,0.991898234
ENSCAFG00000000030,NA,80.47741425,-0.132305753,0.339116478,-0.390148406,0.69642681,0.976268861
ENSCAFG00000000031,NETO1,340.9060019,0.470368954,2.2546834,0.208618627,0.834745969,0.98865289
ENSCAFG00000000032,CBLN2,2.401490102,0.402987495,1.756620823,0.229410633,0.818549772,0.986413171
ENSCAFG00000000033,NA,79.91645025,-0.48038333,0.32886569,-1.460728024,0.144090095,0.738639536
ENSCAFG00000000034,NA,0.077904732,0.45877264,3.11653965,0.147205777,0.882969601,NA
ENSCAFG00000000036,SOCS6,525.0698395,0.47523162,0.37153707,1.279096107,0.200863214,0.802134445
ENSCAFG00000000037,RTTN,936.5760542,0.134942381,0.287650163,0.46911978,0.638984022,0.963913381
ENSCAFG00000000038,CD226,4.050267835,-1.663533802,1.389195699,-1.19747981,0.231119592,0.826593331
ENSCAFG00000000039,DOK6,181.7216973,0.376579001,2.287350616,0.164635451,0.869230926,0.991898234
ENSCAFG00000000040,CCDC102B,1.353775877,0.556161253,1.12083217,0.496203863,0.619750586,NA
ENSCAFG00000000042,NA,10.38418484,0.101297622,0.434772104,0.23299016,0.815769047,0.986160233
ENSCAFG00000000043,TMX3,742.9569669,0.260498868,0.375928916,0.692947142,0.488342724,0.929380258
ENSCAFG00000000044,NA,7.053956647,0.330526956,0.560344625,0.589863704,0.55528203,0.946693695
ENSCAFG00000000045,NA,8.530434858,0.485347163,0.860392227,0.564099893,0.572686151,0.949987775
ENSCAFG00000000047,NA,467.2596372,0.221263954,1.264174586,0.175026422,0.861058873,0.991571497
ENSCAFG00000000049,NA,32.49224611,0.136319118,0.499328549,0.273004855,0.784849483,0.984030502
ENSCAFG00000000051,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000052,CDH19,0,NA,NA,NA,NA,NA
ENSCAFG00000000054,NA,227.2956428,-0.115887097,0.323704951,-0.358002238,0.720341639,0.979018633
ENSCAFG00000000056,CDH7,1.188344171,-2.099282083,2.350118184,-0.893266602,0.371714419,NA
ENSCAFG00000000058,SERPINB8,977.2496779,-0.377157947,1.067779674,-0.353217013,0.723925755,0.979018633
ENSCAFG00000000059,SERPINB2,2358.313604,-2.683431548,1.729158096,-1.551871719,0.120692921,0.704729324
ENSCAFG00000000060,ITGA7,291.5533637,-0.247204054,1.105277874,-0.223657832,0.82302356,0.986764866
ENSCAFG00000000061,NA,288.7799517,-0.665630226,0.410474396,-1.62161205,0.104886441,0.677185555
ENSCAFG00000000062,NA,2.808231321,-1.943191243,1.874641642,-1.036566776,NA,NA
ENSCAFG00000000063,RDH5,287.0885443,-0.888447561,0.585576923,-1.51721751,0.129211777,0.716314051
ENSCAFG00000000064,CD63,13996.87294,0.432810391,0.339464114,1.274981283,0.202315867,0.802501742
ENSCAFG00000000065,GDF11,382.8862215,0.693553349,0.73587918,0.942482636,0.345945597,0.889107002
ENSCAFG00000000066,VPS4B,2041.009215,-0.062289372,0.213673802,-0.291516188,0.770656565,0.983313749
ENSCAFG00000000067,KDSR,631.0869952,0.420748852,0.397527659,1.05841403,0.289866726,0.857062294
ENSCAFG00000000068,BCL2,292.2946493,-0.142118725,0.486684898,-0.292013839,0.770276043,0.983313749
ENSCAFG00000000069,NA,1391.6909,-0.080508863,0.332013566,-0.242486667,0.808403087,0.985744738
ENSCAFG00000000070,PHLPP1,1397.849888,-0.287899225,0.379556114,-0.758515578,0.448142391,0.919305575
ENSCAFG00000000071,NA,711.3868455,-0.122753947,0.25721933,-0.477234533,0.633195123,0.963913381
ENSCAFG00000000072,NA,469.6251855,0.542082499,0.951300022,0.569833372,0.568790718,0.948733804
ENSCAFG00000000073,ZCCHC2,1178.226291,-0.3174488,0.262319835,-1.210159346,0.226217754,0.823494568
ENSCAFG00000000074,MMP19,976.8833446,1.463741249,1.078810578,1.356810249,0.17484151,0.782179142
