,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000001,ENPP1,429.488619,0.731884243,0.854714082,0.856291313,0.391836665,0.947977869
ENSCAFG00000000005,NA,277.7847941,0.975632893,0.815666871,1.196116856,0.231650961,0.896568817
ENSCAFG00000000007,PARD6G,918.535278,-0.032884115,0.183449061,-0.179254744,0.85773768,0.996271927
ENSCAFG00000000008,ADNP2,1478.561407,0.072404549,0.296956377,0.243822174,0.807368546,0.992859314
ENSCAFG00000000009,TXNL4A,1609.508952,-0.026239648,0.385900834,-0.067995832,0.945788952,0.99808689
ENSCAFG00000000010,SLC66A2,2691.769779,-0.039359188,0.265594475,-0.148192796,0.882190617,0.997394565
ENSCAFG00000000011,CTDP1,1350.493689,-0.625471149,0.801157788,-0.780709067,0.434973627,0.950196011
ENSCAFG00000000012,NFATC1,1116.269433,-0.133795433,0.327124544,-0.409004569,0.682536308,0.988470398
ENSCAFG00000000014,ATP9B,46.92911291,0.511104606,0.563347957,0.907262731,0.364267877,0.943719436
ENSCAFG00000000016,SALL3,277.6217382,-0.471251122,1.322548693,-0.356320432,0.721600609,0.990280556
ENSCAFG00000000017,NA,530.3411702,-0.002392363,0.300557188,-0.00795976,0.993649097,0.999777966
ENSCAFG00000000019,GALR1,774.8485099,0.038045682,0.511469014,0.074385117,0.940703951,0.99808689
ENSCAFG00000000020,MBP,1256.302509,-0.021597722,0.339897157,-0.063541932,0.949334969,0.99808689
ENSCAFG00000000021,ZNF236,585.9889148,0.193517279,0.312878781,0.618505601,0.536242107,0.965906411
ENSCAFG00000000022,ZNF516,727.2829209,0.065064994,0.242589646,0.268210105,0.788537597,0.992166356
ENSCAFG00000000026,TSHZ1,2992.561906,-0.383813076,0.51520871,-0.744966202,0.456292152,0.953455336
ENSCAFG00000000027,ZADH2,38.73494191,-0.588787826,0.394967488,-1.490724793,0.136033764,0.825469666
ENSCAFG00000000028,ZNF407,1372.22592,0.088275144,0.276798688,0.318914603,0.749791271,0.991783037
ENSCAFG00000000029,CNDP1,18.38688683,-0.105733783,0.658362642,-0.160601128,0.872407567,0.997394565
ENSCAFG00000000030,DIPK1C,80.45792784,-0.132705341,0.351302345,-0.377752505,0.70561446,0.990280556
ENSCAFG00000000031,CYB5A,341.0414132,0.470972248,2.104939495,0.223746217,0.822954782,0.993127888
ENSCAFG00000000033,NA,79.89160844,-0.480121902,0.341597753,-1.405518325,0.159867204,0.856118874
ENSCAFG00000000036,TIMM21,524.9034623,0.475176342,0.377942938,1.257270065,0.20865586,0.886399838
ENSCAFG00000000037,FBXO15,936.3418838,0.135059934,0.297473218,0.454023844,0.649811665,0.981272364
ENSCAFG00000000039,NA,181.8001123,0.377622765,2.138611514,0.176573802,0.859843174,0.996271927
ENSCAFG00000000042,NETO1,10.38091908,0.102648675,0.473614504,0.216734653,0.828415141,0.993127888
ENSCAFG00000000043,CBLN2,742.7289124,0.260525189,0.381920525,0.682145033,0.495147247,0.960318457
ENSCAFG00000000044,NA,7.05491349,0.334032119,0.601545567,0.555289802,0.578696453,NA
ENSCAFG00000000045,NA,8.527077453,0.485619618,0.881005172,0.551210859,0.581489137,0.972555157
ENSCAFG00000000047,SOCS6,467.0630391,0.221715522,1.215356899,0.182428324,0.855246599,0.996049287
ENSCAFG00000000049,RTTN,32.48191155,0.135575803,0.511437233,0.265087862,0.790941778,0.992166356
ENSCAFG00000000054,CD226,227.2590017,-0.115974833,0.333603821,-0.3476424,0.728108759,0.990280556
ENSCAFG00000000058,DOK6,977.0564834,-0.377546898,1.039987494,-0.363030229,0.716582303,0.990280556
ENSCAFG00000000059,CCDC102B,2358.06983,-2.68256585,1.663163296,-1.612929925,0.106759733,0.780205417
ENSCAFG00000000060,NA,291.4697367,-0.247943831,1.075937744,-0.230444403,0.817746461,0.993127888
ENSCAFG00000000061,TMX3,288.7435533,-0.665791453,0.415997405,-1.600470208,0.109494311,0.786217989
ENSCAFG00000000063,NA,287.1030131,-0.888289972,0.582618711,-1.524650609,0.127346267,0.815675603
ENSCAFG00000000064,NA,13992.73897,0.432813881,0.346582032,1.248806463,0.21173587,0.888353733
ENSCAFG00000000065,NA,382.7425915,0.69410038,0.724561594,0.957959109,0.338083378,0.934188555
ENSCAFG00000000066,NA,2040.462823,-0.062371431,0.225809776,-0.276212271,0.782385032,0.991783037
ENSCAFG00000000067,NA,630.872481,0.420769832,0.402560759,1.045233104,0.295915247,0.91573985
ENSCAFG00000000068,CDH19,292.19309,-0.142310582,0.488198928,-0.291501217,0.770668014,0.991783037
ENSCAFG00000000069,NA,1391.398923,-0.080669302,0.339924333,-0.237315468,0.812412063,0.993127888
ENSCAFG00000000070,CDH7,1397.371423,-0.288026914,0.385052905,-0.748019065,0.454448658,0.953251828
ENSCAFG00000000071,SERPINB8,711.2258353,-0.122818571,0.268447612,-0.457514111,0.647301562,0.981272364
ENSCAFG00000000072,SERPINB2,469.4830128,0.542337614,0.928722755,0.583960726,0.559246735,0.968189738
ENSCAFG00000000073,ITGA7,1177.942948,-0.317530674,0.27303518,-1.162966156,0.244843234,0.903253499
ENSCAFG00000000074,NA,976.4275256,1.463970537,1.050290771,1.393871656,0.163356365,0.863611868
ENSCAFG00000000075,NA,500.0900445,-4.007694045,1.021733609,-3.922445158,8.77E-05,0.022168851
ENSCAFG00000000076,RDH5,805.9329461,0.00868302,0.347995617,0.024951521,0.980093632,0.999203805
ENSCAFG00000000078,CD63,4222.878912,0.409921423,0.544316855,0.753093385,0.451393799,0.952033949
ENSCAFG00000000079,GDF11,820.7002164,0.075159007,0.39569024,0.18994405,0.849352974,0.995735852
ENSCAFG00000000080,VPS4B,53.45816596,0.740020764,0.526769678,1.404827945,0.160072447,0.85615788
ENSCAFG00000000081,KDSR,413.0287633,0.327507421,0.368933049,0.887715052,0.374694047,0.945404727
ENSCAFG00000000082,BCL2,1185.985914,0.084767686,0.272522771,0.311048085,0.755764067,0.991783037
ENSCAFG00000000083,NA,483.360808,0.054413188,0.415199635,0.131053073,0.895733323,0.997394565
ENSCAFG00000000087,PHLPP1,1597.651911,0.411029281,0.425059347,0.966992688,0.333547689,0.932832113
ENSCAFG00000000088,NA,560.8560497,-0.012842915,0.484454236,-0.026510068,0.978850503,0.999203805
ENSCAFG00000000093,NA,169.3729818,-0.112145982,1.369233267,-0.081904219,0.934722879,0.99808689
ENSCAFG00000000094,ZCCHC2,5655.972947,0.24735704,0.372983559,0.663184836,0.507212182,0.961922734
ENSCAFG00000000097,MMP19,271.2632086,1.831939149,1.226139742,1.494070444,NA,NA
ENSCAFG00000000100,TNFRSF11A,2743.594022,-0.912742348,0.49913759,-1.82863877,0.067453741,0.683856355
ENSCAFG00000000102,PYM1,12713.93778,-0.163590827,0.253049855,-0.646476669,0.517970702,0.964166297
