"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000030542","FEN1",0.794466403162055,1.33843725968909e-05,0.261026674992052
"ENSCAFG00000019976",NA,-0.750779406909967,5.68096146285789e-05,0.550843377027551
"ENSCAFG00000044701",NA,0.690361707616175,0.000376380335647501,0.776447068186347
"ENSCAFG00000011629","CLCF1",0.700734048560135,0.00040580994167591,0.780568477080561
"ENSCAFG00000033916",NA,-0.681652535729981,0.000476757533110831,0.788534417853154
"ENSCAFG00000047812",NA,0.676106900107988,0.000551989314849428,0.794858119651092
"ENSCAFG00000002935","VRK2",-0.684923771880294,0.000611061101579819,0.79878249874772
"ENSCAFG00000041383",NA,-0.672126544734911,0.000612064810517851,0.798842935856753
"ENSCAFG00000044379",NA,-0.669129952707175,0.000660909344577833,0.80157171540186
"ENSCAFG00000006244","NR2C1",-0.664783985842849,0.000737657626613728,0.805157491401096
"ENSCAFG00000016017","KRT24",-0.664011274817594,0.000752071767550183,0.805752392928267
"ENSCAFG00000001965","DNAJB5",-0.662711970173326,0.000776851904868524,0.80672541239696
"ENSCAFG00000003323","KIDINS220",-0.671372106154715,0.000849757907845914,0.809270115270973
"ENSCAFG00000010513","SYNC",-0.658006239173253,0.000872527068306463,0.80998055786593
"ENSCAFG00000004687","NOS3",0.65699880451175,0.000894266902066953,0.810626202260762
"ENSCAFG00000032632","WNT7A",0.66798418972332,0.000920256436010207,0.811359270344058
"ENSCAFG00000009983","ZNF423",0.651965593466826,0.00100993806562366,0.81360737209737
"ENSCAFG00000030864",NA,-0.651311020983666,0.00102587838629231,0.813966969121626
"ENSCAFG00000005725","SLC38A10",0.661208356860531,0.00107598427345459,0.81502977809043
"ENSCAFG00000014989","WDHD1",0.658949745906268,0.00113255060161349,0.816119484921665
"ENSCAFG00000005051","SCN5A",0.645850737370241,0.00116740646038008,0.816739670234754
"ENSCAFG00000010207","BDNF",-0.655561829474873,0.00122205335243407,0.817642463471535
"ENSCAFG00000015235","SLC19A2",0.643885933611595,0.00122224110267164,0.817645429326405
"ENSCAFG00000002588","IL11",0.654432523997741,0.00125317194140219,0.818122184410077
"ENSCAFG00000004231","DMBX1",0.641874523507803,0.00128063003206578,0.818526550688326
"ENSCAFG00000030330","CPTP",0.640678068351706,0.00131647342150363,0.819029580416581
"ENSCAFG00000044731",NA,0.638983152826966,0.00136870639806151,0.819716448948265
"ENSCAFG00000008614","RWDD2B",-0.636723265460646,0.00144107996135663,0.820587529147454
"ENSCAFG00000019486","MEIOB",-0.64652738565782,0.00149014682270191,0.821130900135143
"ENSCAFG00000016866","RAB25",0.633173184443447,0.00156132317348372,0.821859538185203
"ENSCAFG00000048253",NA,-0.632891846977755,0.00157120548120246,0.821955581365113
"ENSCAFG00000004616","RAB30",-0.63089525249487,0.00164287369934596,0.822618139629415
"ENSCAFG00000023978",NA,0.630569921534219,0.00165480995686334,0.822723010724729
"ENSCAFG00000050032",NA,-0.629674097923017,0.00168805773876658,0.823007438929188
"ENSCAFG00000002413","DST",-0.639751552795031,0.00172211286770514,0.823287580103412
"ENSCAFG00000017631","TMED1",0.639751552795031,0.00172211286770515,0.823287580103412
"ENSCAFG00000002323","MGAT4A",-0.635234330886505,0.00189298429397969,0.82454336103848
"ENSCAFG00000005205","BABAM2",-0.634105025409373,0.00193785318303445,0.824836954950087
"ENSCAFG00000018583","PDE4B",0.634105025409373,0.00193785318303446,0.824836954950087
"ENSCAFG00000039525",NA,-0.623096714559219,0.00194995070915129,0.824913835549837
"ENSCAFG00000008481","VPS29",-0.630717108977979,0.00207784545114947,0.825672623259541
"ENSCAFG00000042294","C12orf43",0.629587803500847,0.0021263524703252,0.825936863420301
"ENSCAFG00000010871","LRP5",0.628458498023715,0.00217580523971717,0.826194289404806
"ENSCAFG00000036060",NA,-0.616458257318988,0.00224831285106627,0.826551518607583
"ENSCAFG00000030713","BTBD19",-0.625070581592321,0.00232998716401146,0.826927616277613
"ENSCAFG00000008575","CUX2",0.613950885820881,0.00237060345065167,0.8271051185754
"ENSCAFG00000003833","SDC1",0.622811970638058,0.00243778025625716,0.827385870466113
