"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000005725","SLC38A10",0.801242236024845,9.20064894594443e-06,0.231987273791277
"ENSCAFG00000025396",NA,0.754760060097826,4.92472304756752e-05,0.496129969969707
"ENSCAFG00000045032",NA,0.745636857672476,6.80634125715375e-05,0.534805964048252
"ENSCAFG00000005139","JMJD6",0.741389045736872,0.000120823671478068,0.587114692818288
"ENSCAFG00000032632","WNT7A",0.712793024752486,0.000197031987358705,0.617238026046834
"ENSCAFG00000004805","WBP4",0.715415019762846,0.000269921839295151,0.631101040661204
"ENSCAFG00000018583","PDE4B",0.713156408808583,0.000287951379303217,0.633509243793184
"ENSCAFG00000048854","MESD",0.713156408808583,0.000287951379303217,0.633509243793184
"ENSCAFG00000002895","AMTN",0.696716050327213,0.000315147469937205,0.636647869617043
"ENSCAFG00000044548",NA,0.695848658078496,0.000322963106919105,0.637457080444258
"ENSCAFG00000011499","SNAI1",0.707509881422925,0.000337407039963649,0.638858757678962
"ENSCAFG00000042559",NA,0.691330160298766,0.000366434849994636,0.641356695667485
"ENSCAFG00000010913","C18H11orf24",0.697346132128741,0.000444089134340964,0.646494490651049
"ENSCAFG00000005749","HBEGF",0.696216826651609,0.000457494863896169,0.647211391128818
"ENSCAFG00000014026","SAR1A",0.695087521174478,0.000471234524699955,0.647905334770742
"ENSCAFG00000043917",NA,0.681380609810538,0.000480229469255838,0.648338885592827
"ENSCAFG00000008575","CUX2",0.68944099378882,0.000545180451207514,0.651058029638213
"ENSCAFG00000049041",NA,0.676331177284435,0.000548760428302374,0.651189763752863
"ENSCAFG00000019669","ELANE",0.673373295799456,0.000592673074010752,0.652679856154641
"ENSCAFG00000034682",NA,0.683794466403162,0.00062852692466123,0.653746255698299
"ENSCAFG00000043522",NA,0.683794466403162,0.00062852692466123,0.653746255698299
"ENSCAFG00000010999","PRKAR1A",0.681535855448899,0.000664707625219626,0.654708739840285
"ENSCAFG00000013419",NA,0.679277244494636,0.000702607145028985,0.655613222265003
"ENSCAFG00000030330","CPTP",0.679277244494636,0.000702607145028985,0.655613222265003
"ENSCAFG00000005378","HGSNAT",0.675889328063241,0.000762823566177139,0.656869596284424
"ENSCAFG00000043070",NA,0.661956330354051,0.000791581692405374,0.65740362646843
"ENSCAFG00000043844",NA,0.661195292318034,0.000806657231736263,0.657668684610327
"ENSCAFG00000012815","ARFGAP1",0.672501411631846,0.000827285787282749,0.658016046106591
"ENSCAFG00000043251",NA,-0.659485091855512,0.000841432142826943,0.658244609938846
"ENSCAFG00000010334","NSUN2",0.671372106154715,0.000849757907845914,0.658375644153431
"ENSCAFG00000044701",NA,0.6560640380153,0.000914850322931347,0.659319419338073
"ENSCAFG00000010346","MED10",0.66798418972332,0.000920256436010207,0.659391909572394
"ENSCAFG00000041153",NA,0.654752180863941,0.000944418000791797,0.659705931334335
"ENSCAFG00000002916",NA,0.665725578769057,0.000969918276813818,0.660020682408671
"ENSCAFG00000030485","YIF1A",0.665725578769057,0.000969918276813818,0.660020682408671
"ENSCAFG00000042294","C12orf43",0.665725578769057,0.000969918276813818,0.660020682408671
"ENSCAFG00000013494","NSF",0.664596273291925,0.000995577038301032,0.660321395541215
"ENSCAFG00000015233","PROM1",0.664596273291925,0.000995577038301032,0.660321395541215
"ENSCAFG00000009983","ZNF423",0.663466967814794,0.00102180089103959,0.660613388174435
"ENSCAFG00000046108",NA,0.647827032631967,0.00111437673440397,0.664280145509842
"ENSCAFG00000030041","RBM18",0.657820440429136,0.00116175365680019,0.665943917668019
"ENSCAFG00000030211","SDC4",0.654432523997741,0.00125317194140219,0.668818258718823
"ENSCAFG00000002441",NA,-0.641383945692964,0.00129522512157164,0.670011470254645
"ENSCAFG00000050051",NA,0.652173913043478,0.0013174025550254,0.670611655094976
"ENSCAFG00000013761","CCAR1",0.649915302089215,0.00138436739210759,0.672313044607988
"ENSCAFG00000042654",NA,-0.637108186942,0.00142852817823725,0.673351994194146
"ENSCAFG00000010871","LRP5",0.64652738565782,0.00149014682270191,0.674703548733175
"ENSCAFG00000041292",NA,0.634308921097157,0.00152196306397607,0.675360523252605
"ENSCAFG00000047582",NA,0.634204127404478,0.00152555919223601,0.67543313454938
"ENSCAFG00000023521",NA,-0.634129194726584,0.00152813501845527,0.67548494387823
"ENSCAFG00000011151","ZNF281",0.644268774703557,0.00156436218605889,0.676196334262859
"ENSCAFG00000048539",NA,0.643139469226426,0.00160261575518054,0.676914121601535
"ENSCAFG00000018451","RASD1",0.642010163749294,0.00164165012851253,0.677613539933287
