,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000001,ENPP1,276.6363458,-0.477332186,1.235966844,-0.386201449,0.699347481,0.997034862
ENSCAFG00000000002,NA,2.83940404,-0.13026586,0.734550021,-0.177341034,0.859240521,0.999191357
ENSCAFG00000000005,PARD6G,200.4952194,-1.839304619,0.913968418,-2.012437829,0.044173804,0.631511955
ENSCAFG00000000007,ADNP2,892.1025332,-0.259835611,0.141702801,-1.833666021,0.066703585,0.702786307
ENSCAFG00000000008,TXNL4A,1467.899604,0.117087192,0.252345734,0.463995129,0.642651236,0.992141653
ENSCAFG00000000009,SLC66A2,1371.715656,0.493900687,0.371625695,1.329027282,0.183838969,0.849228163
ENSCAFG00000000010,CTDP1,2600.083728,0.012419928,0.201834568,0.061535187,0.950932992,0.999583173
ENSCAFG00000000011,NFATC1,1583.165489,0.326769506,0.735406871,0.444338392,0.656797948,0.992267285
ENSCAFG00000000012,ATP9B,1114.121368,-0.048478821,0.34111793,-0.14211748,0.886987211,0.999191357
ENSCAFG00000000013,SALL3,100.9573118,0.468659052,2.639197271,0.177576363,0.859055689,0.999191357
ENSCAFG00000000014,NA,52.4779935,0.929902686,0.637225399,1.459299469,0.144482701,0.815600153
ENSCAFG00000000015,GALR1,4.150214833,3.242737615,2.29618519,1.41222826,NA,NA
ENSCAFG00000000016,MBP,539.0864035,-2.118455453,0.837744902,-2.528759587,0.01144664,0.422563845
ENSCAFG00000000017,ZNF236,618.1688822,-0.646181165,0.461784572,-1.39931302,NA,NA
ENSCAFG00000000019,ZNF516,692.8958838,0.284652041,0.69823507,0.407673652,0.683513283,0.996423175
ENSCAFG00000000020,TSHZ1,1095.069417,-0.765392064,0.264743833,-2.891066642,0.003839367,0.263479087
ENSCAFG00000000021,ZADH2,573.164267,-0.67258043,0.318631839,-2.11083874,0.034786175,0.58761798
ENSCAFG00000000022,ZNF407,711.967757,-0.462483009,0.211817309,-2.183405173,0.029005985,0.559303516
