"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSCAFG00000000001",337.071471007601,-0.488311476666286,0.84410656898025,-0.578495055732367,0.562929934515295,0.999983760805885
"ENSCAFG00000000005",254.315211211261,-1.21433000771358,0.844221389388513,-1.43840232310763,0.15031993387508,0.999983760805885
"ENSCAFG00000000007",831.978713540901,0.00331163430053199,0.168912187641433,0.0196056563281385,0.984357951604139,0.999983760805885
"ENSCAFG00000000008",1504.24387053495,-0.0231629827612421,0.280658283003794,-0.0825309073843686,0.934224541622684,0.999983760805885
"ENSCAFG00000000009",1469.39851585441,-0.0139881226504918,0.375968718125319,-0.0372055492282451,0.970321114033134,0.999983760805885
"ENSCAFG00000000010",2456.19634650621,0.0365775847350783,0.272309168204423,0.134323735687149,0.893146584957078,0.999983760805885
"ENSCAFG00000000011",1088.23005845594,-0.324605121253195,0.747663467095636,-0.434159398631783,0.664172694346413,0.999983760805885
"ENSCAFG00000000012",1110.62628615418,0.154381525548117,0.34075169847584,0.453061646467665,0.650504351879604,0.999983760805885
"ENSCAFG00000000014",56.7860010406589,0.00608667135253157,0.679364229954211,0.00895936389371252,0.992851557509207,0.999983760805885
"ENSCAFG00000000016",334.324506085347,-1.63695005713934,1.26903113532648,-1.28992111507036,0.197078048695181,0.999983760805885
"ENSCAFG00000000017",479.572684718495,-0.157210718039239,0.292607919619448,-0.537274309744247,0.59107814827802,0.999983760805885
"ENSCAFG00000000019",734.040388365738,-0.203720418285822,0.536324513420862,-0.379845435343657,0.704060153064353,0.999983760805885
"ENSCAFG00000000020",1072.67688889941,-0.61561974112766,0.385390408831318,-1.59739248050958,0.110178247567269,0.999983760805885
"ENSCAFG00000000021",520.443988631037,-0.310670930228279,0.324082925978573,-0.958615543506972,0.337752459238424,0.999983760805885
"ENSCAFG00000000022",631.05976194693,0.0497779608031448,0.176401546315457,0.282185512785287,0.777801266245037,0.999983760805885
"ENSCAFG00000000026",2588.80204344009,0.21441112481711,0.494731634958134,0.433388749913384,0.664732372171086,0.999983760805885
"ENSCAFG00000000027",42.3300788816108,0.344240327462639,0.403869554723815,0.852355230633928,0.394016960251924,0.999983760805885
"ENSCAFG00000000028",1278.30081717869,-0.044650713062968,0.24746354564255,-0.180433497576503,0.856812258592867,0.999983760805885
"ENSCAFG00000000029",17.7610140056446,-0.409056999834186,0.641991237222504,-0.637169132718885,0.524014681378737,0.999983760805885
"ENSCAFG00000000030",83.7435963392303,0.296610103566248,0.354374316214075,0.836996616275849,0.402594470032085,0.999983760805885
"ENSCAFG00000000031",390.607806790333,0.174669529049209,2.15314271127436,0.0811230617156024,0.935344085532623,0.999983760805885
"ENSCAFG00000000033",77.8028132622907,0.119247537151402,0.379726205575324,0.314035574581243,0.753494019870369,0.999983760805885
"ENSCAFG00000000036",452.279512027774,-0.191859462021138,0.352282332624851,-0.544618461537924,0.586015954796514,0.999983760805885
"ENSCAFG00000000037",801.400410562106,-0.130689843912711,0.252877974229633,-0.516809913203569,0.605288859238987,0.999983760805885
"ENSCAFG00000000039",157.14478242545,-0.576486730606472,1.8917087062779,-0.304743922091875,0.760561194708851,0.999983760805885
"ENSCAFG00000000042",11.0896720482648,-0.36799690429628,0.463502369042907,-0.79394827054749,0.427225546803423,NA
"ENSCAFG00000000043",673.0275882994,0.0479672918362259,0.378743502034978,0.12664848790408,0.899218618105448,0.999983760805885
"ENSCAFG00000000044",7.39158127568634,0.53342912499161,0.553165631474636,0.964320801293435,0.334885115169088,NA
"ENSCAFG00000000045",7.61992919860769,-0.310463903579674,1.15699762631485,-0.26833581722076,0.788440838647067,NA
"ENSCAFG00000000047",321.935488798788,-0.340095435529404,1.21300924482564,-0.280373325248886,0.779191100035437,0.999983760805885
"ENSCAFG00000000049",35.8500939734633,0.133605246609449,0.407307226793586,0.328020810387333,0.742895927970318,0.999983760805885
"ENSCAFG00000000054",240.220901976435,0.328727004366272,0.368218064152133,0.892750889675132,0.371990591224031,0.999983760805885
"ENSCAFG00000000058",1664.79964877945,1.02230051281344,0.926693267890088,1.10317032424443,0.269953205911,0.999983760805885
"ENSCAFG00000000059",2680.60650080487,2.24249001564484,1.30850783601954,1.71377652767175,0.086569775823006,0.999983760805885
"ENSCAFG00000000060",734.262543763155,-0.104140839458631,0.997316850779474,-0.104421016628003,0.916835244994724,0.999983760805885
"ENSCAFG00000000061",302.845570364667,-0.211286376329705,0.44534619385457,-0.474431754992614,0.635192052939433,0.999983760805885
"ENSCAFG00000000063",276.739984147641,-0.127476050334712,0.619368749292202,-0.205816083682601,0.836934577201993,0.999983760805885
"ENSCAFG00000000064",13726.763494939,-0.0596834706020285,0.418928997012652,-0.142466792768289,0.886711307319067,0.999983760805885
"ENSCAFG00000000065",538.226457007073,-0.0928391413947647,0.759195541695364,-0.122286204667963,0.90267235707985,0.999983760805885
"ENSCAFG00000000066",1955.06769599634,-0.0489996009436221,0.205520790150029,-0.238416760211231,0.811557869405181,0.999983760805885
"ENSCAFG00000000067",567.623998532902,-0.163452053560917,0.41096342620412,-0.397728953816275,0.690829992327544,0.999983760805885
"ENSCAFG00000000068",299.132178916736,-0.440748786147949,0.365572936841281,-1.20563844237547,0.227956929828438,0.999983760805885
"ENSCAFG00000000069",1333.29287409114,-0.0439022685249161,0.321869603005461,-0.136397684388268,0.89150690416201,0.999983760805885
"ENSCAFG00000000070",1213.92783669331,-0.26489128020831,0.385501633884655,-0.687134001324538,0.49199828955855,0.999983760805885
"ENSCAFG00000000071",749.275420036122,0.239338456016529,0.243539338852679,0.98275070115596,0.325730150518535,0.999983760805885
"ENSCAFG00000000072",579.413516679778,-0.241451901386237,0.960568278382306,-0.25136360092264,0.801533006682185,0.999983760805885
"ENSCAFG00000000073",1130.8031487104,0.34467517251614,0.328747959426005,1.04844809719259,0.294432203591046,0.999983760805885
"ENSCAFG00000000074",1049.40751850569,-0.469047871605063,1.07718753658115,-0.435437521950687,0.663244879804658,0.999983760805885
"ENSCAFG00000000075",490.482170951511,1.97971670081836,1.2478562095136,1.58649424967804,NA,NA
"ENSCAFG00000000076",795.392873898473,-0.128719461922435,0.302946037744327,-0.424892376480159,0.670915132330434,0.999983760805885
"ENSCAFG00000000078",3637.34926989135,-0.0939226768298492,0.477100514296962,-0.196861403447133,0.843935998169519,0.999983760805885
"ENSCAFG00000000079",795.291251828465,-0.436090508787039,0.344758217975732,-1.26491693612866,0.205901105531667,0.999983760805885
"ENSCAFG00000000080",69.3773736494418,0.235566594353347,0.700659934963317,0.336206742527214,0.736714968761175,0.999983760805885
