,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000001,ENPP1,364.84916,-0.728535331,1.183175077,-0.615746009,0.538062167,0.999485158
ENSCAFG00000000002,NA,2.726074205,0.335268161,0.735540144,0.455812187,0.64852504,0.999485158
ENSCAFG00000000005,PARD6G,258.6227303,-1.168310103,0.860137768,-1.358282528,0.174374052,0.999094281
ENSCAFG00000000007,ADNP2,820.8693599,-0.227683799,0.165904722,-1.372376845,0.169946155,0.999094281
ENSCAFG00000000008,TXNL4A,1323.898715,0.156361775,0.294103206,0.531656141,0.594964174,0.999485158
ENSCAFG00000000009,SLC66A2,1250.914537,-0.314652594,0.365036085,-0.861976684,0.388700349,0.999485158
ENSCAFG00000000010,CTDP1,2476.391043,-0.064589616,0.248585051,-0.259829042,0.794995648,0.999485158
ENSCAFG00000000011,NFATC1,1506.592352,0.139993573,0.907436828,0.15427363,0.877393989,0.999485158
ENSCAFG00000000012,ATP9B,1082.603723,-0.315612163,0.326292273,-0.967268272,0.33340994,0.999485158
ENSCAFG00000000013,SALL3,88.22101855,0.387447251,2.886734357,0.134216455,0.893231415,0.999485158
ENSCAFG00000000014,NA,41.1217,0.247547264,0.480966597,0.514687018,0.606771747,0.999485158
ENSCAFG00000000015,GALR1,1.194594886,-1.845277185,2.394850771,-0.770518651,0.440992296,NA
ENSCAFG00000000016,MBP,503.5243257,-1.165255531,1.444079635,-0.806919163,0.419713057,0.999485158
ENSCAFG00000000017,ZNF236,599.2526198,-0.574839237,0.507473097,-1.132748198,0.257320011,0.999485158
ENSCAFG00000000019,ZNF516,710.8671174,-0.112581119,0.731678601,-0.153866901,0.877714683,0.999485158
ENSCAFG00000000020,TSHZ1,1391.171253,-0.451744327,0.381131548,-1.185271407,0.235910155,0.999485158
ENSCAFG00000000021,ZADH2,687.7721026,-0.270873383,0.390112051,-0.694347643,0.48746422,0.999485158
ENSCAFG00000000022,ZNF407,708.8915195,-0.353147367,0.235019851,-1.502627822,0.132935045,0.987967059
ENSCAFG00000000024,CNDP1,4.113139127,0.360076787,0.918448941,0.392048781,0.695022171,0.999485158
ENSCAFG00000000025,DIPK1C,1.032234071,-0.207068429,2.9852853,-0.069363028,0.944700657,NA
ENSCAFG00000000026,CYB5A,3708.101754,-0.178083911,0.720896982,-0.247031013,0.804884223,0.999485158
ENSCAFG00000000027,NA,33.78358279,0.1817287,0.370075826,0.491058013,0.623385417,0.999485158
ENSCAFG00000000028,TIMM21,1329.568393,-0.272969311,0.31777042,-0.859014224,0.390332668,0.999485158
ENSCAFG00000000029,FBXO15,18.62916708,-0.894981784,0.675757221,-1.324413202,0.185365853,0.999094281
ENSCAFG00000000030,NA,68.3588228,0.289717969,0.336185457,0.861780195,0.388808485,0.999485158
ENSCAFG00000000031,NETO1,479.0553582,0.424983578,1.810383354,0.234747838,0.814404456,0.999485158
ENSCAFG00000000032,CBLN2,1.378703084,2.104027232,1.474675609,1.426772925,0.153645358,NA
ENSCAFG00000000033,NA,72.92485946,-0.131567444,0.413831914,-0.317924837,0.750541952,0.999485158
ENSCAFG00000000034,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000036,SOCS6,473.1472,-0.057201546,0.291936392,-0.195938389,0.844658389,0.999485158
ENSCAFG00000000037,RTTN,846.3478913,-0.144939993,0.307787022,-0.470910021,0.637704991,0.999485158
ENSCAFG00000000038,CD226,4.022303583,-1.100095673,1.265583353,-0.86924,0.384715873,0.999485158
ENSCAFG00000000039,DOK6,188.0654718,0.685285362,1.852745922,0.369875521,0.711475242,0.999485158
ENSCAFG00000000040,CCDC102B,1.782048211,-1.85305071,1.386424143,-1.336568408,0.181363557,0.999094281
ENSCAFG00000000042,NA,10.66500016,-0.280183506,0.335609526,-0.834849681,0.40380235,0.999485158
ENSCAFG00000000043,TMX3,653.4651404,-0.313230816,0.330020025,-0.949126697,0.342556178,0.999485158
ENSCAFG00000000044,NA,6.483778741,0.582542721,0.432168796,1.347951836,0.177673874,0.999094281
