,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000001,ENPP1,345.3432966,0.581385799,1.194414686,0.486753726,0.626432866,0.962734156
ENSCAFG00000000002,NA,2.540294449,-0.301568642,0.932097794,-0.323537556,0.74628817,0.97882595
ENSCAFG00000000005,PARD6G,291.2449169,0.550649516,0.89685205,0.613980328,0.539228326,0.947693397
ENSCAFG00000000007,ADNP2,897.8343499,0.07187428,0.220773803,0.325556201,0.744760155,0.978661445
ENSCAFG00000000008,TXNL4A,1564.240594,0.223433816,0.268749684,0.831382617,0.405757516,0.918435885
ENSCAFG00000000009,SLC66A2,1395.377315,0.170806668,0.337822003,0.505611435,0.613129452,0.960725885
ENSCAFG00000000010,CTDP1,2816.045256,0.003526908,0.253662997,0.013903912,0.988906641,0.998520638
ENSCAFG00000000011,NFATC1,1684.889135,-0.985153166,0.851467605,-1.157006045,0.247269891,0.837748695
ENSCAFG00000000012,ATP9B,1093.054657,-0.396835506,0.259250086,-1.530705398,0.125842219,0.703999272
ENSCAFG00000000013,SALL3,16.0068314,-2.106360552,2.233299643,-0.943160744,NA,NA
ENSCAFG00000000014,NA,50.77117766,0.997957874,0.662543899,1.5062517,0.132002572,0.712499018
ENSCAFG00000000015,GALR1,0.58225099,-0.685095088,1.761342839,-0.388961804,0.697304402,NA
ENSCAFG00000000016,MBP,454.8012305,-1.891725372,1.317322432,-1.436038229,0.150991463,0.741720324
ENSCAFG00000000017,ZNF236,639.2862639,-0.638420079,0.472025063,-1.352513095,0.176211233,0.766379348
ENSCAFG00000000019,ZNF516,648.1510506,0.381681668,0.701691655,0.543945001,0.58647932,0.955930456
ENSCAFG00000000020,TSHZ1,1513.228534,0.29606866,0.547313244,0.540949196,0.5885426,0.955930456
ENSCAFG00000000021,ZADH2,668.4950558,-0.039329773,0.407135154,-0.096601269,0.923043048,0.992720865
ENSCAFG00000000022,ZNF407,668.6082165,-0.125528628,0.172058869,-0.729567905,0.465654347,0.934814956
ENSCAFG00000000024,CNDP1,5.966394825,0.384594336,0.946236143,0.406446465,0.684414585,0.972381235
ENSCAFG00000000025,DIPK1C,28.95694563,4.708236443,2.516530835,1.870923407,NA,NA
ENSCAFG00000000026,CYB5A,3042.11863,-0.675822744,0.558170537,-1.210781828,0.225979032,0.816887059
ENSCAFG00000000027,NA,37.29067352,-0.056296807,0.431536719,-0.130456585,0.896205201,0.992720865
