"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BMI1_DN_MEL18_DN.V1_DN","BMI1_DN_MEL18_DN.V1_DN",95,0.870835211676231,1.86968805957124,0.000272919759121664,0.030340337740337,0.0249721704805685,350,"tags=13%, list=3%, signal=12%","PROM1/NMNAT2/CUX2/PCDH8/CRLF1/C1orf54/CXCL14/PDE4B/ABCA4/RBP4/ZNF423/FCGRT"
"ERBB2_UP.V1_UP","ERBB2_UP.V1_UP",142,0.845890951038212,1.81498434588908,0.000322769550429117,0.030340337740337,0.0249721704805685,240,"tags=6%, list=2%, signal=6%","GDF15/ITGB6/S100P/PCDH8/CRLF1/NDRG1/PDE4B/KIAA0513"
"SNF5_DN.V1_UP","SNF5_DN.V1_UP",126,-0.828203551919329,-1.76875535610116,0.000737581418678481,0.0462217689038515,0.0380436731739427,120,"tags=8%, list=1%, signal=8%","CXCR4/MLF2/CXCL10/PSMB9/CFP/SEMA4D/ASS1/ENPP3/IFI44L/RIPOR2"
"MEK_UP.V1_UP","MEK_UP.V1_UP",157,0.815479391315503,1.77278395342483,0.00104519191601636,0.049124020052769,0.0404324241195803,147,"tags=4%, list=1%, signal=4%","ALDH3A1/GDF15/S100P/CRLF1/PLAU/EPHA1"
"GCNP_SHH_UP_LATE.V1_DN","GCNP_SHH_UP_LATE.V1_DN",136,0.818140524796254,1.75824211136014,0.0016019366763465,0.0602328190306285,0.0495757245100917,101,"tags=3%, list=1%, signal=3%","LAMC2/VNN1/S1PR1/CDCP1"
"IL15_UP.V1_DN","IL15_UP.V1_DN",103,0.839172010112215,1.80481564667663,0.0019779121624414,0.0619745810898306,0.0510093136629625,105,"tags=6%, list=1%, signal=6%","SELP/PROM1/SIGLEC15/CUX2/SYT1/TNFAIP2"
"BMI1_DN_MEL18_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP",113,0.819248271585118,1.77206453959029,0.00268652492947068,0.0721523838200697,0.0593863405461939,415,"tags=14%, list=3%, signal=14%","ITGB6/VNN1/LAMB3/TCIM/WNT5B/COL7A1/COL13A1/PLAUR/LIF/HAS2/ABLIM3/ITGA5/PIEZO1/HBEGF/FOSL1/JAG1"
"KRAS.KIDNEY_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP",98,0.836955346832551,1.80707497442201,0.00325855645953102,0.0765760767989789,0.0630273420461921,148,"tags=4%, list=1%, signal=4%","NMNAT2/SIGLEC15/SYT1/WIF1"
"IL2_UP.V1_UP","IL2_UP.V1_UP",137,0.805472498199513,1.72571577143298,0.0040299272109088,0.0781228870006717,0.0643004725033524,329,"tags=9%, list=3%, signal=9%","EVX1/CNKSR2/F2RL2/HTR4/CXCL12/CDCP1/EGR1/SH2D4A/TPBG/URB2/LIF/SPHK1"
"ESC_V6.5_UP_LATE.V1_UP","ESC_V6.5_UP_LATE.V1_UP",143,0.792144795840347,1.69411446841699,0.00457101998408185,0.0781228870006717,0.0643004725033524,327,"tags=6%, list=3%, signal=6%","EVX1/ARHGEF16/UNC5B/SLC39A8/NDRG1/RHOU/RBP4/DCXR"
"MEK_UP.V1_DN","MEK_UP.V1_DN",153,-0.757083288098097,-1.65965990814695,0.00437919791657874,0.0781228870006717,0.0643004725033524,634,"tags=12%, list=5%, signal=12%","GALC/OASL/NMRK1/OAS2/RAB29/SYCP2/MTIF2/DDX60/TAP1/BST2/HSPA4L/OAS3/IFI44/ISG15/IFI35/OAS1/ASS1/HERC6/IFI44L"
"PRC2_SUZ12_UP.V1_DN","PRC2_SUZ12_UP.V1_DN",111,0.819027193072818,1.77951156140658,0.00545607404346275,0.0789032246285383,0.0649427436752247,152,"tags=6%, list=1%, signal=6%","ALDH3A1/ACP5/ARHGEF16/AP1M2/HYAL1/CACNA2D2/DLGAP1"
"EGFR_UP.V1_UP","EGFR_UP.V1_UP",157,0.781731016155616,1.69941781005596,0.00521950205955771,0.0789032246285383,0.0649427436752247,312,"tags=5%, list=3%, signal=5%","ITGB6/MMP1/S100P/CCL22/TCIM/PDE4B/LIF/IFIT3"
"P53_DN.V2_UP","P53_DN.V2_UP",60,0.853334543891801,1.79144017481816,0.00944445958932951,0.118370560186263,0.0974270568162413,563,"tags=20%, list=5%, signal=19%","KCNMB1/EVX1/CXCL12/MMP13/SDC4/KRT14/CLCF1/EML3/P2RY11/RFX2/PCDH1/PPEF1"
"TGFB_UP.V1_UP","TGFB_UP.V1_UP",154,0.756879768354707,1.63900739042614,0.0088551297669583,0.118370560186263,0.0974270568162413,393,"tags=10%, list=3%, signal=10%","ITGB6/SNAI1/HYAL1/FGF1/SMOX/IL1RL1/STC1/LIPG/PXDC1/SMURF2/IL11/JMJD6/LIF/SPHK1/CLCF1/ITGA5"
"P53_DN.V1_UP","P53_DN.V1_UP",148,0.76245793808056,1.64157383160802,0.010144283131159,0.119195326791118,0.0981058960710774,330,"tags=8%, list=3%, signal=8%","NMNAT2/MMP1/S100P/SERPINB5/EFNB2/PLAU/IGFBP6/COL17A1/COL13A1/SDC4/TPBG/TGFBI"
"KRAS.300_UP.V1_DN","KRAS.300_UP.V1_DN",68,-0.81631335805416,-1.71971001425626,0.0108950587253984,0.120486531786758,0.0991686459835021,288,"tags=18%, list=2%, signal=17%","P2RX1/RASAL1/YBX2/MAP2K6/BST2/MX2/PDE11A/CIITA/OAS1/RTP4/IFI44L/TNFRSF13B"
"RAF_UP.V1_UP","RAF_UP.V1_UP",165,0.746430704723801,1.62674496397701,0.0120760569407587,0.122460920062041,0.100793702402688,431,"tags=7%, list=4%, signal=7%","ITGB6/S100P/FGF1/STS/TCIM/PXDC1/GM2A/CD44/IMPA2/PTER/HBEGF/NEDD4"
"STK33_NOMO_DN","STK33_NOMO_DN",186,-0.695884692327779,-1.54446339325676,0.0123763695807382,0.122460920062041,0.100793702402688,215,"tags=5%, list=2%, signal=5%","ACAP1/RRP15/HSPA4L/ALX3/CCR10/ITGB7/NXT2/SEPTIN1/MAP4K1"
"BMI1_DN.V1_UP","BMI1_DN.V1_UP",118,0.790393490997862,1.71751082746511,0.0144568547082184,0.129364871524889,0.106476126059119,415,"tags=12%, list=3%, signal=12%","ITGB6/VNN1/LAMB3/CDCP1/TCIM/COL7A1/COL13A1/LIF/HAS2/ITGA5/PIEZO1/HBEGF/PLXNA2/JAG1"
"E2F3_UP.V1_DN","E2F3_UP.V1_DN",95,0.79986402000881,1.71731251497342,0.0158265534312364,0.129364871524889,0.106476126059119,335,"tags=7%, list=3%, signal=7%","MMP1/S100P/IL6/LFNG/RAB43/LIF/PCNX3"
"RB_P107_DN.V1_DN","RB_P107_DN.V1_DN",107,0.764361544223199,1.64833663531061,0.0157411583587657,0.129364871524889,0.106476126059119,237,"tags=6%, list=2%, signal=6%","ACP5/CXCL12/CRABP2/SYTL1/RHOU/ELOVL1"
"ERBB2_UP.V1_DN","ERBB2_UP.V1_DN",167,-0.706192099837094,-1.56684227022226,0.014530330084708,0.129364871524889,0.106476126059119,609,"tags=10%, list=5%, signal=10%","USP16/NMRK1/OAS2/NCAPG/SMC3/BRWD1/MTIF2/DDX60/RAD51AP1/BST2/RRP15/HSPA4L/IFI44/OAS1/ASS1/HERC6/IFI44L"
"STK33_DN","STK33_DN",196,-0.697275617134115,-1.55871540507018,0.01694120901357,0.132706137272965,0.109226216008543,215,"tags=4%, list=2%, signal=4%","MTR/C10orf95/ACAP1/RRP15/SLCO4C1/NXT2/MAP4K1/RIPOR2"
"MEL18_DN.V1_DN","MEL18_DN.V1_DN",101,0.796562391038302,1.71665720620553,0.0177523873757044,0.133497953065297,0.109877934493833,353,"tags=14%, list=3%, signal=14%","PROM1/NMNAT2/CUX2/PCDH8/CRABP2/C1orf54/CXCL14/EGR1/PDE4B/RGS2/RBP4/NTS/PTER/ASIC2"
"LTE2_UP.V1_DN","LTE2_UP.V1_DN",157,-0.725379081147913,-1.60063373191605,0.0186590347141359,0.134919174086829,0.111047696476841,585,"tags=11%, list=5%, signal=11%","OASL/NMRK1/OAS2/EIF2AK2/DDX60/TAP1/USP25/NUP58/BST2/OAS3/CBFA2T3/PSMB9/IFI44/ISG15/IFI35/OAS1/HERC6/IFI44L"
"MYC_UP.V1_DN","MYC_UP.V1_DN",116,0.776980194721873,1.6857692524366,0.0221989351111607,0.15457036299623,0.127221967303728,149,"tags=5%, list=1%, signal=5%","MMP1/SYT1/IL6/TNFAIP2/C1orf54/WNT5B"
"STK33_NOMO_UP","STK33_NOMO_UP",223,0.682167204873058,1.49013112193073,0.0259680665664017,0.174357018374411,0.143507736288009,261,"tags=5%, list=2%, signal=5%","ACP5/GDF15/COL6A3/MMP1/LAMB3/EFNB2/PLAU/STC1/KCNJ15/RGS2/SDC4"
"IL2_UP.V1_DN","IL2_UP.V1_DN",109,0.760788124848148,1.64439625307118,0.0380589860705758,0.210698419983919,0.173419192260001,331,"tags=8%, list=3%, signal=8%","PROM1/CUX2/SYT1/TRPM1/TNFAIP2/CD34/RGS2/CACNA1E/CD72"
"SRC_UP.V1_UP","SRC_UP.V1_UP",98,0.756365153790726,1.63307223750078,0.034280146498005,0.210698419983919,0.173419192260001,377,"tags=6%, list=3%, signal=6%","CPLX2/CFAP45/TMEFF2/MED10/CD70/PRADC1"
"PDGF_ERK_DN.V1_DN","PDGF_ERK_DN.V1_DN",124,0.726019309707505,1.57037912733646,0.0366634514677534,0.210698419983919,0.173419192260001,326,"tags=7%, list=3%, signal=7%","ITGB6/ARHGEF16/SMOX/EFNB2/EGR1/ZFP36L2/SAC3D1/THAP11/CDR2L"
"DCA_UP.V1_DN","DCA_UP.V1_DN",123,-0.714624932705602,-1.52829225289638,0.0353142241483424,0.210698419983919,0.173419192260001,393,"tags=5%, list=3%, signal=5%","MED23/CLIC5/TXLNA/SETD4/AGAP2/FGR"
"TBK1.DF_DN","TBK1.DF_DN",257,0.657253816401832,1.44752377555964,0.0371321989939789,0.210698419983919,0.173419192260001,229,"tags=3%, list=2%, signal=3%","ALDH3A1/ITGB6/SLC39A8/COL17A1/IL1RL1/OSBPL3/CDK6/SMURF2"
"NFE2L2.V2","NFE2L2.V2",259,0.652609633271841,1.43859294054261,0.0381050334013471,0.210698419983919,0.173419192260001,341,"tags=6%, list=3%, signal=6%","ALDH3A1/CPLX2/F2RL2/PRSS53/CXCL12/IL18R1/GCKR/ADAMTS12/PTPRZ1/ACOT11/STYK1/ELAPOR1/TSKU/ST8SIA2/FAT3"
"PDGF_UP.V1_DN","PDGF_UP.V1_DN",63,0.799319945158746,1.67294706064414,0.039772711522159,0.21258141662564,0.174969027121888,82,"tags=3%, list=1%, signal=3%","ITGB6/PCDH8"
"KRAS.600_UP.V1_UP","KRAS.600_UP.V1_UP",157,0.72268615075421,1.57105921383578,0.0418378319954718,0.21258141662564,0.174969027121888,116,"tags=6%, list=1%, signal=6%","NMNAT2/MMP1/SIGLEC15/SYT1/ESM1/PCDH8/PLAU/IL1RL1/STC1"
"STK33_SKM_UP","STK33_SKM_UP",202,-0.641685209968164,-1.4422831752415,0.0413896615375704,0.21258141662564,0.174969027121888,306,"tags=4%, list=2%, signal=4%","TLR1/NECAP1/RESF1/SLC12A6/IL1B/CD101/KCNJ2/FGR"
"JNK_DN.V1_DN","JNK_DN.V1_DN",123,-0.70838254608082,-1.51494232528873,0.0430062025396675,0.212767528354145,0.175122209787566,36,"tags=3%, list=0%, signal=3%","IRGC/ATP2A3/ARHGAP4/NELL2"
"HOXA9_DN.V1_UP","HOXA9_DN.V1_UP",150,0.711738449606103,1.53501598054602,0.0445370106496928,0.21469123082416,0.176705548326716,604,"tags=9%, list=5%, signal=8%","GDF15/COL6A3/ZMAT3/SLC39A6/SRD5A1/FCGRT/RCBTB1/COQ10B/IL13RA1/FZD2/TWF1/XPC/SLC30A1"
"KRAS.AMP.LUNG_UP.V1_DN","KRAS.AMP.LUNG_UP.V1_DN",68,0.767369650276799,1.6023483763443,0.0468164794007491,0.220037453183521,0.18110585452395,122,"tags=6%, list=1%, signal=6%","PROM1/CPLX2/MMP13/CD34"
"KRAS.50_UP.V1_UP","KRAS.50_UP.V1_UP",32,0.858859862650621,1.76324812990232,0.0483870967741935,0.221872541306058,0.182616257401963,247,"tags=16%, list=2%, signal=15%","SIGLEC15/PCDH8/IL1RL1/STC1/RBP4"
