Cytokine,Collection,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
il.10,C2,MARCHINI_TRABECTEDIN_RESISTANCE_DN,MARCHINI_TRABECTEDIN_RESISTANCE_DN,41,-0.992603147,-1.727628913,3.19E-07,0.001795742,0.001765538,5,"tags=7%, list=0%, signal=7%",IMPDH1/ACTA2/CNTN2
il.10,C7,GSE6269_E_COLI_VS_STREP_PNEUMO_INF_PBMC_DN,GSE6269_E_COLI_VS_STREP_PNEUMO_INF_PBMC_DN,107,0.977263381,1.508464983,3.92E-06,0.009970359,0.009747083,59,"tags=7%, list=0%, signal=8%",BPI/STAB1/IL1R2/S100P/CD163/ADAM8/MYO1F/ALOX5AP
il.10,C7,GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP,GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP,173,0.967749806,1.482408921,2.18E-06,0.009970359,0.009747083,9,"tags=2%, list=0%, signal=2%",STAB1/IL1R2/CD163
il.10,C7,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP,161,0.965676722,1.478705515,7.80E-06,0.013246715,0.012950068,135,"tags=6%, list=1%, signal=6%",CCL7/STAB1/ANPEP/CD163/DNM1/SERPINB2/OASL/CD83/IL1B/CXCL8
il.10,C7,GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP,GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP,148,0.964730333,1.467294531,2.92E-05,0.037152437,0.036320445,213,"tags=14%, list=2%, signal=13%",CSF1R/ANPEP/CD163/MGST1/PTPN6/IGSF6/ZNF385A/SLC11A1/SLC43A2/IRF5/MAFB/CYBB/FCGRT/ALAS1/SLC37A2/NCF2/ATP6V0B/HMOX1/ALDH3B1/PTAFR
il.10,C2,JIANG_AGING_HYPOTHALAMUS_UP,JIANG_AGING_HYPOTHALAMUS_UP,34,0.992658022,1.633221277,1.56E-05,0.043930593,0.04319168,6,"tags=6%, list=0%, signal=6%",CSF1R/CTSS
il.10,C2,MARKEY_RB1_ACUTE_LOF_DN,MARKEY_RB1_ACUTE_LOF_DN,151,0.967058855,1.493807981,3.10E-05,0.05816254,0.057184245,110,"tags=9%, list=1%, signal=9%",CSF1R/CCL7/STAB1/ADAM8/ISG20/PTPN6/SMPDL3A/CASP4/CLEC4D/C5AR1/CCL5/CXCL14/CFP/BCL2A1
il.10,C7,GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_DN,GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_DN,119,0.969537111,1.491089852,8.09E-05,0.063514688,0.06209234,135,"tags=7%, list=1%, signal=7%",BPI/STAB1/CTSS/S100P/CD163/CYBB/LCN2/CXCL8
il.10,C7,GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP,GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP,156,0.961243266,1.475317823,8.73E-05,0.063514688,0.06209234,142,"tags=4%, list=1%, signal=4%",IL1R2/S100P/CD163/ALOX5AP/ITGB7/ALAS1
il.10,C7,GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP,GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP,165,0.95594532,1.461334062,6.88E-05,0.063514688,0.06209234,68,"tags=2%, list=1%, signal=2%",CSF1R/IL1R2/PYCARD/KCTD12
