"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MEL18_DN.V1_DN","MEL18_DN.V1_DN",93,0.8871659253422,1.73853143248539,0.00148902179279861,0.156658537899636,0.146483627263378,197,"tags=6%, list=2%, signal=6%","CXCL14/SNCAIP/COL14A1/MAF/EPB41L3/ESRP1"
"RB_DN.V1_DN","RB_DN.V1_DN",93,0.875725772925478,1.71611278000928,0.00349569237084698,0.156658537899636,0.146483627263378,188,"tags=6%, list=2%, signal=6%","MMP9/CELSR1/BASP1/ACKR3/LRRC4/DKK3"
"BMI1_DN.V1_UP","BMI1_DN.V1_UP",105,0.868512539202414,1.70673303592513,0.0019213357780444,0.156658537899636,0.146483627263378,281,"tags=10%, list=2%, signal=10%","MMP15/TNFSF9/ABCA1/TAGLN/SLC2A6/F3/ACKR3/HBEGF/GFPT2/ITGB6/EDN1"
"BMI1_DN_MEL18_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP",104,0.866516587764415,1.69984148868773,0.00401624552185454,0.156658537899636,0.146483627263378,281,"tags=11%, list=2%, signal=10%","KRT75/TNFSF9/CXCL8/ABCA1/TAGLN/F3/HBEGF/GFPT2/ITGB6/ADAM19/EDN1"
"MEL18_DN.V1_UP","MEL18_DN.V1_UP",105,0.851896110780774,1.67407972806115,0.00495626724347814,0.156658537899636,0.146483627263378,281,"tags=9%, list=2%, signal=8%","MMP15/TNFSF9/SPP1/SLC2A6/F3/HBEGF/GFPT2/ADAM19/EDN1"
"JNK_DN.V1_DN","JNK_DN.V1_DN",113,0.849734710710754,1.67054231058623,0.00514548449733184,0.156658537899636,0.146483627263378,296,"tags=8%, list=3%, signal=8%","GRIN2C/KRT75/PCDH9/MMP2/NR2E1/CDC45/ANKRD1/NPR1/CYP1A1"
"RPS14_DN.V1_UP","RPS14_DN.V1_UP",119,0.84894171098167,1.6685285926166,0.00583303066647582,0.156658537899636,0.146483627263378,263,"tags=12%, list=2%, signal=12%","PYCARD/CACNB4/ENPP2/IGSF6/SPP1/CXCL8/MAF/COLEC12/IL1B/GPNMB/FLVCR2/IL1RAP/ANKRD1/NR4A3"
"STK33_NOMO_DN","STK33_NOMO_DN",181,-0.714345248426837,-1.71716366703453,0.00876602494889341,0.206001586298995,0.192621864008579,260,"tags=6%, list=2%, signal=5%","AGO4/SLAIN1/TET1/ZNF280C/NHSL2/CYFIP2/MAP4K1/LCK/SEPTIN1/SELL"
"ATM_DN.V1_UP","ATM_DN.V1_UP",70,-0.825187968737026,-1.87309383029108,0.0131901540471384,0.275527662318002,0.257632248640013,384,"tags=13%, list=3%, signal=13%","TXK/NUMB/ADARB1/MYOM1/RGS12/CIITA/PHKG1/CLIC2/ASIC4"
"CRX_DN.V1_DN","CRX_DN.V1_DN",89,0.831775844235819,1.63294915132956,0.0211732431692806,0.398056971582476,0.372203327291565,225,"tags=8%, list=2%, signal=8%","SMPDL3A/TNFRSF13B/NAB1/CEBPB/C1QTNF6/LRRC4/TGM2"
