gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000015813,PADI2,787.4380752,-5.073939558,0.867940381,2.32E-09,3.44E-05
ENSCAFG00000016041,PAX3,312.5181003,7.223498658,1.337238293,1.14E-08,8.45E-05
ENSCAFG00000041995,NA,2811.343777,-1.148517806,0.382679279,1.47E-06,0.007256492
ENSCAFG00000017893,HS3ST3A1,61.61806123,4.216721113,2.306774417,2.26E-05,0.066939858
ENSCAFG00000019758,NA,2229.336434,0.338538868,0.128013469,2.26E-05,0.066939858
ENSCAFG00000029738,CACNG7,92.54872104,3.692089007,2.821843876,5.03E-05,0.124455236
ENSCAFG00000013195,EFEMP2,85.20501102,-2.82435915,2.56875491,8.48E-05,0.165064866
ENSCAFG00000024087,CGAS,77.65184348,2.50273217,2.290932633,8.90E-05,0.165064866
ENSCAFG00000035292,NA,22.75279308,2.53610209,2.562589799,0.000109651,0.180754196
ENSCAFG00000005393,MAP3K10,319.5554799,0.205470323,0.270380538,0.000220542,0.186360514
ENSCAFG00000009905,MMP9,16.74227236,1.609876802,2.11702697,0.000212126,0.186360514
ENSCAFG00000014219,KLHDC2,1613.092552,-0.248692461,0.177927939,0.000190828,0.186360514
ENSCAFG00000015155,TIMP1,20968.66793,-1.087753763,1.37736625,0.000161903,0.186360514
ENSCAFG00000015228,VWF,93.92784551,1.453491714,1.968616051,0.000226105,0.186360514
ENSCAFG00000015416,ANO8,992.8292169,0.22662848,0.242907811,0.00018726,0.186360514
ENSCAFG00000016429,TNFRSF8,212.0234224,2.00320291,2.22455177,0.000141901,0.186360514
ENSCAFG00000017556,TEX14,142.9039828,1.285039042,1.583898796,0.00016503,0.186360514
ENSCAFG00000019481,SSNA1,764.2559977,0.221585078,0.276776096,0.000185431,0.186360514
ENSCAFG00000003583,ZMYM4,1428.322638,-0.174217857,0.298589282,0.000310541,0.210392485
ENSCAFG00000004701,DYNLT4,22.98352413,-0.916112756,1.493749268,0.000326168,0.210392485
ENSCAFG00000012193,RNF39,159.1991175,-1.582927627,2.426038087,0.0002898,0.210392485
ENSCAFG00000012326,MINDY1,298.5952216,-0.445406693,0.836023844,0.000322938,0.210392485
ENSCAFG00000020357,DNAJB4,485.4515379,-0.172460161,0.260485847,0.000318347,0.210392485
ENSCAFG00000002573,SSC5D,205.5308239,-0.92779264,1.654678899,0.000427513,0.211419225
ENSCAFG00000008804,MARCHF1,77.45885568,0.813553874,1.465657869,0.000419066,0.211419225
ENSCAFG00000012212,RAB4A,470.8028759,-0.151353177,0.286849641,0.000405487,0.211419225
ENSCAFG00000016376,DHRS3,98.87544556,-1.063565623,1.83945178,0.000404653,0.211419225
ENSCAFG00000018348,CCL7,3400.766059,1.444645526,2.671673066,0.000365899,0.211419225
ENSCAFG00000032070,SAP18,1851.40188,-0.207069034,0.169099347,0.000385485,0.211419225
ENSCAFG00000042676,NA,129.088648,1.378862055,2.377484561,0.000374073,0.211419225
ENSCAFG00000026603,NA,19.18492832,0.186511869,0.429187094,0.000442101,0.211581173
ENSCAFG00000012297,ZDHHC18,623.7211739,0.27965361,0.643997453,0.000491041,0.227658954
ENSCAFG00000003688,VPS35,4222.010532,-0.140559462,0.212147521,0.000559765,0.251656828
ENSCAFG00000014535,GPC2,35.66138215,0.633828579,1.364019791,0.000648064,0.280525565
ENSCAFG00000048083,NA,139.523289,-0.687605443,1.475843943,0.000661795,0.280525565
ENSCAFG00000008811,RND1,137.8061864,0.303039655,0.765316792,0.000718964,0.296293229
ENSCAFG00000003980,MAP3K8,90.86739576,0.242492422,0.648361556,0.000765539,0.30618646
ENSCAFG00000012077,KCNH1,16.00421129,0.544934623,1.305620217,0.000846161,0.30618646
ENSCAFG00000017526,RNF43,36.74668277,0.456164329,1.118193002,0.000838941,0.30618646
ENSCAFG00000031848,NA,203.8786811,0.228726058,0.632971783,0.000836011,0.30618646
ENSCAFG00000032267,WNT2,55.80232654,0.732367507,1.72993548,0.000839276,0.30618646
ENSCAFG00000011233,PRKAR1B,171.1384228,-0.760464549,1.896848324,0.00089292,0.312818944
ENSCAFG00000011278,PUDP,673.3664456,-0.107739642,0.312612689,0.00090666,0.312818944
ENSCAFG00000014506,FUNDC1,481.5879241,-0.09588779,0.261311073,0.000939301,0.316715288
ENSCAFG00000010888,UPK1B,694.7206421,-0.700196135,1.844802225,0.001006111,0.317588578
ENSCAFG00000011203,CYP2U1,110.3546451,-0.093124733,0.255331233,0.000978815,0.317588578
ENSCAFG00000029523,NA,39.90440705,0.091673984,0.248077633,0.000991564,0.317588578
ENSCAFG00000006196,CPNE4,360.9193857,0.663399156,1.739003342,0.001040233,0.32151881
ENSCAFG00000020872,NA,4.333156851,0.215547246,0.645446668,0.001070546,0.324135016
ENSCAFG00000000978,TCF20,2517.067035,0.08690027,0.204178672,0.001102771,0.327214279
ENSCAFG00000016253,DNAJC16,430.064477,0.088689129,0.277835621,0.001184339,0.337900964
ENSCAFG00000017016,H1-9,41.07638995,-0.555092069,1.507606497,0.001178849,0.337900964
ENSCAFG00000023977,NA,4.380719739,0.250292343,0.803180038,0.001503245,0.420795104
ENSCAFG00000009307,C8orf58,409.0899267,-0.115816925,0.433254304,0.001723389,0.466900139
ENSCAFG00000017017,THBS3,595.3402949,-0.27358533,0.902033581,0.001730892,0.466900139
ENSCAFG00000025183,EPS8L2,479.8380258,-0.239879684,0.825711954,0.00187313,0.4962457
ENSCAFG00000013745,BLOC1S6,237.6177313,0.065189077,0.238467512,0.001920106,0.496355197
ENSCAFG00000025916,NA,28.27275613,0.079411012,0.311578041,0.001940456,0.496355197
ENSCAFG00000014098,C1RL,314.667531,0.216783893,0.789962863,0.002159926,0.542002925
ENSCAFG00000017365,TMEM100,17.10565759,-0.31706984,1.113181879,0.002191977,0.542002925
ENSCAFG00000007004,GAPT,3.992757284,0.278923046,1.015131801,0.002370245,0.549434197
ENSCAFG00000008677,SSBP2,721.4179131,-0.088974471,0.370762207,0.002281687,0.549434197
ENSCAFG00000010928,ACSL5,1099.45596,0.293804154,1.058826667,0.002328185,0.549434197
ENSCAFG00000014399,RABGAP1L,1107.450926,-0.054058162,0.177511964,0.002352362,0.549434197
ENSCAFG00000043317,NA,7.239776841,-0.119417139,0.491057029,0.0024072,0.549434197
ENSCAFG00000010370,MS4A7,247.6623952,0.336934713,1.264542894,0.002497664,0.553064854
ENSCAFG00000021628,NA,11.64639446,0.104194774,0.439066453,0.002470726,0.553064854
ENSCAFG00000011216,HADH,1759.735808,-0.051591919,0.172736125,0.002545282,0.555320558
ENSCAFG00000030472,NRXN3,24.97180961,0.295747992,1.113043597,0.00259798,0.558603409
ENSCAFG00000003405,KLF11,348.7617619,0.049737457,0.158733952,0.002804319,0.559546623
ENSCAFG00000005773,CACNB4,131.6414683,0.230084782,0.913827917,0.002915434,0.559546623
ENSCAFG00000009786,MAB21L3,31.01964593,-0.224939963,0.898423753,0.002946569,0.559546623
ENSCAFG00000010718,NA,237.0399898,0.147746864,0.627416855,0.003010403,0.559546623
ENSCAFG00000012473,SEMA6C,440.3209798,0.104004923,0.453819632,0.002782105,0.559546623
ENSCAFG00000015410,RCSD1,50.7276183,-0.243385247,0.936605607,0.002695872,0.559546623
