"ensembl_gene_id","Hugo_Symbol","1771","17CM98","Abrams","Bliley","CLL1390","CML-10C2","CMT12","CTAC","DH82","Gracie","HMPOS","Jones","MacKinley","Nike","Moresco","OSA8","Parks","STSA-1","Yamane","D-17","CML-6M","DEN-HSA","OS2-4"
"ENSCAFG00000000001","ENPP1",0,403,337,541,0,279,401,516,64,385,677,569,544,106,513,327,338,511,670,307,238,790,384
"ENSCAFG00000000002",NA,1,2,4,3,6,4,3,1,1,5,0,4,2,3,3,6,4,2,0,3,0,4,4
"ENSCAFG00000000005","PARD6G",9,180,110,315,21,233,237,574,9,266,365,533,120,39,294,68,395,355,792,34,106,174,790
"ENSCAFG00000000007","ADNP2",829,930,866,954,1017,1511,919,904,715,629,639,754,1068,1040,893,704,611,573,853,895,755,1233,1404
"ENSCAFG00000000008","TXNL4A",1996,1094,1608,1285,1093,2317,2447,1575,1120,1366,1772,1387,861,1325,1849,1820,962,615,1642,1662,1282,1941,1505
"ENSCAFG00000000009","SLC66A2",539,2305,1116,1469,640,1805,1448,1490,1937,910,1470,1458,896,2839,1586,1276,1190,1445,2249,1107,1133,2063,2173
"ENSCAFG00000000010","CTDP1",2603,3338,2741,2565,2393,3869,4288,3299,2752,2146,3245,2205,2370,2301,1670,2568,2354,1550,3924,2039,1710,3615,2680
"ENSCAFG00000000011","NFATC1",1740,4106,624,872,3455,187,2212,197,5121,2388,1951,960,824,887,800,832,1310,590,2576,13,947,482,803
"ENSCAFG00000000012","ATP9B",923,1014,1215,911,1811,1235,949,1098,682,758,1036,835,894,1996,604,1105,1244,1205,1328,850,772,1529,1174
"ENSCAFG00000000013","SALL3",0,172,474,0,0,1,1,0,0,0,0,20,502,0,0,258,5,0,0,0,0,0,18
"ENSCAFG00000000014",NA,70,24,54,21,15,45,243,29,32,81,81,27,42,18,80,97,14,28,38,37,17,109,34
"ENSCAFG00000000015","GALR1",1,0,0,0,1,0,0,0,0,0,0,1,0,44,0,0,2,8,0,0,0,0,2
"ENSCAFG00000000016","MBP",1179,8,118,341,2377,168,143,326,417,280,26,220,133,439,1,31,213,866,5,1,52,205,772
"ENSCAFG00000000017","ZNF236",513,551,658,656,1900,610,552,360,426,596,600,377,493,533,253,499,325,395,719,399,317,677,775
"ENSCAFG00000000019","ZNF516",132,829,1148,427,22,911,392,541,943,1148,686,851,1170,912,434,705,794,925,1356,321,504,1241,1395
"ENSCAFG00000000020","TSHZ1",856,1883,863,2127,1835,5350,793,921,967,2095,917,1526,1818,948,906,721,1133,2192,1594,693,669,1169,1314
"ENSCAFG00000000021","ZADH2",577,869,347,901,1122,1304,742,643,362,1359,455,714,609,427,767,382,506,719,523,327,501,720,434
"ENSCAFG00000000022","ZNF407",585,637,770,880,821,692,651,1073,428,690,695,584,1063,670,488,599,667,505,802,554,580,955,876
"ENSCAFG00000000024","CNDP1",1,19,5,7,9,2,19,3,1,3,4,4,5,5,2,0,1,2,0,2,3,4,15
"ENSCAFG00000000025","DIPK1C",0,3,0,0,6,0,0,0,0,0,300,0,0,0,0,5,3,0,0,0,0,0,3
"ENSCAFG00000000026","CYB5A",2338,7568,2368,2308,464,2322,1643,12664,1713,2788,1799,3063,2181,2217,1277,1341,5645,1706,5457,1317,3133,1742,2656
"ENSCAFG00000000027",NA,56,24,23,46,27,31,73,21,11,37,19,31,38,61,43,36,19,29,32,65,52,35,28
"ENSCAFG00000000028","TIMM21",1484,1452,1608,1407,2398,1479,1489,1510,668,1067,1827,1058,1342,1584,827,1534,1043,1145,1248,881,1072,1839,1726
"ENSCAFG00000000029","FBXO15",6,8,16,19,9,15,9,56,18,25,23,9,6,34,6,19,18,16,52,9,5,14,29
"ENSCAFG00000000030",NA,84,55,121,55,55,83,86,81,76,43,56,82,91,122,48,77,81,29,69,82,69,68,188
"ENSCAFG00000000031","NETO1",0,1046,1179,0,8,3716,0,1443,0,7,1024,482,210,0,0,1005,686,632,0,602,9,24,599
"ENSCAFG00000000032","CBLN2",3,7,0,0,0,22,0,0,0,0,0,0,1,0,0,34,2,2,0,2,0,0,19
"ENSCAFG00000000033",NA,43,82,98,90,43,58,61,98,63,39,55,96,69,90,45,71,58,46,163,122,64,62,105
"ENSCAFG00000000034",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSCAFG00000000036","SOCS6",397,601,493,1039,520,479,636,411,322,499,370,392,459,258,228,358,556,581,602,370,283,765,795
"ENSCAFG00000000037","RTTN",677,1037,1072,1288,1403,889,728,564,330,876,1006,785,842,798,506,900,551,716,1187,901,621,1468,1238
"ENSCAFG00000000038","CD226",0,3,5,3,18,3,0,0,8,3,1,3,2,27,0,1,5,6,4,0,1,2,0
"ENSCAFG00000000039","DOK6",0,818,82,0,0,255,0,7,49,2,534,560,193,0,0,433,557,537,10,29,39,0,18
"ENSCAFG00000000040","CCDC102B",0,2,0,1,1,1,1,11,9,0,1,3,0,0,2,8,1,0,3,2,2,0,6
"ENSCAFG00000000042",NA,10,11,9,11,7,14,13,7,7,13,6,18,13,3,19,15,9,10,15,9,16,14,7
"ENSCAFG00000000043","TMX3",603,552,462,830,964,871,474,561,391,584,408,702,658,1142,766,679,1065,571,774,313,588,1200,653
"ENSCAFG00000000044",NA,6,10,8,2,4,13,19,4,6,12,17,12,7,3,11,10,6,2,4,8,11,6,5
"ENSCAFG00000000045",NA,1,13,0,7,2,2,5,1,10,2,2,1,12,0,7,10,18,0,13,6,11,2,29
"ENSCAFG00000000047",NA,0,633,449,941,0,381,120,389,0,39,376,318,510,0,210,401,465,206,1164,424,242,703,293
"ENSCAFG00000000049",NA,30,22,13,28,36,13,46,65,24,43,4,40,28,48,51,28,30,38,15,42,49,56,48
"ENSCAFG00000000051",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSCAFG00000000052","CDH19",0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSCAFG00000000054",NA,214,238,214,269,230,223,264,236,174,348,184,269,239,188,350,252,136,171,151,403,427,235,156
"ENSCAFG00000000056","CDH7",0,0,39,0,0,51,1,0,0,1,0,0,1,0,0,14,1,3,0,11,0,0,2
"ENSCAFG00000000058","SERPINB8",1357,1347,2424,90,0,500,1822,2516,1685,0,40,2131,1976,709,20,2202,2437,1877,24,1263,4664,1802,720
"ENSCAFG00000000059","SERPINB2",2368,33,3685,8,0,6,1010,1,5517,570,1406,24,38,20230,8,1091,1068,347,500,5,17,0,1394
"ENSCAFG00000000060","ITGA7",139,86,890,1,60,184,1559,3733,1521,29,85,593,458,221,12,922,217,2488,34,987,645,1051,361
"ENSCAFG00000000061",NA,566,321,172,338,142,238,210,221,496,450,157,223,209,510,251,345,266,347,187,291,234,143,184
"ENSCAFG00000000062",NA,0,29,0,1,0,30,1,0,0,9,2,16,0,0,0,0,2,11,1,0,20,0,2
"ENSCAFG00000000063","RDH5",840,357,223,130,301,166,202,189,375,239,310,159,206,465,83,245,300,221,94,198,194,208,156
"ENSCAFG00000000064","CD63",4003,19620,8873,25094,2848,15626,11054,15011,20556,19442,9539,14129,13054,10800,14535,11666,15413,20141,14879,11593,22589,13816,20495
"ENSCAFG00000000065","GDF11",38,399,785,341,280,423,620,139,451,370,299,504,170,33,141,801,797,676,917,282,638,478,905
"ENSCAFG00000000066","VPS4B",2012,1802,2025,1904,2427,2422,1970,2284,1123,1780,1257,1631,2069,2407,2947,1603,1518,1489,2140,2109,1674,2737,2048
"ENSCAFG00000000067","KDSR",235,639,630,591,260,819,679,788,235,1207,309,483,857,294,1507,429,550,283,679,634,500,844,727
"ENSCAFG00000000068","BCL2",387,128,277,262,78,432,149,88,76,123,54,262,214,347,577,153,222,180,426,316,215,225,440
"ENSCAFG00000000069",NA,1953,1765,1252,1871,708,1628,1064,940,1390,1737,856,1121,1605,1470,855,1474,1581,1054,897,879,1604,1082,2129
"ENSCAFG00000000070","PHLPP1",1760,1123,1228,1323,901,2146,2023,526,272,268,534,769,2391,579,1739,1121,911,475,1783,1650,546,1982,1399
"ENSCAFG00000000071",NA,854,601,609,837,438,1076,1092,608,619,849,464,564,778,1044,592,854,761,542,559,582,857,715,807
"ENSCAFG00000000072",NA,4,772,508,775,304,1021,538,652,23,981,352,768,554,3,485,1020,715,841,684,420,1007,257,842
"ENSCAFG00000000073","ZCCHC2",1119,1000,1224,1026,1628,1077,1674,970,893,1074,807,979,961,2209,1116,651,765,731,1199,1325,594,1469,1375
"ENSCAFG00000000074","MMP19",6,462,439,4570,7,2876,430,977,208,356,298,438,2355,51,247,3654,1794,2084,237,160,2216,455,967
"ENSCAFG00000000075","TNFRSF11A",785,110,119,20,1,233,8,42,389,38,77,61,87,4186,52,66,55,27,49,140,46,8,170
