gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000019795,ALX3,111.297198,6.622457582,1.22864839,9.00E-09,0.000134619
ENSCAFG00000000433,GFPT2,401.3568838,6.166825154,1.188264965,3.25E-08,0.000172705
ENSCAFG00000017687,SCNN1B,102.6004725,5.654126973,1.079683971,3.46E-08,0.000172705
ENSCAFG00000024609,CNTN2,562.9376498,7.33352295,1.498451561,5.11E-08,0.000191225
ENSCAFG00000016576,SEPTIN1,372.6276754,-6.053040253,1.323929034,3.62E-07,0.00108276
ENSCAFG00000015727,ARHGEF10L,285.3762735,4.728287932,1.043359802,7.14E-07,0.001780105
ENSCAFG00000012226,COL6A3,357.6486688,6.942533883,1.80653911,9.63E-07,0.002057817
ENSCAFG00000029897,NA,78.81911274,3.70959858,0.835322037,1.11E-06,0.002069485
ENSCAFG00000010192,RNF144B,218.367351,5.031361679,1.239561673,1.88E-06,0.00312352
ENSCAFG00000020027,MAF,434.9006516,5.348875752,1.375550632,2.27E-06,0.003398934
ENSCAFG00000005691,ANK1,108.3998741,4.212826664,1.091874728,3.32E-06,0.004507972
ENSCAFG00000009867,BBX,1628.55685,-0.533553229,0.278704899,3.62E-06,0.004518121
ENSCAFG00000008869,TGM2,82.7368307,3.120731087,0.833551578,4.18E-06,0.004804781
ENSCAFG00000032227,OLFM1,178.6394775,4.982833449,1.547334795,7.01E-06,0.007491737
ENSCAFG00000012193,RNF39,171.0235985,4.974298938,2.066075749,1.85E-05,0.017156855
ENSCAFG00000017937,CYP1A1,30.52144545,3.811670442,1.392992422,1.73E-05,0.017156855
ENSCAFG00000043687,NA,25.25608382,-3.782977467,1.430137054,1.95E-05,0.017156855
ENSCAFG00000011071,GJA8,7.619946765,-2.717312801,1.06655155,2.15E-05,0.017845056
ENSCAFG00000003904,FGF21,47.02696778,3.967140718,1.603928339,2.37E-05,0.018623459
ENSCAFG00000004639,SUSD5,21.29227323,2.851572323,1.211644304,2.89E-05,0.021096363
ENSCAFG00000011722,CD34,1918.437297,-4.895142352,2.486541602,2.96E-05,0.021096363
ENSCAFG00000009793,CBLB,839.2355722,-0.952339481,0.606464024,3.22E-05,0.021914462
ENSCAFG00000025322,KRT75,526.1394411,4.874990425,2.798021507,3.51E-05,0.022818979
ENSCAFG00000002432,TSPAN13,83.52283863,1.639410759,0.933931355,4.90E-05,0.029732702
ENSCAFG00000045952,NR4A3,59.38801768,2.037384974,1.090520761,4.97E-05,0.029732702
ENSCAFG00000013419,NA,667.9641236,-0.251239051,0.085181913,6.47E-05,0.037230977
ENSCAFG00000029203,EIF5A2,228.7631319,0.717690702,0.628828147,9.19E-05,0.050931412
ENSCAFG00000002816,MPP6,1247.326736,-1.298956404,0.973922363,9.97E-05,0.053270951
ENSCAFG00000000367,ENPP3,66.98792735,-3.312674089,2.32183086,0.00010939,0.054644997
ENSCAFG00000014675,LAG3,27.12517717,-2.501463381,1.696273233,0.000114068,0.054644997
ENSCAFG00000015892,CXCL16,889.9598557,2.302792752,1.587770658,0.000117486,0.054644997
ENSCAFG00000015929,N4BP2,515.607743,-0.368021771,0.330984801,0.000114918,0.054644997
