"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_22","MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_22",11,0.983005224899538,1.91376409905689,6.53946306576238e-05,0.371964659180564,0.371964659180564,60,"tags=18%, list=0%, signal=18%","EWSR1/CLTCL1"
"FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP","FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP",31,0.941812739959009,1.94434018435366,0.000208729149997278,0.593625702592257,0.593625702592257,18,"tags=6%, list=0%, signal=6%","CD69/TOMM20"
"PID_WNT_SIGNALING_PATHWAY","PID_WNT_SIGNALING_PATHWAY",25,-0.947154421940796,-2.06824276803032,0.000340202513336031,0.645023965285115,0.645023965285115,3,"tags=8%, list=0%, signal=8%","WNT7B/CTHRC1"
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119","KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119",20,-0.950253938321711,-2.08149862305032,0.000922183005950322,0.777848438154488,0.777848438154488,29,"tags=15%, list=0%, signal=15%","USP7/BCORL1/PCGF1"
"PID_WNT_NONCANONICAL_PATHWAY","PID_WNT_NONCANONICAL_PATHWAY",31,-0.925671437039439,-2.05354116836921,0.00109402030682769,0.777848438154488,0.777848438154488,187,"tags=6%, list=1%, signal=6%","CHD7/CTHRC1"
"NABA_MATRISOME_HGSOC_OMENTAL_METASTASIS","NABA_MATRISOME_HGSOC_OMENTAL_METASTASIS",52,-0.898173906768192,-2.02085714946802,0.000925300301948719,0.777848438154488,0.777848438154488,8,"tags=6%, list=0%, signal=6%","COL5A1/S100A11/CTHRC1"
"REACTOME_BICARBONATE_TRANSPORTERS","REACTOME_BICARBONATE_TRANSPORTERS",10,0.978867077354186,1.9064051074496,0.00100777602324214,0.777848438154488,0.777848438154488,30,"tags=10%, list=0%, signal=10%","SLC4A1"
"JIANG_MELANOMA_TRM5_CD8","JIANG_MELANOMA_TRM5_CD8",139,0.819267787491727,1.77716783927855,0.00082844324342053,0.777848438154488,0.777848438154488,208,"tags=5%, list=2%, signal=5%","CD69/ORAI1/ANXA1/SERTAD1/PPP1R11/HIVEP2/CD44"
"REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY","REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY",49,-0.889423449924712,-1.98099020120854,0.00159837314228752,0.909154643333142,0.909154643333142,37,"tags=8%, list=0%, signal=8%","RARA/RORA/NR1D1/NR5A2"
"WP_CLOCKCONTROLLED_AUTOPHAGY_IN_BONE_METABOLISM","WP_CLOCKCONTROLLED_AUTOPHAGY_IN_BONE_METABOLISM",67,-0.85629397682212,-1.93800496902552,0.00157195208759178,0.909154643333142,0.909154643333142,107,"tags=6%, list=1%, signal=6%","ATG4C/ULK1/CRY1/CTHRC1"
