"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GLI1_UP.V1_UP","GLI1_UP.V1_UP",17,-0.978088517951544,-1.71664190694745,0.0223854960838313,0.84016492071883,0.84016492071883,21,"tags=12%, list=0%, signal=12%","ZBTB16/PRKD3"
"GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_EARLY.V1_UP",127,-0.911433428997095,-1.54193693320849,0.0265584433600013,0.84016492071883,0.84016492071883,160,"tags=2%, list=1%, signal=2%","ADCY6/STRN3"
"PDGF_UP.V1_DN","PDGF_UP.V1_DN",80,0.951150885523392,1.49163186815134,0.0105181670789156,0.84016492071883,0.84016492071883,112,"tags=4%, list=1%, signal=4%","PLAG1/GPR39/SAG"
"KRAS.LUNG.BREAST_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP",98,0.938753003838228,1.4695694625887,0.0263926956456761,0.84016492071883,0.84016492071883,46,"tags=2%, list=0%, signal=2%","ADAMTS6/PRDM1"
"AKT_UP.V1_DN","AKT_UP.V1_DN",147,0.934153450667843,1.43355603965255,0.00682405980018194,0.84016492071883,0.84016492071883,13,"tags=1%, list=0%, signal=1%","EDARADD/IBSP"
"TGFB_UP.V1_UP","TGFB_UP.V1_UP",149,0.907708300963084,1.39343874321524,0.0268137740654946,0.84016492071883,0.84016492071883,70,"tags=2%, list=1%, signal=2%","HLX/TFEB/TUBB4A"
"BCAT_GDS748_DN","BCAT_GDS748_DN",30,0.930229076599903,1.58210805970088,0.128540305010893,0.992696510555043,0.992696510555043,8,"tags=3%, list=0%, signal=3%","HLX"
"RB_P107_DN.V1_DN","RB_P107_DN.V1_DN",98,-0.888703630955326,-1.50986048061684,0.0593047034764826,0.992696510555043,0.992696510555043,354,"tags=8%, list=3%, signal=8%","PTPRE/COASY/CHAC1/PDCD6/PMM2/TXN2/DENND11/GBE1"
"ATM_DN.V1_UP","ATM_DN.V1_UP",107,-0.858547299551576,-1.46191216703321,0.0950413223140496,0.992696510555043,0.992696510555043,129,"tags=3%, list=1%, signal=3%","SLC6A1/NGFR/TAT"
"PDGF_ERK_DN.V1_UP","PDGF_ERK_DN.V1_UP",114,-0.852772199991797,-1.45109582260113,0.0944558521560575,0.992696510555043,0.992696510555043,293,"tags=6%, list=2%, signal=6%","MYO1E/NAGLU/HYAL1/TNNT2/CLCN2/CCL25/TAT"
"GCNP_SHH_UP_LATE.V1_UP","GCNP_SHH_UP_LATE.V1_UP",151,-0.860054527962385,-1.44701577892854,0.0589519650655022,0.992696510555043,0.992696510555043,96,"tags=3%, list=1%, signal=3%","MPHOSPH10/FRMD6/PIK3CA/STRN3"
"SIRNA_EIF4GI_DN","SIRNA_EIF4GI_DN",71,-0.849942144842346,-1.43781175943611,0.156312625250501,0.992696510555043,0.992696510555043,155,"tags=11%, list=1%, signal=11%","IGF2BP2/C1QTNF1/MAP4K3/TRIP13/RNF34/PPME1/ATMIN/SLC43A3"
"PTEN_DN.V2_DN","PTEN_DN.V2_DN",94,0.905693722565738,1.42346789974013,0.114119922630561,0.992696510555043,0.992696510555043,2,"tags=1%, list=0%, signal=1%","PLAG1"
