"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",90,-0.86745608505404,-1.4920791828507,0.10261569416499,0.959692898272553,0.959692898272553,448,"tags=8%, list=3%, signal=8%","GSK3B/PAK4/FGF17/NCK1/ACTR3/CAB39/YWHAB"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",39,0.914453263304595,1.48410233084619,0.148558758314856,0.959692898272553,0.959692898272553,103,"tags=5%, list=1%, signal=5%","NDUFA6/PRDX4"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",151,0.898230736667825,1.38609588449017,0.072265625,0.959692898272553,0.959692898272553,166,"tags=3%, list=1%, signal=3%","PLAG1/KCNMB1/THRB/PDE6B/GPR3"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",165,-0.810571376567452,-1.38061000830238,0.130801687763713,0.959692898272553,0.959692898272553,404,"tags=4%, list=3%, signal=4%","TNFRSF4/PRKCH/SELL/MYO1E/POU2F1/MAP3K8/HUWE1"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",43,0.784952459770269,1.25699143006147,0.334811529933481,0.959692898272553,0.959692898272553,233,"tags=7%, list=2%, signal=7%","WDR43/MAP3K6/NOP2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",159,-0.714430680127484,-1.22731086525034,0.280334728033473,0.959692898272553,0.959692898272553,378,"tags=3%, list=3%, signal=3%","PGK1/ZNF292/GPC3/NOCT/GBE1"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",157,-0.672938733702942,-1.16240918233273,0.336099585062241,0.959692898272553,0.959692898272553,372,"tags=5%, list=3%, signal=5%","GCKR/PTS/FMO3/CYP17A1/GAD1/GSS/CCL25/TAT"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",154,-0.646147493626499,-1.12389185278542,0.37396694214876,0.959692898272553,0.959692898272553,369,"tags=5%, list=3%, signal=4%","TST/ECHS1/SLC19A1/ADCY6/SPARCL1/NKIRAS1/GBE1"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",169,-0.653309502951637,-1.10968722908346,0.373650107991361,0.959692898272553,0.959692898272553,618,"tags=5%, list=5%, signal=5%","CORO1A/ELOVL5/ATP6V1D/GSK3B/PGK1/DDX39A/ACTR3/GBE1"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",85,0.712276125086911,1.1075746640076,0.441295546558704,0.959692898272553,0.959692898272553,499,"tags=6%, list=4%, signal=6%","CD63/SSPN/KIF1B/RAB22A/GOLGA4"
