"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HP_INCREASED_INTRAMYOCELLULAR_LIPID_DROPLETS","HP_INCREASED_INTRAMYOCELLULAR_LIPID_DROPLETS",16,-0.993911912628475,-1.89498000919841,7.47956150106726e-05,0.187138628756703,0.187067769753008,2,"tags=12%, list=0%, signal=13%","CACNA1S/GABRA3"
"HP_EXERCISE_INDUCED_MUSCLE_FATIGUE","HP_EXERCISE_INDUCED_MUSCLE_FATIGUE",11,-0.997478620571196,-1.89434916835667,3.14113970743391e-05,0.187138628756703,0.187067769753008,2,"tags=18%, list=0%, signal=18%","CACNA1S/GABRA3"
"HP_INCREASED_MUSCLE_FATIGUABILITY","HP_INCREASED_MUSCLE_FATIGUABILITY",17,-0.99559849364037,-1.88460652622558,5.96579101023344e-05,0.187138628756703,0.187067769753008,2,"tags=12%, list=0%, signal=12%","CACNA1S/GABRA3"
"GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS","GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS",16,0.995373301151351,1.85572011528137,3.80929644904124e-05,0.187138628756703,0.187067769753008,22,"tags=12%, list=0%, signal=12%","MOSPD2/CCR2"
"HP_PITUITARY_GROWTH_HORMONE_CELL_ADENOMA","HP_PITUITARY_GROWTH_HORMONE_CELL_ADENOMA",12,-0.995917940025805,-1.8981335109338,0.000574940337813434,0.272010452115156,0.271907456866343,4,"tags=17%, list=0%, signal=17%","ALG5/BICC1"
"GOCC_GABA_RECEPTOR_COMPLEX","GOCC_GABA_RECEPTOR_COMPLEX",16,-0.992187173021296,-1.89169164225648,0.00021229696860578,0.272010452115156,0.271907456866343,2,"tags=12%, list=0%, signal=13%","GABBR2/GABRA3"
"HP_URIC_ACID_NEPHROLITHIASIS","HP_URIC_ACID_NEPHROLITHIASIS",11,-0.995706076068558,-1.89098286241768,0.000357978679795269,0.272010452115156,0.271907456866343,4,"tags=18%, list=0%, signal=18%","ALG5/BICC1"
"GOMF_PEPTIDASE_ACTIVATOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS","GOMF_PEPTIDASE_ACTIVATOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",15,-0.992291082159219,-1.89071976139482,0.000230189750465071,0.272010452115156,0.271907456866343,6,"tags=13%, list=0%, signal=13%","CTSS/BAD"
"HP_ABNORMAL_PR_INTERVAL","HP_ABNORMAL_PR_INTERVAL",16,-0.991106104386399,-1.88963049033177,0.000288306159112818,0.272010452115156,0.271907456866343,2,"tags=12%, list=0%, signal=13%","DSG2/GABRA3"
"HP_FLANK_PAIN","HP_FLANK_PAIN",11,-0.994951998257943,-1.889550764883,0.000521988359083794,0.272010452115156,0.271907456866343,4,"tags=18%, list=0%, signal=18%","ALG5/BICC1"
