"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",43,0.984174127641575,1.8086970802036,0.00558115489134641,0.27905774456732,0.27905774456732,2,"tags=2%, list=0%, signal=2%","PUS1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",164,-0.879316590807513,-1.6262522206368,0.0512983890080909,0.854973150134849,0.854973150134849,110,"tags=4%, list=1%, signal=4%","KLF10/FKBP5/SLC7A5/SOX3/INPP5F/DHCR7/ZNF185"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",165,0.918803203775645,1.52091037025578,0.0377263787258061,0.854973150134849,0.854973150134849,2,"tags=1%, list=0%, signal=1%","PUS1"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",125,-0.834605515742541,-1.56048074788293,0.0997920997920998,0.930316091954023,0.930316091954023,186,"tags=2%, list=1%, signal=2%","D2HGDH/SMS/ECI2"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",40,-0.785684060346794,-1.49799904527592,0.166994106090373,0.930316091954023,0.930316091954023,782,"tags=15%, list=6%, signal=14%","SKI/TGIF1/HIPK2/KLF10/MAP3K7/SPTBN1"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",83,-0.782802440328401,-1.49767022704318,0.153846153846154,0.930316091954023,0.930316091954023,262,"tags=7%, list=2%, signal=7%","TNFAIP8/ITGAV/APPBP2/FKBP5/SMS/XRCC6"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",164,-0.734107243026385,-1.35769476732022,0.203862660944206,0.930316091954023,0.930316091954023,207,"tags=3%, list=2%, signal=3%","CDSN/NECTIN3/CERCAM/NEGR1/ICAM2"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",28,-0.705838336681349,-1.33102337842473,0.248543689320388,0.930316091954023,0.930316091954023,69,"tags=11%, list=1%, signal=11%","ITGAV/POSTN/FSTL1"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",156,-0.705909035975092,-1.30098898374068,0.250539956803456,0.930316091954023,0.930316091954023,507,"tags=6%, list=4%, signal=6%","GPR87/TPBG/KIF20A/GALE/PHKA2/FKBP4/TPST1/GFUS/GNE"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",170,-0.69182322018467,-1.28309932757115,0.245119305856833,0.930316091954023,0.930316091954023,534,"tags=6%, list=4%, signal=6%","PRKDC/POLE/ORC2/GSPT1/PAN2/CTCF/CHEK1/POLA2/PMS2/XRCC6"
