"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN","GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN",169,-0.829842921156603,-1.9238461508972,3.1090271537772e-05,0.158311662670335,0.155385904485622,359,"tags=7%, list=3%, signal=6%","KATNBL1/SNX29/HIF1A/PCGF3/DCTN5/ATP13A3/CREB1/TAOK1/UGDH/EPB41L2/MANBA"
"GSE14413_UNSTIM_VS_IFNB_STIM_L929_CELLS_UP","GSE14413_UNSTIM_VS_IFNB_STIM_L929_CELLS_UP",87,0.912004618420605,1.77171125790419,0.000128854228010712,0.218708576343516,0.214666622664864,29,"tags=5%, list=0%, signal=5%","VSIG4/OVOL3/PPP1R10/C6orf58"
"GSE19923_E2A_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP","GSE19923_E2A_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP",161,0.868050816228835,1.73785541914484,9.67097903574697e-05,0.218708576343516,0.214666622664864,111,"tags=5%, list=1%, signal=5%","SLC20A1/IL5/CD68/MMP11/CACNG1/CD44/MYH8/NAMPT"
"GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_UP","GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_UP",139,0.865151227644606,1.71423501051654,0.000305810472355722,0.312907956167419,0.307125103543826,89,"tags=5%, list=1%, signal=5%","SLC20A1/SLC11A2/GAB1/CYB5R3/ZIC3/CD44/CXCL8"
"GSE20198_IL12_VS_IFNA_TREATED_ACT_CD4_TCELL_UP","GSE20198_IL12_VS_IFNA_TREATED_ACT_CD4_TCELL_UP",151,0.8559595720631,1.70411940539021,0.000307254473848604,0.312907956167419,0.307125103543826,81,"tags=3%, list=1%, signal=3%","SLC20A1/B3GNT2/CSNK1A1/SIRT4"
"GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_UP","GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_UP",150,-0.800278228326921,-1.87649180476547,0.00110045671325671,0.466960465325263,0.458330567942355,198,"tags=5%, list=2%, signal=5%","CGGBP1/DBP/RALGAPB/TBL1XR1/METTL27/ARHGAP30/EPB41L2"
"GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN","GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN",147,-0.797758259956805,-1.87539819955789,0.000799379703522483,0.466960465325263,0.458330567942355,270,"tags=5%, list=2%, signal=5%","RCAN3/HELB/SLC39A4/APLP1/PIGF/ZCCHC9/EPB41L2"
"GSE25146_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_AGS_CELL_UP","GSE25146_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_AGS_CELL_UP",155,-0.7947639695241,-1.87321560588646,0.00107430320883886,0.466960465325263,0.458330567942355,48,"tags=6%, list=0%, signal=6%","IRAG2/GRK5/GMEB2/G3BP1/CKAP5/ENTPD1/POLA2/SMPDL3B/ARHGAP30"
"GSE31622_WT_VS_KLF3_KO_BCELL_UP","GSE31622_WT_VS_KLF3_KO_BCELL_UP",157,0.850119472403021,1.70046619587749,0.00084917520646961,0.466960465325263,0.458330567942355,114,"tags=3%, list=1%, signal=3%","PPARA/VSIG4/FZD2/ASB11"
"GSE11818_WT_VS_DICER_KO_TREG_DN","GSE11818_WT_VS_DICER_KO_TREG_DN",130,0.85319281387017,1.68770203355939,0.000990518878736866,0.466960465325263,0.458330567942355,83,"tags=5%, list=1%, signal=5%","SLC11A2/HELZ2/ISOC1/NELFE/LSG1/FLVCR1"
