gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000018146,DNAJC4,5118.107431,6.873077981,1.722824042,NA,NA
ENSCAFG00000013243,SEMA3B,1866.482051,6.842028615,1.655795633,NA,NA
ENSCAFG00000017319,LANCL3,179.6187808,5.539362788,1.362142204,NA,NA
ENSCAFG00000015180,NA,217.8883233,5.530931849,1.945949966,1.02E-05,0.00908583
ENSCAFG00000014882,YEATS2,136.2920221,5.446458866,1.477107824,NA,NA
ENSCAFG00000009877,MAB21L2,359.3227872,5.409870419,1.720382797,NA,NA
ENSCAFG00000015233,EWSR1,241.0978354,5.346855994,1.847729243,1.06E-05,0.00908583
ENSCAFG00000013252,CLPTM1L,516.6021995,5.175288193,0.87180953,8.90E-10,6.87E-06
ENSCAFG00000029475,UBL7,26.59053759,5.138567199,1.267633015,2.06E-06,0.003384346
ENSCAFG00000047849,NA,556.7008036,5.093615161,0.992949362,7.43E-08,0.00028658
ENSCAFG00000012226,TAOK3,7730.932965,5.002429346,3.220687309,NA,NA
ENSCAFG00000016956,BROX,50.67865509,4.787788009,1.523244983,9.82E-06,0.00908583
ENSCAFG00000017016,CD69,168.674709,4.717318761,2.511952219,4.22E-05,0.022485223
ENSCAFG00000016716,SKA1,405.7858451,4.657067147,1.84149058,2.21E-05,0.013626116
ENSCAFG00000015750,HDAC4,31.36648854,4.648021645,0.992522666,5.07E-07,0.000977624
ENSCAFG00000010154,ORAI1,82.68133937,4.595509744,1.663868163,1.70E-05,0.011537955
ENSCAFG00000017916,LSM12,3789.545174,4.543260079,0.835249304,2.02E-08,0.000103687
ENSCAFG00000015054,ADAL,4534.578873,4.454825055,2.708608325,NA,NA
ENSCAFG00000023591,NA,36.92914981,4.453016839,1.575752387,1.64E-05,0.011537955
ENSCAFG00000002971,GFRAL,300.757397,4.320000456,2.530905013,NA,NA
ENSCAFG00000014333,TOMM20,246.7340645,4.176386781,1.912507807,3.94E-05,0.022428426
ENSCAFG00000017663,UBE2E3,327.835784,4.112038045,2.099592967,5.27E-05,0.025368666
ENSCAFG00000019474,CNP,112.37243,4.075765664,2.09511628,5.42E-05,0.025368666
ENSCAFG00000005012,EHD2,57.36851675,3.92900968,1.340871647,1.60E-05,0.011537955
ENSCAFG00000019993,GDF10,1253.089503,3.89956091,1.377044926,1.84E-05,0.011803719
