gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000001002,SFT2D1,436.2607791,6.937166131,1.665321406,NA,NA
ENSCAFG00000018348,LAMTOR4,3837.052666,4.269472138,2.46986767,1.34E-05,0.050582852
ENSCAFG00000014645,OR6P1,4524.779895,3.862234796,2.080301734,NA,NA
ENSCAFG00000013175,DAW1,212.7441609,3.196583149,2.95637077,4.09E-05,0.064751551
ENSCAFG00000010895,MME,43.54687439,2.555813225,2.427649363,NA,NA
ENSCAFG00000010370,CETN3,477.2913213,2.20765414,2.711801786,8.79E-05,0.077902053
ENSCAFG00000023556,SHBG,2462.651154,2.1451296,1.825615786,4.31E-05,0.064751551
ENSCAFG00000009273,LSM14A,50.3837139,1.859538348,2.547712913,NA,NA
ENSCAFG00000013078,FNDC5,171.9096241,1.732386539,2.440842543,NA,NA
ENSCAFG00000017712,CDCP1,117.3829123,1.599949218,2.286710604,NA,NA
ENSCAFG00000018219,CFAP97D1,2950.64495,1.585571098,2.722061565,NA,NA
ENSCAFG00000018641,KBTBD3,1193.350774,1.56353482,1.934496902,0.000106366,0.084381624
ENSCAFG00000008669,ANGPT4,48.46347717,1.440486647,2.310308287,0.000176952,0.115965081
ENSCAFG00000019046,SMURF1,106.2199427,1.378997377,2.514443291,0.000199845,0.119013599
ENSCAFG00000042676,ANKRD11,236.6731306,1.186601256,2.267120741,0.000248328,0.119013599
ENSCAFG00000010231,SETD1B,358.5052698,1.140144811,2.462934383,NA,NA
ENSCAFG00000000429,TBC1D30,11.47561453,0.959513971,1.682115178,0.000243002,0.119013599
ENSCAFG00000016252,UBE4A,475.6027284,0.904199852,1.607961776,0.000251365,0.119013599
ENSCAFG00000004102,EEPD1,646.3973345,0.879577063,0.828198273,4.73E-05,0.064751551
ENSCAFG00000024792,DOCK2,1796.402715,0.834278461,1.809088185,NA,NA
ENSCAFG00000006959,SRGAP3,269.0362618,0.811886018,2.042868984,NA,NA
ENSCAFG00000016421,ARHGDIB,39.99534597,0.785579597,0.569534493,3.35E-05,0.064751551
ENSCAFG00000031865,NA,146.2438028,0.772331088,1.53039651,0.000325103,0.136118873
ENSCAFG00000001615,GRAP2,55647.18254,0.701793678,0.471757175,3.92E-05,0.064751551
ENSCAFG00000047610,NA,278.746681,0.676620528,1.659512962,0.000509025,0.163245347
ENSCAFG00000028574,TOM1L1,783.395378,0.637511728,1.206691857,0.000279286,0.123814041
ENSCAFG00000004911,FAT4,396.915704,0.59510148,1.667729889,NA,NA
ENSCAFG00000009641,SMAD1,51.67613664,0.579912206,1.520141398,0.000608343,0.179795254
ENSCAFG00000008776,PDGFRL,3138.228272,0.57398367,0.493142721,8.08E-05,0.077902053
ENSCAFG00000003029,INPP4A,6710.746944,0.551633048,1.388330008,0.000572193,0.172493407
ENSCAFG00000015493,MOG,181.7374089,0.55052691,1.568583556,NA,NA
ENSCAFG00000011525,DCBLD2,137.3538644,0.533115922,1.390949947,0.000620432,0.179841747
ENSCAFG00000023691,NA,187.9126315,0.503259219,1.419154156,NA,NA
ENSCAFG00000013837,HCRTR1,355.0083208,0.490054975,0.535085435,0.000127427,0.087305082
ENSCAFG00000020343,BRAT1,243.7697528,0.459614774,1.208735737,0.000639522,0.181877568
ENSCAFG00000001244,VDAC1,66.53178238,0.454958269,1.398152286,0.000869642,0.214887205
ENSCAFG00000018251,IGFBP5,73.57716446,0.393357437,1.338787304,NA,NA
ENSCAFG00000013440,KCNJ2,523.4364463,0.379921408,1.154621676,0.000904768,0.219960836
ENSCAFG00000006472,FOXA2,176.5035979,0.365628774,0.548134722,0.000238898,0.119013599
