gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000018348,TRMT2A,5242.070445,9.651035614,1.331704438,1.12E-14,1.64E-10
ENSCAFG00000001002,PPARA,2403.845103,9.010895975,1.637596233,1.16E-09,5.68E-06
ENSCAFG00000009905,NA,8912.745886,8.351472354,1.777572356,7.20E-08,0.00013229
ENSCAFG00000024781,VSIG4,465.7933917,6.894344394,1.181216232,8.55E-10,5.68E-06
ENSCAFG00000009273,SLC20A1,395.2548719,6.643001064,1.705598462,1.65E-06,0.001612696
ENSCAFG00000004043,B3GNT2,784.1724771,6.492079551,1.786521311,2.72E-06,0.002346934
ENSCAFG00000001084,IL5,131.3212519,6.416337754,1.201859585,1.77E-08,5.98E-05
ENSCAFG00000042676,CACNA1B,213.3173275,6.362136408,1.315773094,1.73E-07,0.000265758
ENSCAFG00000018272,VPREB3,81.4501003,6.285663578,1.353230135,3.45E-07,0.000460774
ENSCAFG00000008544,OVOL3,271.9289213,6.073448263,1.146617711,2.61E-08,6.39E-05
ENSCAFG00000000522,PPP1R10,37.81657144,5.629471855,2.178419179,1.53E-05,0.0086588
ENSCAFG00000010192,SLC11A2,221.8779406,5.284655844,0.976143221,2.03E-08,5.98E-05
ENSCAFG00000016865,HELZ2,265.7611544,5.196052617,2.572926112,NA,NA
ENSCAFG00000007882,OR51F1,21.96703968,4.869424168,0.977464726,1.81E-07,0.000265758
ENSCAFG00000011534,BTC,86.33608725,4.669746173,1.750707702,1.96E-05,0.009909969
ENSCAFG00000030102,CCDC197,77.56133869,4.51816298,1.656494671,1.88E-05,0.0098469
ENSCAFG00000017403,KLRA1,108.0458334,4.474218183,1.458666807,1.22E-05,0.007160138
ENSCAFG00000017687,C17H1orf162,106.7841337,4.466575222,1.274823878,6.63E-06,0.004433048
ENSCAFG00000007580,NA,142.4406915,4.45756959,1.825719179,2.72E-05,0.012900399
ENSCAFG00000005773,GPRC5C,143.4624946,4.326181755,0.944976613,8.15E-07,0.000855676
