Cell Line,Dog 1,Dog 2,Dog 3,Average
D17,0.188278552,1.107520891,0.982430362,0.7594
1771,0.227041783,-0.901442897,-1.651986072,-0.7755
17CM98,0.147735376,-0.011075209,1.495350975,0.544
Abrams,0.06793454,3.867818942,1.410408078,1.7821
Bliley,0,0.022842618,1.196221448,0.4064
CLL1390,-0.003559889,-0.181752089,-0.37991922,-0.1884
CML-10C2,-0.133693593,0.155250696,0.639098886,0.2202
CML-6m,0.07218663,0.183235376,2.399266017,0.8849
CMT12,-0.120937326,0.424417827,2.172224234,0.8252
CTAC,-0.520534819,1.341286908,-0.500263231,0.1068
Den,-0.261157382,1.112564067,-0.019579387,0.2773
DH82,-0.775759053,0.820850975,0.072483287,0.0392
Gracie,-0.567604457,-0.726513928,1.915615599,0.2072
HMPOS,-0.322862117,0.433614206,-0.54614624,-0.1451
Jones,-0.509064067,0.74055571,0.076339833,0.1026
MacKinley,-0.136066852,0.716229805,-0.500461003,0.0266
Nike,-0.093941504,1.581876045,0.73116156,0.7397
Moresco,-0.187388579,-1.604520891,0.803743733,-0.3294
OS2.4,-0.967993036,-0.134286908,-0.872667131,-0.6583
OSA8,-1.505733983,0.417495822,-0.6745,-0.5876
Parks,-0.556034819,0.914199164,1.61866156,0.6589
STSA-1,-1.354735376,-1.016150418,1.13036351,-0.4135
Yamane,-1.829683844,0.820653203,-0.738973538,-0.5827
