Cell Line,Dog 1,Dog 2,Dog 3,Average
D17,2.072259036,2.86053012,0.284427711,1.739072289
1771,2.787391566,0.893915663,-2.492805723,0.396167169
17CM98,0.625740964,3.079945783,-0.04063253,1.221684739
Abrams,0.926421687,5.526024096,0.845156627,2.432534137
Bliley,1.86096988,-2.543758916,0,-0.227596345
CLL1390,2.559849398,-2.606983133,-1.140311325,-0.39581502
CML-10C2,0.479463855,-0.917076205,-0.397873735,-0.278495362
CML-6m,1.040192771,-1.291139277,0.926421687,0.225158394
CMT12,0.991433735,-0.609813012,0.585108434,0.322243052
CTAC,0.195036145,0.381945783,-1.775560301,-0.399526124
Den,0.666373494,-0.618914699,-0.075088916,-0.00921004
DH82,0.495716867,-0.159035723,0.308807229,0.215162791
Gracie,0.893915663,0.333186747,0.325060241,0.51738755
HMPOS,0.63386747,-0.294098253,-1.425226627,-0.361819137
Jones,0.690753012,-0.129699036,-0.575356627,-0.00476755
MacKinley,0.6745,-0.255741145,-1.628226747,-0.403155964
Nike,1.527783133,-0.142782711,-0.393322892,0.330559177
Moresco,0.381945783,-3.539580964,-0.689615301,-1.282416827
OS2.4,-0.184471687,-0.33757506,-0.420546687,-0.314197811
OSA8,0.788271084,-0.910981325,0.251921687,0.043070482
Parks,1.332746988,-0.268012169,0.430704819,0.498479879
STSA-1,-2.243484518,-2.168476867,0.024379518,-1.462527289
Yamane,-1.516162229,-0.083621747,-0.874412048,-0.824732008
