Cell Line,Dog 1,Dog 2,Dog 3,Average
D17,-0.282108914,-0.71149789,-0.509432489,-0.501013098
1771,0.536469409,-0.697267932,-0.6745,-0.278432841
17CM98,0.127002373,4.654619198,-0.36072943,1.473630714
Abrams,0,8.524811973,0.576313291,3.033708421
Bliley,0.223410338,-0.682682226,-0.349701213,-0.2696577
CLL1390,-0.567419568,-0.682682226,-0.6745,-0.641533931
CML-10C2,-0.586985759,7.748212025,-0.6745,2.162242089
CML-6m,0.029882911,10.48249842,0.569554061,3.693978464
CMT12,1.447542458,6.191454641,2.558546414,3.399181171
CTAC,-0.6577798,0.150126055,-0.6745,-0.394051248
Den,1.573121835,1.839222046,-0.6745,0.912614627
DH82,0.442551688,7.808689346,1.928515032,3.393252022
Gracie,-0.359662184,7.481756065,-0.119175897,2.334305995
HMPOS,1.162943302,-0.091783228,-0.6745,0.132220025
Jones,-0.563506329,0.481684072,-0.6745,-0.252107419
MacKinley,0.572400053,-0.471011603,-0.6745,-0.191037183
Nike,0.640348101,34.61615111,1.127368407,12.12795587
Moresco,-0.007470728,-0.682682226,-0.595879483,-0.428677479
OS2.4,-0.70473866,0.577380538,-0.6745,-0.267286041
OSA8,0.377449631,47.88985575,-0.198152162,16.02305107
Parks,-0.336538502,1.572410338,-0.61046519,0.208468882
STSA-1,-0.344364979,2.553565928,1.189268724,1.132823224
Yamane,-0.571332806,2.56637289,-0.6745,0.440180028
