UniqueCount	AmbigCount
2	0
1	0
0	28
0	22
0	0
0	0
0	0
0	0
0	0
0	31
0	40
0	28
0	40
0	1
0	1
0	33
27	33
0	32
0	0
0	0
2	1
0	1
0	10
0	10
0	6
0	1
0	1
0	0
0	0
0	0
0	0
3722	1
0	0
0	0
4	14
122	0
0	0
0	0
0	0
0	0
0	0
48	0
151	1
0	3
171	0
0	0
0	0
1	0
691	0
46	103
0	103
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	11
0	11
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
6	1
161	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	31
0	31
30	24
0	0
0	0
0	7
0	7
0	7
0	7
0	7
0	6
0	32
0	0
0	2
0	0
0	2
2	0
0	0
5	48
0	0
0	0
3	1072
72	1125
1192	1057
4	0
0	12
0	29
0	27
1	0
14	152
0	152
0	152
0	284
0	248
1	258
0	0
0	0
0	13
6	13
0	0
5	2908
6	0
74	111
0	111
8	0
0	0
0	0
0	0
45	830
0	0
1	291
0	391
4	190
0	369
0	260
0	1
9	28
0	0
0	0
0	0
0	0
0	0
0	0
0	25
26	26
11	42
0	26
13	28
0	13
1975	3593
6	1733
45	3179
0	0
0	0
1	0
0	0
0	0
1	0
0	0
36	0
569	1
225	1
0	135
3	122
1	127
0	139
0	119
0	120
1	69
0	0
0	0
0	0
0	0
0	0
0	0
52	0
0	575
0	0
0	0
0	0
0	0
0	0
0	26
1	22
0	26
11	328
26	328
1	0
0	11
0	11
16	34
0	15
0	22
71	0
200	110
25	244
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
1	0
0	52
120	50
0	205
2	176
131	0
1410	635
1	634
6	628
1	0
65	532
0	0
0	0
0	0
0	289
2	319
0	305
0	253
0	0
744	0
0	140
2	107
0	139
0	0
1	1446
101	1447
3	107
96	107
1	0
0	0
0	1
11	0
0	1
0	0
0	0
4	150
3	155
0	157
0	157
0	142
5	0
5	4
2	4
0	0
0	0
0	0
0	0
0	0
0	12
0	0
0	12
0	12
0	0
0	0
0	0
0	0
0	22
0	23
0	23
0	7
0	9
0	0
0	0
0	27
0	25
0	25
0	25
4	0
0	8
1	8
0	12
0	10
0	11
0	10
0	11
0	85
0	80
3	81
0	93
26	3363
8	3390
0	3473
1	3351
3	2944
0	3389
0	1901
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
11	12
0	224
0	650
227	518
0	759
0	71
0	71
0	0
1	178
0	217
0	241
0	206
0	231
0	231
0	174
1	0
0	45
0	43
0	41
0	41
0	45
0	0
1	16
0	17
0	17
1	1519
15	549
0	549
10	562
1	290
136	368
0	376
0	0
0	0
0	0
0	0
0	6
0	2
0	8
0	8
1	0
0	0
0	1101
1	868
0	833
72	5310
1	4479
0	5249
0	0
0	108
0	89
0	108
0	0
1	0
0	0
0	1
0	1
0	0
0	0
4	28
0	46
0	46
1	47
0	0
2	5
2	1924
0	0
0	0
0	0
0	0
0	0
43	3
0	0
0	0
0	0
0	1707
13	1845
482	1837
449	1707
7	2630
0	2954
9	1195
1	1103
3066	4
418	53
0	29
0	29
0	266
6	266
1	4887
183	4887
0	0
0	0
0	527
1	474
1	491
0	476
0	0
0	8
0	8
0	8
0	8
0	8
0	0
0	0
0	7
0	0
0	7
0	7
0	7
0	0
167	721
1	721
0	47
0	46
0	47
0	46
0	331
0	299
0	319
0	0
0	0
0	0
0	0
8	1
50	107
0	0
0	0
0	0
0	0
4	3
15	0
0	0
36	729
0	0
0	13
0	13
0	0
0	13
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
2	17
177	119
0	0
0	0
0	0
0	0
3	5
0	0
0	0
0	986
0	2
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	85
8	334
0	97
1	102
0	108
0	104
0	2
0	107
0	99
0	98
1	103
0	105
1	102
0	0
0	44
0	36
0	44
0	44
0	15
0	20
0	16
1	14
0	0
2	842
0	0
0	1672
0	0
39	2331
0	0
0	0
0	0
0	0
0	0
2	0
0	0
53	0
13	0
0	0
1	2
0	0
0	0
0	0
2	20
0	0
16	155
4	43
0	0
0	0
0	0
0	0
0	5
0	0
0	414
0	0
0	0
134	67
0	0
3	0
10	0
21	0
143	2993
0	2993
1	46
2657	1
0	27
0	0
0	0
0	14
0	0
0	0
0	26
0	25
0	25
0	233
3	201
2	257
22	275
0	290
3	257
0	0
0	0
9	0
228	0
0	0
0	0
0	0
2	3
119	0
1	1
0	0
0	0
0	0
0	0
0	0
3	0
2	0
0	48
0	6
0	6
0	0
0	48
0	0
0	0
0	0
2	3
0	0
0	0
0	0
0	0
1	0
1	2
2	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	287
2	287
7	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	5346
0	9177
0	8871
0	1142
0	0
7	0
45	0
0	190
0	191
0	192
0	169
0	181
0	172
23	1124
0	1117
0	1270
0	1293
0	1327
0	1270
691	3
0	14
0	4642
0	4972
0	4152
0	4381
1	4259
0	3948
1	0
16	0
0	416
0	393
0	407
0	349
5	383
0	392
3	381
0	341
13	0
0	0
0	1696
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	0
22	104
0	104
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
525	0
0	0
0	0
0	60
0	448
4	447
0	467
0	585
0	593
5	573
0	594
0	567
0	0
0	35
1	4
1	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	149
0	149
0	6
0	0
36	514
1	514
2	160
