UniqueCount	AmbigCount
0	0
0	0
0	68
0	64
0	0
0	0
2	0
0	0
0	0
0	66
0	59
0	30
0	59
0	4
0	4
0	75
58	69
0	75
7	0
0	0
0	9
0	9
0	102
0	166
0	154
0	0
0	0
0	27
1	22
0	26
4	25
3121	12
0	0
0	0
10	19
473	2
0	0
0	0
0	0
1	0
0	0
144	0
160	0
0	1
201	1
1	0
0	0
0	0
320	0
36	102
0	101
1	35
0	40
0	39
0	0
0	0
0	0
0	0
0	0
31	379
0	379
0	0
0	0
2	16
0	18
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
39	0
2	17
0	17
0	16
0	0
0	0
0	0
0	0
0	0
0	7
0	7
3	6
0	0
1	0
0	48
0	48
0	48
0	51
0	51
0	31
0	3
0	1
0	0
0	0
0	0
0	0
1	0
14	16
0	0
0	0
4	316
41	337
833	303
3	1
0	72
0	162
0	162
29	0
19	158
0	158
0	158
0	131
0	119
0	124
0	0
0	0
0	16
3	16
0	8
0	1765
0	0
31	72
0	72
1	0
0	0
0	0
0	0
2	10
0	0
0	90
0	138
1	43
0	135
0	102
0	0
7	19
0	0
0	0
0	0
0	0
0	0
0	0
0	42
39	82
38	92
0	81
33	60
0	36
4122	9334
71	3910
957	7788
0	0
0	0
4	0
0	0
0	0
0	0
0	6
24	0
226	2
39	1
0	247
1	231
0	239
0	273
0	214
0	269
0	19
4	9
1	28
0	28
0	28
0	28
0	0
103	2
1	543
0	0
0	0
0	0
0	0
0	0
0	13
0	12
0	13
5	80
6	80
11	0
0	2
0	2
2	12
0	8
0	12
589	1
17	26
15	152
4	2
0	2
0	2
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
3	0
5	3
6	3
1	297
1	64
168	0
70	12
0	12
0	11
1	0
7	35
1	0
0	0
0	0
0	61
0	64
0	64
0	46
0	0
163	0
0	42
0	32
0	40
0	0
0	462
92	462
0	3
4	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	255
3	26
0	26
0	26
0	23
51	0
1	2
0	2
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	15
0	16
0	16
0	3
0	5
0	0
0	0
0	3
0	3
0	2
0	2
3	0
0	1
0	1
0	4
0	4
0	4
0	3
0	3
11	124
0	180
6	185
0	192
0	288
0	292
0	289
0	292
0	278
0	288
0	55
0	0
0	0
