cell_line,dog 1,dog 2,dog 3
D17,45881.04104,186225.3851,107726.2499
1771,37332.58036,198003.1922,87442.80696
17CM98,46887.8963,167621.6125,132615.3235
Abrams,51234.80715,190526.6909,188167.3577
Bliley,53379.59555,210028.1592,191550.6797
CLL1390,49367.7316,209701.5681,132382.1173
CML-10C2,58635.60274,154595.8769,179047.6465
CML-6m,74494.73543,178226.2406,115189.6493
CMT12,72786.79599,158709.013,148739.5754
CMT27,68189.51805,198523.4921,171100.2659
CTAC,64608.16594,290098.4072,83171.03735
Denver,83063.26618,247745.9203,120677.1586
DH82,47593.70439,230399.8459,176164.8105
Gracie,23745.29162,198315.244,175672.0441
HMPOS,55295.54006,418092.0308,111175.0971
Jones,71602.31059,252796.0712,101431.9138
MacKinley,35492.58647,251018.3204,78195.05284
Nike,53862.68374,144175.2045,112824.1871
Moresco,84484.53993,197483.9584,121330.6707
OS2.4,62579.96289,332209.2411,120822.1607
OSA8,51766.56915,145503.3491,169568.3416
Parks,43223.18886,327466.399,155072.0619
STSA-1,26373.50912,312548.6225,174201.1963
Vogel,16356.4882,333033.8737,64594.36109
Yamane,20631.31847,261722.0029,102398.8429
Ctrl,18073.48688,222748.8108,116809.5937
