,dog 1,,,,,,,,,,,,,,dog 2,,,,,,,,,,,,,,dog 3,,,,,,,,,,,,
Analyte Sample,GM-CSF,IFNg,IL-2,IL-6,IL-7,IL-8,IL-15,IP-10,KC-like,IL-10,IL-18,MCP-1,TNFa,,GM-CSF,IFNg,IL-2,IL-6,IL-7,IL-8,IL-15,IP-10,KC-like,IL-10,IL-18,MCP-1,TNFa,,GM-CSF,IFNg,IL-2,IL-6,IL-7,IL-8,IL-15,IP-10,KC-like,IL-10,IL-18,MCP-1,TNFa
,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml
QC1,325.9,215.32,324.9,319.29,296.87,298.22,280.09,234.25,446.76,497.98,363.49,286.95,276.45,,302.73,43.36,279.42,288.11,277.1,280.72,265.74,285.09,444.2,266.89,307.31,287.89,250.68,,287.55,53.02,280.49,288.89,258.83,273.54,272.04,272.06,379.13,263.8,302.27,295.14,264.8
QC2,1549,1370,1403,1395,1376,1306,1383,1598,1866,2834,1597,1504,1210,,1978,456.68,1915,1747,1788,1584,1687,1933,2527,1981,2174,1881,1465,,1592,246.46,1622,1498,1511,1655,1641,1649,2330,1602,1873,1591,1393
D17,6.45,3.42,4.62,10.41,4.63,29710,7.16,6.21,1263,212.62,6.41,5386,17.9,,4.57,1.29,5.53,5.03,6.8,39006,6.54,5.11,1360,60.39,6.59,4562,5.83,,6.07,1.17,5.21,16.11,3.62,37741,6.34,6.3,1043,101.64,6.05,4677,11.51
1771,13.44,6.56,6.04,20.6,6.73,30102,12.16,6.21,1351,300.89,6.41,4992,40.91,,4.57,4,5.53,5.03,6.8,18690,6.6,5.11,1118,82.12,6.59,4562,6.23,,6.07,1.17,5.21,5.99,3.31,11100,6.34,6.3,701.25,41.67,6.05,3202,6.87
17CM98,20.58,7.34,5.27,14.25,5.47,29300,8.42,6.21,1085,435.5,6.41,3439,29.4,,151.83,14.37,5.53,5.51,6.8,27694,6.54,5.11,1387,1088,6.59,4562,156.67,,6.07,1.17,5.21,13.26,3.62,42928,6.34,6.3,1003,118.39,6.05,4677,15.69
Abrams,17.38,4.09,4.88,8.91,5.26,28493,7.79,6.21,1122,462.4,6.41,4546,25.83,,1077,2.62,5.53,9.53,6.8,66920,9.65,5.11,1688,1430,6.59,4562,265.46,,6.07,1.17,5.21,22.67,4.53,42069,6.34,6.3,1112,192.21,6.05,4677,42.03
Bliley,13.75,4.09,4.62,11.48,4.63,27806,7.79,6.21,1237,389.33,6.41,4456,32.11,,6.49,1.61,6.56,6.48,6.43,28037,5.78,6.18,694.98,52.71,6.14,4589,6.64,,6.07,1.17,5.21,10.41,3.31,39903,6.34,6.3,1008,107.49,6.05,4677,16
CLL1390,6.45,4.54,5.27,8.91,5.47,27770,8.42,6.21,1323,156.9,6.41,4577,9.88,,6.49,1.61,6.56,6.48,6.43,25968,5.78,6.18,687.2,72.79,6.14,4589,6.64,,6.07,1.17,5.21,8.11,3.31,23964,6.34,6.3,867.68,72.88,6.05,4335,6.87
