cell_line,Dog 1,Dog 2,Dog 3
D17,1423.664491,1789.474912,803.3308561
1771,1871.52812,908.0365865,454.2865421
17CM98,1557.435941,1635.610184,752.2974081
Abrams,1614.702398,1567.061161,1187.274165
Bliley,1354.557717,1778.466998,906.4114658
CLL1390,1708.917282,908.0365865,814.7186153
CML-10C2,1819.363862,1092.965083,886.265764
CML-6m,4745.4057,2874.519118,1237.841204
CMT12,3977.720672,1954.997317,1451.500907
CMT27,3977.720672,1665.795654,1228.90046
CTAC,5869.713235,2480.298424,981.6526356
Denver,5458.068266,2224.577082,1178.375269
DH82,4097.001437,2862.970575,1780.455997
Gracie,2855.947124,1786.72265,1445.429797
HMPOS,4450.962615,2177.126238,1258.731197
Jones,9738.59514,3869.602645,2091.609097
MacKinley,7279.257756,2409.739999,1415.118824
Nike,5388.590283,4554.687801,1855.310659
Moresco,10100.04831,1465.710059,1533.747496
OS2.4,7657.563852,3322.399372,1372.809581
OSA8,5557.732229,3310.528968,1690.516879
Parks,5677.960104,2485.953674,1555.156643
STSA-1,5113.070592,2874.519118,1939.968806
Vogel,3895.693961,2891.856446,1315.629406
Yamane,4375.798369,2437.934278,1181.340737
Ctrl cells,4254.387207,1547.878878,1749.378786
