"cytokine","gene","Hugo_Symbol","baseMean","log2FoldChange","lfcSE","conf.low","conf.high","stat","pvalue","padj"
"IL-10","ENSCAFG00000011415","MCUB",749.0610577,-1.390655095,0.256977562,-1.89433111652,-0.88697907348,-5.41158179016423,1.67e-08,0.000251406
"IL-10","ENSCAFG00000018219","CSF1R",3333.46215,7.800659486,1.781495663,4.30892798652,11.29239098548,4.37871371118796,1.66e-07,0.001248435
"IL-10","ENSCAFG00000012923","DSCAML1",46.05389192,-5.659717248,1.237998437,-8.08619418452,-3.23324031148,-4.5716675230342,3.94e-07,0.001974681
"IL-10","ENSCAFG00000018348","CCL7",5556.598961,6.613437757,1.581264778,3.51415879212,9.71271672188,4.18237214223208,5.93e-07,0.002228171
"IL-10","ENSCAFG00000008901","BPI",3066.695308,7.731426758,2.375039809,3.07634873235999,12.38650478364,3.25528301828982,1.08e-06,0.002651257
"IL-10","ENSCAFG00000009273","STAB1",413.3600832,6.308236771,1.6676479,3.039646887,9.576826655,3.78271502695503,1.41e-06,0.002651257
"IL-10","ENSCAFG00000013440","ADAM8",728.0952539,4.619639889,1.108105423,2.44775325992,6.79152651807999,4.16895341644763,1.4e-06,0.002651257
"IL-10","ENSCAFG00000024609","CNTN2",563.4266225,-6.381759767,1.665737242,-9.64660476132,-3.11691477268,-3.83119234299979,1.26e-06,0.002651257
"IL-10","ENSCAFG00000015086","NA",172.4949063,5.066230172,1.265603363,2.58564758052,7.54681276348,4.00301573155664,1.66e-06,0.002776782
"IL-10","ENSCAFG00000006835","NR1H4",25.74295556,-2.28969508,0.605677811,-3.47682358956,-1.10256657044,-3.78038461772211,2.77e-06,0.00416117999999999
"IL-10","ENSCAFG00000012086","CTSS",1397.363611,5.536716621,1.656237562,2.29049099948,8.78294224252,3.34294834752697,3.74e-06,0.005113057
"IL-10","ENSCAFG00000015708","ACTA2",5251.714748,-5.787768728,1.892357051,-9.49678854796,-2.07874890803999,-3.05849719266324,4.75e-06,0.005950703
"IL-10","ENSCAFG00000001991","NA",22.95455703,2.977309345,1.031623687,0.95532691848,4.99929177151999,2.88604205440273,1.06e-05,0.012023028
"IL-10","ENSCAFG00000014333","S100P",260.1481408,5.116539768,2.003786752,1.18911773408,9.04396180192,2.55343527094044,1.12e-05,0.012023028
"IL-10","ENSCAFG00000002152","IL1R2",2204.939216,5.189483138,2.173786702,0.928861202079999,9.45010507392,2.38730098644241,1.3e-05,0.013004676
"IL-10","ENSCAFG00000013968","CD163",1093.576358,4.884494893,2.265847806,0.44343319324,9.32555659276,2.15570299120081,1.88e-05,0.017697036
"IL-10","ENSCAFG00000011995","THEMIS2",572.355473,3.732541468,1.64911679,0.500272559599999,6.9648103764,2.26335787170052,2.29e-05,0.020280122
"IL-10","ENSCAFG00000042676","NA",224.6157355,4.361226642,2.256306158,-0.0611334276799997,8.78358671168,1.93290552637848,2.94e-05,0.02453465
"IL-10","ENSCAFG00000018251","PDE6A",81.02602103,4.106668454,2.310444176,-0.421802130959999,8.63513903896,1.77743677889233,3.83e-05,0.030320467
"IL-10","ENSCAFG00000013058","DUSP12",1121.321798,0.955080948,0.70203953,-0.4209165308,2.3310784268,1.36043756396452,5.2e-05,0.03725187
"IL-10","ENSCAFG00000047105","FOXS1",64.26477582,2.89032709,1.651140273,-0.345907845079999,6.12656202508,1.75050365935808,4.97e-05,0.03725187
"IL-10","ENSCAFG00000009912","ERG",104.8437274,-1.526231376,1.116882321,-3.71532072516,0.66285797316,-1.36651046157977,7.69e-05,0.050291263
"IL-10","ENSCAFG00000020082","DNM1",322.9733797,2.444594562,1.633364806,-0.756800457759999,5.64598958175999,1.49666170901933,7.47e-05,0.050291263
"IL-10","ENSCAFG00000008919","RASGEF1B",175.6095556,3.294205476,2.40682261,-1.42316683959999,8.0115777916,1.36869475229003,8.27e-05,0.051827812
"IL-10","ENSCAFG00000018992","TMEM61",35.00332864,-2.608407104,1.895113971,-6.32283048715999,1.10601627916,-1.37638534880496,9.28e-05,0.055837339
"IL-10","ENSCAFG00000010198","RAB7B",124.2581957,2.157767293,1.611884888,-1.00152708748,5.31706167348,1.33866091124988,9.82e-05,0.056813499
"IL-10","ENSCAFG00000036621","NA",26.49311161,-1.740368427,1.392777858,-4.47021302868,0.98947617468,-1.24956640931895,0.000109306,0.059907352
"IL-10","ENSCAFG00000045177","NA",6.659751097,-2.123146042,1.664950643,-5.38644930228,1.14015721828,-1.27520058983514,0.000111537,0.059907352
"IL-10","ENSCAFG00000002201","SHC3",246.62577,2.846082491,2.706228712,-2.45812578452,8.15029076652,1.0516784772772,0.000145818,0.068529989
"IL-10","ENSCAFG00000011920","CASS4",107.6788208,3.028167529,2.95031667,-2.75445314419999,8.8107882022,1.02638728913123,0.000132706,0.068529989
"IL-10","ENSCAFG00000014716","PSME3",3417.783286,0.314195336,0.227712523,-0.13212120908,0.76051188108,1.37978944618693,0.000139031,0.068529989
"IL-10","ENSCAFG00000031865","SCARF1",286.0886604,2.304157719,1.986573894,-1.58952711324,6.19784255124,1.15986509535798,0.000142436,0.068529989
"IL-10","ENSCAFG00000013178","OLA1",4131.693949,-0.326715441,0.320043619,-0.95400093424,0.300570052239999,-1.02084660216268,0.00015391,0.070140806
"IL-10","ENSCAFG00000000071","NA",756.4093235,0.294607438,0.240752981,-0.17726840476,0.766483280759999,1.22369175565888,0.000179185,0.07152387
"IL-10","ENSCAFG00000014879","LRRC25",589.8860667,2.64402063,3.019531502,-3.27426111391999,8.56230237392,0.875639359367081,0.000180724,0.07152387
"IL-10","ENSCAFG00000015053","SPINDOC",611.5814767,-0.352363971,0.395245385,-1.1270449256,0.4223169836,-0.89150685718949,0.000163266,0.07152387
"IL-10","ENSCAFG00000018759","ZNF280C",492.5262439,-0.347590792,0.40757082,-1.1464295992,0.4512480152,-0.852835323196101,0.000178182,0.07152387
"IL-10","ENSCAFG00000031767","TUBA3D",110.4728367,1.937651393,1.836427486,-1.66174647956,5.53704926556,1.05512001305343,0.000180305,0.07152387
"IL-10","ENSCAFG00000005704","STING1",248.9520131,2.340399384,2.351798452,-2.26912558192,6.94992434992,0.995153042136622,0.000194415,0.071694416
"IL-10","ENSCAFG00000009865","KSR2",15.69907828,-2.009811258,1.931118693,-5.79480389627999,1.77518138027999,-1.04074972982512,0.000186667,0.071694416
"IL-10","ENSCAFG00000013332","ATF2",831.1098854,-0.304226576,0.335202106,-0.96122270376,0.352769551759999,-0.907591481540393,0.000195457,0.071694416
"IL-10","ENSCAFG00000018277","NA",4242.354742,1.677926746,1.703194888,-1.66033523448,5.01618872648,0.985164268529674,0.000210499,0.075373758
"IL-10","ENSCAFG00000006704","NFKBID",938.1824344,1.908296919,2.071594616,-2.15202852836,5.96862236636,0.921172947767498,0.000248707,0.085006773
"IL-10","ENSCAFG00000011525","ISG20",141.7046686,1.941353623,2.109989324,-2.19422545204,6.07693269804,0.920077462439331,0.00024813,0.085006773
"IL-10","ENSCAFG00000018972","EFCAB5",109.9556264,-0.580098639,0.776796893,-2.10262054928,0.94242327128,-0.746782903262719,0.000260532,0.08619977
"IL-10","ENSCAFG00000023899","CEACAM20",25.80371457,-1.874091632,2.086231823,-5.96310600507999,2.21492274107999,-0.898314181261532,0.00026366,0.08619977
"IL-10","ENSCAFG00000001873","TCP11L2",67.29522691,-0.481893397,0.688817363,-1.83197542848,0.868188634479999,-0.69959531057872,0.000288719,0.092383855
"IL-10","ENSCAFG00000041978","NA",34.97805481,-1.808065467,2.162585648,-6.04673333707999,2.43060240307999,-0.836066524658634,0.000308438,0.09663755
"IL-10","ENSCAFG00000025345","RELN",128.7432342,-1.935039012,2.582624451,-6.99698293596,3.12690491196,-0.749252959039688,0.000333579,0.102381486
"IL-10","ENSCAFG00000003487","SLC66A3",1076.232801,-0.421416875,0.673356226,-1.74119507796,0.89836132796,-0.625845367916743,0.000387363,0.109916088
"IL-10","ENSCAFG00000013736","SPATA5L1",490.8661811,0.238589977,0.352896867,-0.45308788232,0.93026783632,0.676089813514836,0.000371019,0.109916088
"IL-10","ENSCAFG00000014221","ARHGAP20",74.46623789,1.725575649,2.324677537,-2.83079232351999,6.28194362152,0.742286025281105,0.000384612,0.109916088
"IL-10","ENSCAFG00000018169","CCL14",244.0627068,1.803090045,2.669693418,-3.42950905427999,7.03568914428,0.675392175312319,0.000379797,0.109916088
"IL-10","ENSCAFG00000011770","TEX2",1031.311447,-0.214088772,0.256110724,-0.71606579104,0.28788824704,-0.835922715989042,0.000421793,0.116192002
"IL-10","ENSCAFG00000012619","MGST1",461.1546242,1.69156334,2.597655569,-3.39984157524,6.78296825524,0.651188464008409,0.000424933,0.116192002
"IL-10","ENSCAFG00000004375","NUP210",1661.516816,-1.567426947,2.731621815,-6.9214057044,3.7865518104,-0.573808181788883,0.000439102,0.117922349
"IL-10","ENSCAFG00000000318","PLAGL1",837.992255,-0.282752156,0.507287403,-1.27703546587999,0.71153115388,-0.557380597917192,0.000487686,0.12867199
"IL-10","ENSCAFG00000010934","RFTN2",22.09382998,0.424562101,0.740987495,-1.0277733892,1.8768975912,0.57296797026244,0.000524171,0.133639562
"IL-10","ENSCAFG00000012468","OSM",95.75192624,1.392026431,2.101629127,-2.72716665792,5.51121951991999,0.662355890064707,0.000529121,0.133639562
"IL-10","ENSCAFG00000014463","PTPN6",2199.625327,1.415148792,2.164528296,-2.82732666815999,5.65762425216,0.653790848849222,0.000533172,0.133639562
"IL-10","ENSCAFG00000023592","SLC8A1",630.6587315,1.425063475,2.500702815,-3.47631404239999,6.32644099239999,0.569865186079698,0.000555577,0.136972512
"IL-10","ENSCAFG00000004617","APOE",455.0266969,0.91397785,1.447203012,-1.92254005352,3.75049575352,0.631547780388395,0.000603734,0.145005828
"IL-10","ENSCAFG00000016039","PSEN2",453.55633,-0.229875878,0.446714687,-1.10543666452,0.64568490852,-0.51459216517768,0.000607445,0.145005828
"IL-10","ENSCAFG00000045172","NA",27.1595728,-0.663239556,1.12412917,-2.8665327292,1.5400536172,-0.590002976259391,0.000637687,0.149846514
"IL-10","ENSCAFG00000001919","FAM219A",354.6676498,-0.172564287,0.31984181,-0.7994542346,0.454325660599999,-0.53953011021292,0.000684585,0.153663753
"IL-10","ENSCAFG00000008874","HUNK",70.01141305,1.143541698,1.892355481,-2.56547504476,4.85255844076,0.604295392425795,0.000680006,0.153663753
"IL-10","ENSCAFG00000013365","NA",909.3992629,0.17214055,0.239552401,-0.29738215596,0.64166325596,0.718592463617177,0.000673985,0.153663753
"IL-10","ENSCAFG00000011008","CAMKV",114.7276821,1.179548831,2.373484497,-3.47248078312,5.83157844512,0.496969258695773,0.000724989,0.160339805
"IL-10","ENSCAFG00000001002","SMPDL3A",2526.446239,1.064193616,2.336383431,-3.51511790875999,5.64350514075999,0.455487571894187,0.000799817,0.173695631
"IL-10","ENSCAFG00000014604","NUDT13",205.0247164,-0.165403315,0.341368044,-0.83448468124,0.503678051239999,-0.48453075180054,0.000808478,0.173695631
"IL-10","ENSCAFG00000002963","HOXA10",53.19348946,-0.978784018,1.760265386,-4.42890417455999,2.47133613856,-0.556043438554554,0.000837904,0.177482128
"IL-10","ENSCAFG00000012077","KCNH1",46.16020387,0.88847456,1.658191545,-2.3615808682,4.1385299882,0.535809365738865,0.000922632,0.192714666
"IL-10","ENSCAFG00000025324","CLEC4D",41.07591689,0.718289072,1.374930599,-1.97657490204,3.41315304604,0.522418420626043,0.000965437,0.1988933
"IL-10","ENSCAFG00000002865","NFE2L3",610.6798102,-0.13546938,0.298402048,-0.720337394079999,0.449398634079999,-0.453982742102359,0.00105927,0.201650109
"IL-10","ENSCAFG00000005852","NA",1177.796975,0.929309482,1.885741828,-2.76674450088,4.62536346488,0.492808436553383,0.001043722,0.201650109
"IL-10","ENSCAFG00000008664","PLEKHA7",323.1534137,-0.789616778,1.540768167,-3.80952238532,2.23028882931999,-0.512482536251672,0.001029696,0.201650109
"IL-10","ENSCAFG00000010599","HYAL1",221.4806981,0.56779004,1.133722416,-1.65430589535999,2.78988597536,0.500819276382729,0.000999684,0.201650109
"IL-10","ENSCAFG00000018931","CIITA",15.47640879,0.827356503,1.637505489,-2.38215425544,4.03686726144,0.505254186051769,0.001058873,0.201650109
"IL-10","ENSCAFG00000019194","SLC43A2",415.3206504,0.507173436,1.034243198,-1.51994323208,2.53429010408,0.490381214960622,0.001008041,0.201650109
"IL-10","ENSCAFG00000014645","SLC11A1",5944.369005,0.738986371,1.473977333,-2.15000920167999,3.62798194368,0.501355315618004,0.001084058,0.203789262
"IL-10","ENSCAFG00000007298","TCP11L1",393.9648423,-0.182159509,0.446470587,-1.05724185952,0.692922841519999,-0.407998901392355,0.001120302,0.208002771
"IL-10","ENSCAFG00000004160","TNIP3",71.10548978,0.743722763,1.55474841,-2.30358412059999,3.7910296466,0.478355699363603,0.001211446,0.208883501
"IL-10","ENSCAFG00000006031","LIG4",556.469592,-0.12992142,0.315009734,-0.74734049864,0.48749765864,-0.412436207447481,0.001235101,0.208883501
"IL-10","ENSCAFG00000006991","REM1",92.40331971,-0.720247977,1.515565839,-3.69075702144,2.25026106744,-0.475233710384521,0.001233468,0.208883501
"IL-10","ENSCAFG00000014860","CASP4",223.0139503,0.839701954,2.018004694,-3.11558724624,4.79499115424,0.41610505490727,0.00122153,0.208883501
"IL-10","ENSCAFG00000016875","TTLL6",7.131722038,0.798152668,1.63357565,-2.403655606,3.999960942,0.488592412601155,0.001143304,0.208883501
"IL-10","ENSCAFG00000017765","GRIA1",251.5539278,-0.860551435,1.857714633,-4.50167211568,2.78056924567999,-0.463231230304896,0.001185675,0.208883501
"IL-10","ENSCAFG00000017814","ZP2",23.57202825,-0.466805358,1.020851129,-2.46767357083999,1.53406285484,-0.457270746673191,0.001215286,0.208883501
"IL-10","ENSCAFG00000047873","NA",109.361516,0.13210885,0.201565346,-0.26295922816,0.52717692816,0.655414497688506,0.001236161,0.208883501
"IL-10","ENSCAFG00000018777","ENOX2",75.18710223,-0.12600163,0.302841017,-0.71957002332,0.46756676332,-0.416065271633928,0.00125321,0.20941135
