"cytokine","gene","Hugo_Symbol","baseMean","log2FoldChange","lfcSE","conf.low","conf.high","stat","pvalue","padj"
"KC-like","ENSCAFG00000015813","PADI2",787.4380752,-5.073939558,0.867940381,-6.77510270476,-3.37277641124,-5.84595401835555,2.32e-09,3.44e-05
"KC-like","ENSCAFG00000016041","PAX3",312.5181003,7.223498658,1.337238293,4.60251160372,9.84448571228,5.40180362453919,1.14e-08,8.45e-05
"KC-like","ENSCAFG00000041995","NA",2811.343777,-1.148517806,0.382679279,-1.89856919284,-0.39846641916,-3.0012542330519,1.47e-06,0.007256492
"KC-like","ENSCAFG00000017893","HS3ST3A1",61.61806123,4.216721113,2.306774417,-0.30455674432,8.73799897032,1.82797289666664,2.26e-05,0.066939858
"KC-like","ENSCAFG00000019758","NA",2229.336434,0.338538868,0.128013469,0.08763246876,0.589445267239999,2.64455662864663,2.26e-05,0.066939858
"KC-like","ENSCAFG00000029738","CACNG7",92.54872104,3.692089007,2.821843876,-1.83872498996,9.22290300396,1.30839591743593,5.03e-05,0.124455236
"KC-like","ENSCAFG00000013195","EFEMP2",85.20501102,-2.82435915,2.56875491,-7.8591187736,2.2104004736,-1.0995051100457,8.48e-05,0.165064866
"KC-like","ENSCAFG00000024087","CGAS",77.65184348,2.50273217,2.290932633,-1.98749579068,6.99296013068,1.09245122879176,8.9e-05,0.165064866
"KC-like","ENSCAFG00000035292","NA",22.75279308,2.53610209,2.562589799,-2.48657391604,7.55877809604,0.98966369529359,0.000109651,0.180754196
"KC-like","ENSCAFG00000005393","MAP3K10",319.5554799,0.205470323,0.270380538,-0.324475531479999,0.73541617748,0.75993015074184,0.000220542,0.186360514
"KC-like","ENSCAFG00000009905","MMP9",16.74227236,1.609876802,2.11702697,-2.5394960592,5.7592496632,0.760442273439719,0.000212126,0.186360514
"KC-like","ENSCAFG00000014219","KLHDC2",1613.092552,-0.248692461,0.177927939,-0.59743122144,0.10004629944,-1.39771450395994,0.000190828,0.186360514
"KC-like","ENSCAFG00000015155","TIMP1",20968.66793,-1.087753763,1.37736625,-3.787391613,1.61188408699999,-0.789734584392495,0.000161903,0.186360514
"KC-like","ENSCAFG00000015228","VWF",93.92784551,1.453491714,1.968616051,-2.40499574595999,5.31197917395999,0.738331739834016,0.000226105,0.186360514
"KC-like","ENSCAFG00000015416","ANO8",992.8292169,0.22662848,0.242907811,-0.24947082956,0.70272778956,0.932981442906337,0.00018726,0.186360514
"KC-like","ENSCAFG00000016429","TNFRSF8",212.0234224,2.00320291,2.22455177,-2.3569185592,6.3633243792,0.900497321309811,0.000141901,0.186360514
"KC-like","ENSCAFG00000017556","TEX14",142.9039828,1.285039042,1.583898796,-1.81940259815999,4.38948068215999,0.811313857454311,0.00016503,0.186360514
"KC-like","ENSCAFG00000019481","SSNA1",764.2559977,0.221585078,0.276776096,-0.32089607016,0.76406622616,0.800593263661035,0.000185431,0.186360514
"KC-like","ENSCAFG00000003583","ZMYM4",1428.322638,-0.174217857,0.298589282,-0.75945284972,0.41101713572,-0.583469894944186,0.000310541,0.210392485
"KC-like","ENSCAFG00000004701","DYNLT4",22.98352413,-0.916112756,1.493749268,-3.84386132128,2.01163580928,-0.613297543051917,0.000326168,0.210392485
"KC-like","ENSCAFG00000012193","RNF39",159.1991175,-1.582927627,2.426038087,-6.33796227752,3.17210702351999,-0.652474351281691,0.0002898,0.210392485
"KC-like","ENSCAFG00000012326","MINDY1",298.5952216,-0.445406693,0.836023844,-2.08401342724,1.19320004124,-0.532767930240994,0.000322938,0.210392485
"KC-like","ENSCAFG00000020357","DNAJB4",485.4515379,-0.172460161,0.260485847,-0.683012421119999,0.33809209912,-0.662071137400413,0.000318347,0.210392485
"KC-like","ENSCAFG00000002573","SSC5D",205.5308239,-0.92779264,1.654678899,-4.17096328204,2.31537800204,-0.560708570442705,0.000427513,0.211419225
"KC-like","ENSCAFG00000008804","MARCHF1",77.45885568,0.813553874,1.465657869,-2.05913554923999,3.68624329724,0.555077614774502,0.000419066,0.211419225
"KC-like","ENSCAFG00000012212","RAB4A",470.8028759,-0.151353177,0.286849641,-0.713578473359999,0.410872119359999,-0.527639415801116,0.000405487,0.211419225
"KC-like","ENSCAFG00000016376","DHRS3",98.87544556,-1.063565623,1.83945178,-4.6688911118,2.5417598658,-0.578197066410732,0.000404653,0.211419225
"KC-like","ENSCAFG00000018348","CCL7",3400.766059,1.444645526,2.671673066,-3.79183368336,6.68112473535999,0.540726911681191,0.000365899,0.211419225
"KC-like","ENSCAFG00000032070","SAP18",1851.40188,-0.207069034,0.169099347,-0.53850375412,0.12436568612,-1.22454070742212,0.000385485,0.211419225
"KC-like","ENSCAFG00000042676","NA",129.088648,1.378862055,2.377484561,-3.28100768456,6.03873179456,0.579966775649652,0.000374073,0.211419225
"KC-like","ENSCAFG00000026603","NA",19.18492832,0.186511869,0.429187094,-0.654694835239999,1.02771857324,0.434570078195314,0.000442101,0.211581173
"KC-like","ENSCAFG00000012297","ZDHHC18",623.7211739,0.27965361,0.643997453,-0.98258139788,1.54188861788,0.434246453456082,0.000491041,0.227658954
"KC-like","ENSCAFG00000003688","VPS35",4222.010532,-0.140559462,0.212147521,-0.55636860316,0.27524967916,-0.662555288590904,0.000559765,0.251656828
"KC-like","ENSCAFG00000014535","GPC2",35.66138215,0.633828579,1.364019791,-2.03965021135999,3.30730736936,0.464676966699524,0.000648064,0.280525565
"KC-like","ENSCAFG00000048083","NA",139.523289,-0.687605443,1.475843943,-3.58025957128,2.20504868528,-0.465906606359938,0.000661795,0.280525565
"KC-like","ENSCAFG00000008811","RND1",137.8061864,0.303039655,0.765316792,-1.19698125732,1.80306056732,0.395966295484079,0.000718964,0.296293229
"KC-like","ENSCAFG00000003980","MAP3K8",90.86739576,0.242492422,0.648361556,-1.02829622776,1.51328107176,0.374008020302795,0.000765539,0.30618646
"KC-like","ENSCAFG00000012077","KCNH1",16.00421129,0.544934623,1.305620217,-2.01408100232,3.10395024832,0.417376060744623,0.000846161,0.30618646
"KC-like","ENSCAFG00000017526","RNF43",36.74668277,0.456164329,1.118193002,-1.73549395492,2.64782261292,0.407947758735839,0.000838941,0.30618646
"KC-like","ENSCAFG00000031848","NA",203.8786811,0.228726058,0.632971783,-1.01189863667999,1.46935075268,0.36135269239956,0.000836011,0.30618646
"KC-like","ENSCAFG00000032267","WNT2",55.80232654,0.732367507,1.72993548,-2.65830603379999,4.1230410478,0.423349607813119,0.000839276,0.30618646
"KC-like","ENSCAFG00000011233","PRKAR1B",171.1384228,-0.760464549,1.896848324,-4.47828726404,2.95735816604,-0.400909518899414,0.00089292,0.312818944
"KC-like","ENSCAFG00000011278","PUDP",673.3664456,-0.107739642,0.312612689,-0.72046051244,0.50498122844,-0.344642574633302,0.00090666,0.312818944
"KC-like","ENSCAFG00000014506","FUNDC1",481.5879241,-0.09588779,0.261311073,-0.60805749308,0.416281913079999,-0.366948820419867,0.000939301,0.316715288
"KC-like","ENSCAFG00000010888","UPK1B",694.7206421,-0.700196135,1.844802225,-4.316008496,2.915616226,-0.379550786263822,0.001006111,0.317588578
