"cytokine","gene","Hugo_Symbol","baseMean","log2FoldChange","lfcSE","conf.low","conf.high","stat","pvalue","padj"
"TNF-alpha","ENSCAFG00000018348","CCL7",5242.070445,9.651035614,1.331704438,7.04089491551999,12.26117631248,7.24713032307248,1.12e-14,1.64e-10
"TNF-alpha","ENSCAFG00000001002","SMPDL3A",2403.845103,9.010895975,1.637596233,5.80120735832,12.22058459168,5.50251386356236,1.16e-09,5.68e-06
"TNF-alpha","ENSCAFG00000024781","NA",465.7933917,6.894344394,1.181216232,4.57916057928,9.20952820872,5.83664887700256,8.55e-10,5.68e-06
"TNF-alpha","ENSCAFG00000001084","CXCL14",131.3212519,6.416337754,1.201859585,4.0606929674,8.7719825406,5.3386750283312,1.77e-08,5.98e-05
"TNF-alpha","ENSCAFG00000010192","RNF144B",221.8779406,5.284655844,0.976143221,3.37141513084,7.19789655716,5.4138119594645,2.03e-08,5.98e-05
"TNF-alpha","ENSCAFG00000008544","MMP15",271.9289213,6.073448263,1.146617711,3.82607754944,8.32081897656,5.29683799991469,2.61e-08,6.39e-05
"TNF-alpha","ENSCAFG00000001991","NA",24.17363426,3.019220251,0.56159438,1.9184952662,4.11994523579999,5.37615823541539,4.62e-08,9.71e-05
"TNF-alpha","ENSCAFG00000009905","MMP9",8912.745886,8.351472354,1.777572356,4.86743053624,11.83551417176,4.69824608028501,7.2e-08,0.00013229
"TNF-alpha","ENSCAFG00000007882","PCSK1",21.96703968,4.869424168,0.977464726,2.95359330504,6.78525503096,4.98168786911293,1.81e-07,0.000265758
"TNF-alpha","ENSCAFG00000042676","NA",213.3173275,6.362136408,1.315773094,3.78322114376,8.94105167224,4.83528386240127,1.73e-07,0.000265758
"TNF-alpha","ENSCAFG00000018272","KLHL13",81.4501003,6.285663578,1.353230135,3.6333325134,8.9379946426,4.64493319755992,3.45e-07,0.000460774
"TNF-alpha","ENSCAFG00000020082","DNM1",298.0716378,4.126935384,0.85646558,2.4482628472,5.8056079208,4.81856536955052,4.02e-07,0.000492196
"TNF-alpha","ENSCAFG00000029471","CLIC2",46.11153279,-4.324623377,0.904813305,-6.0980574548,-2.5511892992,-4.77957535891893,4.41e-07,0.000498235
