"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"IL8","C7","GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP","GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP",140,0.968218483,1.686830844,1.22e-05,0.025881903,0.025361885,50,"tags=4%, list=0%, signal=4%","SMPDL3A/SLC11A1/STAB1/CXCL8/C5AR1"
"IL8","C7","GSE34515_CD16_NEG_MONOCYTE_VS_DC_UP","GSE34515_CD16_NEG_MONOCYTE_VS_DC_UP",156,0.965649836,1.675668236,1.52e-05,0.025881903,0.025361885,3,"tags=1%, list=0%, signal=1%","SMPDL3A/SLC11A1"
"IL8","C7","SCHERER_PBMC_APSV_WETVAX_AGE_18_32YO_5_TO_7DY_UP","SCHERER_PBMC_APSV_WETVAX_AGE_18_32YO_5_TO_7DY_UP",195,0.960522801,1.662438771,8.77e-06,0.025881903,0.025361885,90,"tags=8%, list=1%, signal=8%","SMPDL3A/OAS1/IGSF6/LGALS9/IFI44L/IFIT1/RSAD2/MX2/ISG15/SLC8A1/IFIT2/ALDH3B1/IFI44/IRF1/OAS2"
"IL8","C7","GSE5960_TH1_VS_ANERGIC_TH1_UP","GSE5960_TH1_VS_ANERGIC_TH1_UP",159,0.964368742,1.675289619,2.93e-05,0.037284945,0.036535819,25,"tags=2%, list=0%, signal=2%","SMPDL3A/CCL7/ISG20"
"IL8","C6","PDGF_ERK_DN.V1_UP","PDGF_ERK_DN.V1_UP",108,-0.96736785,-1.77872976,0.000787196,0.049330936,0.048336583,2,"tags=2%, list=0%, signal=2%","ZIC4/NDN"
"IL8","C6","PDGF_UP.V1_UP","PDGF_UP.V1_UP",120,-0.963130276,-1.733262294,0.000619304,0.049330936,0.048336583,2,"tags=2%, list=0%, signal=2%","PARG/NDN"
"IL8","C6","MEK_UP.V1_DN","MEK_UP.V1_DN",151,0.952073479,1.700861864,0.000592997,0.049330936,0.048336583,112,"tags=9%, list=1%, signal=9%","SMPDL3A/OAS1/IFI44L/OASL/IFIT1/ISG15/HERC6/MAFB/IFI44/OAS2/DDX60/OAS3/BST2"
"IL8","C7","GSE11057_PBMC_VS_MEM_CD4_TCELL_UP","GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",126,0.963649912,1.702769328,0.000178609,0.113751695,0.111466203,61,"tags=4%, list=1%, signal=4%","SMPDL3A/STAB1/IGSF6/C5AR1/MAFB"
"IL8","C7","GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP","GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP",140,0.959295865,1.671285852,0.000168661,0.113751695,0.111466203,23,"tags=2%, list=0%, signal=2%","SMPDL3A/CCL7/CXCL8"
"IL8","C7","GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN","GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN",159,0.959085009,1.666110782,0.000143563,0.113751695,0.111466203,112,"tags=10%, list=1%, signal=10%","CCL7/OAS1/LGALS9/ZC3HAV1/ISG20/IFI44L/OASL/IFIT1/RSAD2/MX2/ISG15/IFIT2/ENPP2/IFI44/OAS2/BST2"
"IL8","C7","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_UP","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_UP",728,0.85986147,1.613973515,0.000115669,0.113751695,0.111466203,245,"tags=6%, list=2%, signal=6%","SLC11A1/MS4A7/OAS1/STAB1/IGSF6/CSF1R/LGALS9/ISG20/IFI44L/FLVCR2/OASL/IFIT1/RSAD2/KCNJ2/MX2/ISG15/SLC8A1/C5AR1/TRANK1/IFIT2/HERC6/MAFB/IFI44/HELZ2/IRF1/CLEC4D/OAS2/PARP14/TNFSF13B/DDX60/OAS3/BST2/DMXL2/SLC24A4/SLC7A7/CREG1/RNF213/SLC35F6/CCL8/PLAAT4/CXCL10/RUBCN/PPM1K/CALML4/PARP12"
"IL8","C7","GSE26928_EFF_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP","GSE26928_EFF_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP",115,-0.970244555,-1.769144616,0.000202165,0.114447739,0.112148262,6,"tags=3%, list=0%, signal=4%","FAM181B/SNX30/IL17RB/NDN"
"IL8","C2","LEE_INTRATHYMIC_T_PROGENITOR","LEE_INTRATHYMIC_T_PROGENITOR",15,-0.997916568,-1.855450235,2.34e-05,0.131927997,0.126859061,2,"tags=13%, list=0%, signal=13%","RAB13/NDN"
"IL8","C7","GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN","GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN",174,0.947251244,1.633405249,0.000256792,0.130835756,0.128207013,61,"tags=1%, list=1%, signal=1%","SMPDL3A/MAFB"
