"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"TGFB","C2","LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN","LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN",960,-0.814370161,-1.897067174,9.12e-19,5.12e-15,4.94e-15,261,"tags=9%, list=2%, signal=10%","CHN2/BMP6/ST8SIA4/RIPOR2/RCSD1/MAN1A1/CD38/MMP1/ARHGAP30/LGALS9/CCND2/TLR6/CLIC2/SPP1/SLC9A9/FAP/RGS2/TNFRSF1B/OGFRL1/SH2D3C/DOCK8/HLX/PTPRE/BCL2A1/ELOVL2/SAMD9L/EGR3/SLC2A3/PLXNC1/HOPX/FCMR/IFFO1/ELMO1/CYTIP/ENPP2/SLC16A2/TNFRSF8/PDE1B/DERL3/DOCK11/TMEM176B/PLCL1/ARRDC3/ADAP2/PIK3R5/PTGS2/LPAR6/RASSF2/STAB1/NCF2/CD274/DOK2/IL7/POU2F2/LRRC25/TLR1/MARCHF1/RGS4/C5AR1/IL10RA/KCTD12/ESAM/STING1/CD68/SELPLG/IL1B/GMFG/IGSF6/KLRG1/TNFRSF11A/SIGLEC1/PIK3AP1/CORO1A/FAM78A/LAT2/NCKAP1L/LSP1/MYO1F/FYB1/IRAG2/FERMT3/LCP2/IL16/MFNG/CD163/FCGR1A/CTSS/LCP1/CSF1R/LAPTM5"
"TGFB","C2","CHEN_METABOLIC_SYNDROM_NETWORK","CHEN_METABOLIC_SYNDROM_NETWORK",878,-0.819952113,-1.904775398,4.32e-18,1.21e-14,1.17e-14,302,"tags=8%, list=3%, signal=8%","ATP6V1C1/PLAC8/HTRA2/TONSL/EPB41/GALNS/UNC93B1/ST8SIA4/CD38/TMEM229B/SLAMF9/SLC9A9/RGS2/PLEKHO1/DOCK8/PTPRE/BCL2A1/ARID3A/COTL1/SPSB2/PLXNC1/CYTIP/SMC1B/PPM1J/DOCK11/ADAP2/VAV1/SEMA4D/STAB1/NCF2/PTPN6/RASGEF1B/CD274/FES/DOK2/ENTPD1/RGS14/ARHGAP4/IL1RL1/CLEC4D/LRRC25/SLC8A1/IL10RA/SLC7A8/DENND1C/IL18BP/CD68/GMFG/THEMIS2/IGSF6/IRF5/PIK3AP1/DOK3/CORO1A/LAT2/NCKAP1L/CD37/MYO1F/IRAG2/FERMT3/LCP2/CFP/FCGR1A/CTSS/LCP1/CSF1R/LAPTM5"
"TGFB","C2","WALLACE_PROSTATE_CANCER_RACE_UP","WALLACE_PROSTATE_CANCER_RACE_UP",151,-0.932507735,-1.967473563,2.47e-13,4.62e-10,4.46e-10,291,"tags=17%, list=2%, signal=16%","PLAC8/IFI44L/MAP4K1/CLIC2/BCL2A1/ELOVL2/CXCR4/COTL1/FCMR/CYTIP/PLCL1/C5AR1/IL10RA/GMFG/THEMIS2/CORO1A/NCKAP1L/CD37/LSP1/IL1R2/FYB1/LCP2/IL16/CTSS/LAPTM5"
"TGFB","C7","GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN","GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN",143,-0.928113004,-1.95261187,1.71e-11,8.69e-08,7.76e-08,229,"tags=15%, list=2%, signal=15%","LGALS9/CLIC2/EFHD2/ZFP36L1/COTL1/SLC2A3/PLXNC1/NCF2/DOK2/ENTPD1/KCTD12/IL1B/GMFG/SEMA4A/IGSF6/ITGB7/LAT2/IL1R2/MFNG/CD163/CFP/CSF1R"
"TGFB","C7","GSE29618_MONOCYTE_VS_PDC_UP","GSE29618_MONOCYTE_VS_PDC_UP",133,-0.928547951,-1.93268648,8.11e-11,2.07e-07,1.84e-07,222,"tags=13%, list=2%, signal=13%","EFHD2/ZFP36L1/TNFRSF1B/KDM7A/BCL2A1/SLC2A3/NCF2/ENTPD1/C5AR1/GMFG/LAT2/MYO1F/FYB1/CD163/CFP/CTSS/CSF1R"
"TGFB","C7","GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP","GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP",149,-0.906709942,-1.921872235,7.69e-09,1.31e-05,1.17e-05,222,"tags=11%, list=2%, signal=11%","EFHD2/ZFP36L1/TNFRSF1B/SLC2A3/PLXNC1/ADAP2/NCF2/ENTPD1/C5AR1/GMFG/IGSF6/LAT2/MYO1F/CD163/CTSS/CSF1R"
"TGFB","C2","LENAOUR_DENDRITIC_CELL_MATURATION_DN","LENAOUR_DENDRITIC_CELL_MATURATION_DN",87,-0.928090281,-1.919752577,6.37e-08,8.63e-05,8.33e-05,203,"tags=15%, list=2%, signal=15%","TNFRSF1B/CYTIP/STAB1/IL6R/TLR1/C5AR1/IL1B/CORO1A/CD37/IL1R2/FYB1/CD163/CSF1R"
"TGFB","C2","RODWELL_AGING_KIDNEY_UP","RODWELL_AGING_KIDNEY_UP",328,-0.834113581,-1.843245556,7.69e-08,8.63e-05,8.33e-05,258,"tags=9%, list=2%, signal=9%","ST8SIA4/CD38/ARHGAP30/CCND2/CMTM7/NR2F1/PLEKHO1/PTPRE/BCL2A1/CXCR4/SAMD9L/DOCK11/STAB1/PTPN6/MARCHF1/HAVCR1/IL10RA/STING1/SELPLG/GMFG/THEMIS2/DOK3/CORO1A/MYO1F/FYB1/LCP2/CSF1R/LAPTM5"
"TGFB","Hallmark","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",113,-0.90252559,-1.860612772,1.73e-06,8.63e-05,8.36e-05,353,"tags=16%, list=3%, signal=16%","CD47/IL2RA/CD80/ST8SIA4/MAP4K1/CCND2/TLR6/STAB1/PTPN6/IL7/TLR1/IL1B/IGSF6/FYB1/LCP2/IL16/CFP/CTSS"
"TGFB","C2","MCLACHLAN_DENTAL_CARIES_UP","MCLACHLAN_DENTAL_CARIES_UP",126,-0.904706558,-1.902265065,2.12e-07,0.000192815,0.00018629,239,"tags=19%, list=2%, signal=19%","MMP1/SPP1/RGS2/TNFRSF1B/BCL2A1/CXCR4/SLC2A3/CYTIP/PTGS2/STAB1/NCF2/C5AR1/IL10RA/IL1B/CORO1A/CD37/LSP1/FYB1/LCP2/CD163/CTSS/LCP1/CSF1R/LAPTM5"
"TGFB","C2","JIANG_MELANOMA_TRM8_CD4","JIANG_MELANOMA_TRM8_CD4",299,-0.831711739,-1.830295867,2.41e-07,0.000192815,0.00018629,245,"tags=7%, list=2%, signal=7%","SPOCK2/PABPC1/CCND2/ZFP36L1/RGS2/M6PR/CXCR4/SLC2A3/DENND2D/CYTIP/RGS14/EML4/TRAF3IP3/IL10RA/STING1/SELPLG/GMFG/CORO1A/FYB1/LCP2/LCP1/LAPTM5"
"TGFB","C7","LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_DT_ANTIBODY_3DY_POSITIVE","LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_DT_ANTIBODY_3DY_POSITIVE",16,-0.986405122,-1.983716551,1.93e-07,0.000246451,0.000220064,34,"tags=25%, list=0%, signal=25%","CD74/NFKBID/IL1R2/CSF1R"
