"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"TNFA","C2","NABA_MATRISOME","NABA_MATRISOME",476,0.845454406,1.856635512,2.78e-09,1.55e-05,1.5e-05,275,"tags=9%, list=2%, signal=9%","CCL7/MMP9/LAMA4/CXCL14/MMP15/ACAN/NTN1/THBS2/COL14A1/COL5A3/ADAM8/TNFSF9/SEMA6B/SPP1/CXCL8/S100A12/COL8A1/MMP2/COLEC12/CTSK/CTHRC1/VWA2/SDC2/COL24A1/IL1B/NPNT/ADAMTS17/C1QL4/FBLN2/CLEC4D/C1QTNF6/ECM2/EBI3/NTF4/HBEGF/CXCL10/ADAM19/WNT4/TGM2/SEMA5A/NID1/CLEC2L/SERPINB2"
"TNFA","C2","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",206,0.901121039,1.836192506,2.38e-08,6.64e-05,6.44e-05,129,"tags=7%, list=1%, signal=7%","MMP9/LAMA4/MMP15/ACAN/COL14A1/COL5A3/ADAM8/SPP1/COL8A1/MMP2/CTSK/LRP4/SDC2/COL24A1/FBLN2"
"TNFA","C2","MARKEY_RB1_ACUTE_LOF_DN","MARKEY_RB1_ACUTE_LOF_DN",152,0.918841426,1.7928136,8.36e-08,0.000155239,0.000150447,196,"tags=9%, list=2%, signal=9%","CCL7/SMPDL3A/STAB1/CXCL14/CSF1R/ADAM8/TNFSF9/ABCA1/C5AR1/CLEC4D/GATM/GRN/CXCL10"
"TNFA","C2","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",86,0.945283389,1.789397709,3.5e-07,0.000487328,0.000472285,65,"tags=12%, list=1%, signal=12%","MMP9/MMP15/ACAN/COL14A1/COL5A3/ADAM8/SPP1/COL8A1/MMP2/CTSK"
"TNFA","C2","REACTOME_COLLAGEN_DEGRADATION","REACTOME_COLLAGEN_DEGRADATION",40,0.971177014,1.853708755,2.14e-06,0.002386187,0.002312528,65,"tags=18%, list=1%, signal=17%","MMP9/MMP15/COL14A1/COL5A3/COL8A1/MMP2/CTSK"
"TNFA","C2","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN",70,0.947349407,1.806126845,2.75e-06,0.002551256,0.002472502,133,"tags=11%, list=1%, signal=11%","CCL7/MMP9/STAB1/MAF/C5AR1/ACP5/GPNMB/RTN1"
"TNFA","C2","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",323,0.845403396,1.80270276,3.67e-06,0.002917459,0.002827401,275,"tags=9%, list=2%, signal=9%","CCL7/MMP9/CXCL14/MMP15/ADAM8/TNFSF9/SEMA6B/CXCL8/S100A12/MMP2/COLEC12/CTSK/SDC2/IL1B/ADAMTS17/C1QL4/CLEC4D/C1QTNF6/EBI3/NTF4/HBEGF/CXCL10/ADAM19/WNT4/TGM2/SEMA5A/CLEC2L/SERPINB2"
"TNFA","C7","GSE40274_CTRL_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP","GSE40274_CTRL_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",130,-0.884428926,-2.026062274,1.18e-06,0.006025778,0.005755086,425,"tags=14%, list=4%, signal=13%","PHACTR2/RGL2/ZBTB1/RIPOR2/TRIM34/PRKAR2B/MICAL1/FBXO32/TET1/TCP11L2/GRAP2/CIITA/ABCA7/MCTP2/CARMIL2/SLC14A1/IL1RL1/SELL"
"TNFA","C7","GSE11057_PBMC_VS_MEM_CD4_TCELL_UP","GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",127,0.914865888,1.800695576,2.68e-06,0.006831753,0.006524854,194,"tags=11%, list=2%, signal=11%","SMPDL3A/STAB1/RNF144B/IGSF6/PCDH9/MAFB/SCPEP1/C5AR1/SLC37A2/SLC2A6/RTN1/EPB41L3/FCGRT/SLC7A7"
"TNFA","C2","PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP","PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP",155,0.886780648,1.729513734,2.99e-05,0.020826961,0.020184061,210,"tags=7%, list=2%, signal=7%","MMP9/LAMA4/ENPP2/DCLK1/CTHRC1/TAGLN/GPNMB/NR1H3/CXCL10/ADGRF5/C3"
