"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"VEGF","C2","FOROUTAN_INTEGRATED_TGFB_EMT_UP","FOROUTAN_INTEGRATED_TGFB_EMT_UP",107,0.933719434,1.974988444,6.24e-09,3.51e-05,3.39e-05,81,"tags=7%, list=1%, signal=7%","COL6A3/GFPT2/MAF/TGM2/IGFBP5/EPHB2/MFAP2"
"VEGF","C2","FOROUTAN_TGFB_EMT_UP","FOROUTAN_TGFB_EMT_UP",167,0.896251698,1.9547854,3.72e-08,0.000104339,0.00010101,81,"tags=4%, list=1%, signal=4%","COL6A3/GFPT2/MAF/TGM2/IGFBP5/EPHB2/MFAP2"
"VEGF","C7","GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN","GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN",95,-0.933209734,-2.082658528,9.5e-08,0.000484158,0.000468237,117,"tags=11%, list=1%, signal=11%","LCK/SMC1B/LEF1/GRAP2/HAVCR2/SELPLG/LSP1/SYTL3/SEPTIN1/CD74"
"VEGF","C2","SANA_RESPONSE_TO_IFNG_UP","SANA_RESPONSE_TO_IFNG_UP",39,-0.963636255,-2.043199813,3.17e-07,0.000593555,0.00057462,66,"tags=8%, list=1%, signal=8%","PLA1A/IL18BP/CD74"
"VEGF","C6","RPS14_DN.V1_UP","RPS14_DN.V1_UP",117,0.889055595,1.923774868,2.19e-05,0.004119009,0.003966794,155,"tags=7%, list=1%, signal=7%","MAF/PYCARD/SPP1/NR4A3/ENPP2/IGSF6/IL1B/COLEC12"
"VEGF","Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",167,0.842911408,1.849346935,0.000109424,0.005471216,0.00495289,338,"tags=5%, list=3%, signal=5%","COL6A3/SPP1/TGM2/MXRA5/NID2/BASP1/GLIPR1/FOXC2/TGFBI"
"VEGF","C2","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",82,-0.921349425,-2.056960855,6.03e-06,0.008466227,0.008196143,146,"tags=7%, list=1%, signal=7%","DOK2/LCK/SELPLG/SELL/ESAM/CD74"
"VEGF","C6","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP",107,0.878777898,1.876075326,9.04e-05,0.008498976,0.008184904,204,"tags=8%, list=2%, signal=8%","GFPT2/KRT75/FGF21/ADRB2/STC2/CSPG4/ITGB6/TMEM51/TNIP3"
"VEGF","C2","WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA","WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA",38,0.957468328,2.051595949,1.25e-05,0.00970736,0.009397682,55,"tags=13%, list=0%, signal=13%","MAF/PYCARD/SPP1/CXCL16/IGSF6"
"VEGF","C2","REACTOME_NCAM1_INTERACTIONS","REACTOME_NCAM1_INTERACTIONS",28,0.966592157,2.040071764,1.36e-05,0.00970736,0.009397682,134,"tags=14%, list=1%, signal=14%","CNTN2/COL6A3/NRTN/COL2A1"
"VEGF","C2","REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH","REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH",48,0.946186095,2.003698977,1.37e-05,0.00970736,0.009397682,134,"tags=8%, list=1%, signal=8%","CNTN2/COL6A3/NRTN/COL2A1"
"VEGF","C2","SCHLESINGER_METHYLATED_DE_NOVO_IN_CANCER","SCHLESINGER_METHYLATED_DE_NOVO_IN_CANCER",59,0.930828049,1.951038102,1.39e-05,0.00970736,0.009397682,141,"tags=8%, list=1%, signal=8%","ALX3/PYCARD/FEZ1/TBX1/NPTX1"
"VEGF","C2","FOROUTAN_PRODRANK_TGFB_EMT_UP","FOROUTAN_PRODRANK_TGFB_EMT_UP",161,0.862475471,1.890269069,1.56e-05,0.00970736,0.009397682,81,"tags=4%, list=1%, signal=4%","GFPT2/MAF/TGM2/IGFBP5/EPHB2/MFAP2"
"VEGF","C2","CROONQUIST_STROMAL_STIMULATION_UP","CROONQUIST_STROMAL_STIMULATION_UP",43,0.948465931,2.01059481,2.67e-05,0.013649219,0.01321379,147,"tags=9%, list=1%, signal=9%","COL6A3/OLFM1/TGM2/BASP1"
"VEGF","C2","MOROSETTI_FACIOSCAPULOHUMERAL_MUSCULAR_DISTROPHY_UP","MOROSETTI_FACIOSCAPULOHUMERAL_MUSCULAR_DISTROPHY_UP",13,0.98634381,1.988733669,2.49e-05,0.013649219,0.01321379,2,"tags=8%, list=0%, signal=8%","COL6A3"
"VEGF","C2","CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_UP","CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_UP",19,-0.971684249,-2.031337341,3.05e-05,0.013878851,0.013436097,13,"tags=16%, list=0%, signal=16%","SPRY1/CD200/ESAM"
"VEGF","C2","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",95,0.896514945,1.925500536,3.21e-05,0.013878851,0.013436097,256,"tags=9%, list=2%, signal=9%","COL6A3/SPP1/MMP15/COL8A1/COL2A1/OPTC/ADAM8/ACAN/COL26A1"
"VEGF","C2","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16",58,0.928229087,1.947833099,3.78e-05,0.015162512,0.014678807,213,"tags=12%, list=2%, signal=12%","COL6A3/NPNT/FEZ1/IGFBP5/MFAP2/SARDH/CNN1"
"VEGF","C2","PID_INTEGRIN1_PATHWAY","PID_INTEGRIN1_PATHWAY",53,0.940903053,2.018220343,4.1e-05,0.015339455,0.014850106,143,"tags=13%, list=1%, signal=13%","COL6A3/SPP1/ITGA11/TGM2/NPNT/COL2A1/CSPG4"
"VEGF","C2","REACTOME_L1CAM_INTERACTIONS","REACTOME_L1CAM_INTERACTIONS",90,0.896078782,1.925128559,4.54e-05,0.015929059,0.015420901,69,"tags=4%, list=1%, signal=4%","CNTN2/ANK1/DNM1/EPHB2"
"VEGF","C2","ONDER_CDH1_SIGNALING_VIA_CTNNB1","ONDER_CDH1_SIGNALING_VIA_CTNNB1",69,0.91613417,1.931823482,5.57e-05,0.016473943,0.015948402,81,"tags=9%, list=1%, signal=9%","COL6A3/TSPAN13/ADRB2/STC2/EPHB2/MFAP2"
"VEGF","C2","IVANOVA_HEMATOPOIESIS_STEM_CELL_AND_PROGENITOR","IVANOVA_HEMATOPOIESIS_STEM_CELL_AND_PROGENITOR",442,-0.723703746,-1.79770333,5.35e-05,0.016473943,0.015948402,185,"tags=3%, list=2%, signal=3%","PEX1/RMND1/SLA2/RAB37/CBFA2T3/KIT/AKAP6/CARMIL2/MEIS1/DNMT3B/SPOCK2/PDCD4/SEPTIN1/ESAM/MFNG"
"VEGF","C2","NABA_MATRISOME","NABA_MATRISOME",512,0.714721276,1.712353078,5.17e-05,0.016473943,0.015948402,256,"tags=6%, list=2%, signal=7%","COL6A3/FGF21/SPP1/TGM2/NPNT/MMP15/TGFA/ST14/C1QTNF6/MXRA5/IGFBP5/SEMA6B/IL1B/SEMA5A/COL8A1/MFAP2/CCL7/NRTN/HTRA3/COL2A1/CSPG4/NID2/OPTC/COLEC12/IGF2/ADAM8/LOXL4/EGLN3/CCN5/ACAN/CLEC2L/WNT3/COL26A1"
"VEGF","C2","MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN","MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN",179,0.832853686,1.82176688,6.37e-05,0.017879509,0.017309129,191,"tags=6%, list=2%, signal=6%","GFPT2/SLC8A1/ITGA11/ENPP2/STC2/SEMA5A/EIF5A2/COL8A1/FIBCD1/NID2/SPEG"
"VEGF","C2","LEE_DIFFERENTIATING_T_LYMPHOCYTE","LEE_DIFFERENTIATING_T_LYMPHOCYTE",126,-0.855391357,-1.935282537,6.78e-05,0.018133377,0.017554898,347,"tags=16%, list=3%, signal=16%","USF3/MYCBP2/FKBP5/KMT2E/KDM5A/TBC1D10C/FNBP1/ZC3H7B/LCK/LEF1/MAP4K1/TMC8/SEMA4D/PDE7A/CXCR4/TMC6/SELPLG/ICAM2/CD96/SELL"
"VEGF","C6","MEL18_DN.V1_UP","MEL18_DN.V1_UP",111,0.866909324,1.86745603,0.000388742,0.018270876,0.017595693,365,"tags=11%, list=3%, signal=11%","GFPT2/FGF21/SPP1/MMP15/STC2/CSPG4/TMEM51/SUN2/EDN1/LPL/AGRN/F3"
"VEGF","C6","CRX_DN.V1_DN","CRX_DN.V1_DN",92,0.878138067,1.864202831,0.000336848,0.018270876,0.017595693,58,"tags=4%, list=0%, signal=4%","SMPDL3A/TGM2/TNFRSF13B/C1QTNF6"
"VEGF","C2","TSAI_RESPONSE_TO_RADIATION_THERAPY","TSAI_RESPONSE_TO_RADIATION_THERAPY",23,0.96475244,1.992607678,7.33e-05,0.01869971,0.018103164,63,"tags=9%, list=1%, signal=9%","COL6A3/IGFBP5"
"VEGF","C2","FERRANDO_LYL1_NEIGHBORS","FERRANDO_LYL1_NEIGHBORS",13,-0.98122652,-2.002579285,8.59e-05,0.02097932,0.020310052,22,"tags=31%, list=0%, signal=31%","HHEX/LSP1/SELL/CD34"
"VEGF","C2","WESTON_VEGFA_TARGETS_12HR","WESTON_VEGFA_TARGETS_12HR",17,0.975442424,1.983826871,9.85e-05,0.022129177,0.021423227,2,"tags=6%, list=0%, signal=6%","COL6A3"
