"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","fdrtool_qvalue","BH_qvalue"
"ENSCAFG00000039933",NA,-0.795874838439629,5.60101202074733e-06,1,0.14907093493219
"ENSCAFG00000003641",NA,-0.717653685897954,0.00011572314590934,1,1
"ENSCAFG00000045419",NA,-0.69325108981397,0.0002449018171443,1,1
"ENSCAFG00000047121",NA,-0.678255227492182,0.00037507521876943,1,1
"ENSCAFG00000045277",NA,-0.659537599892845,0.0006180961854197,1,1
"ENSCAFG00000031891",NA,0.66897233201581,0.00066150096441873,1,1
"ENSCAFG00000042897","OR56A4",-0.632052426439647,0.00121433263196436,1,1
"ENSCAFG00000049028",NA,0.63186116609303,0.00121978113888366,1,1
"ENSCAFG00000013736","SPATA5L1",0.642292490118577,0.00123689873253963,1,1
"ENSCAFG00000015170","ZNF81",-0.641304347826087,0.0012644678900893,1,1
"ENSCAFG00000044118",NA,-0.629573603356992,0.00128658351642414,1,1
"ENSCAFG00000046331",NA,-0.627391372496136,0.00135319546533284,1,1
"ENSCAFG00000029941","UBE2G1",-0.635375494071146,0.00144101940939425,1,1
"ENSCAFG00000003487","SLC66A3",-0.633399209486166,0.00150430811006242,1,1
"ENSCAFG00000050030",NA,0.622060176597525,0.00152841726840194,1,1
"ENSCAFG00000018759","ZNF280C",-0.632411067193676,0.00153682237276012,1,1
"ENSCAFG00000001991",NA,0.632411067193676,0.00153682237276013,1,1
"ENSCAFG00000029815","COMMD6",-0.629446640316205,0.00163794892985319,1,1
"ENSCAFG00000042372",NA,-0.616585499575764,0.00172810784825215,1,1
"ENSCAFG00000045164",NA,-0.612085015907022,0.00190848420122858,1,1
"ENSCAFG00000002813","HAS1",0.608746332155598,0.00205240953452838,1,1
"ENSCAFG00000018348","CCL7",0.618577075098814,0.00205824021990803,1,1
"ENSCAFG00000007401",NA,0.605269978209243,0.00221195318479079,1,1
"ENSCAFG00000020277","LHX6",-0.614624505928854,0.00223208096091778,1,1
"ENSCAFG00000032667","CACNG8",0.603132840346355,0.00231515813424912,1,1
"ENSCAFG00000018277",NA,0.608695652173913,0.00251599309035111,1,1
"ENSCAFG00000014604","NUDT13",-0.607707509881423,0.00256615132919452,1,1
"ENSCAFG00000013332","ATF2",-0.605731225296443,0.00266900214479262,1,1
"ENSCAFG00000016300","PTGER1",-0.603754940711463,0.00277530853815374,1,1
"ENSCAFG00000017721",NA,-0.59385041864445,0.00281207256525196,1,1
"ENSCAFG00000007190","CLVS1",0.602766798418972,0.0028297866763324,1,1
"ENSCAFG00000002865","NFE2L3",-0.601778656126482,0.00288516385817247,1,1
"ENSCAFG00000043060",NA,-0.590317392429537,0.00302351001271103,1,1
"ENSCAFG00000005949",NA,-0.598814229249012,0.00305680981094779,1,1
"ENSCAFG00000014799",NA,0.597826086956522,0.00311590389587623,1,1
"ENSCAFG00000035350",NA,-0.587843445211522,0.00317941987162478,1,1
"ENSCAFG00000015692","KAT2A",0.595849802371542,0.00323698458752963,1,1
"ENSCAFG00000000885","DEPTOR",0.593873517786561,0.00336200618914332,1,1
"ENSCAFG00000022616",NA,-0.584622285568397,0.00339253023482232,1,1
"ENSCAFG00000042623","GTF2A1L",-0.58422582333773,0.00341957239127659,1,1
"ENSCAFG00000004840","INHBB",-0.583642221919449,0.00345970916668915,1,1
"ENSCAFG00000049886",NA,0.582058109761791,0.00357065995870092,1,1
"ENSCAFG00000041341",NA,-0.580940626934788,0.00365071637850285,1,1
"ENSCAFG00000031179",NA,0.580845488699787,0.0036576012590181,1,1
"ENSCAFG00000029260","H2AC10",0.587944664031621,0.00376175342373973,1,1
"ENSCAFG00000013058","DUSP12",0.58695652173913,0.00383211708715202,1,1
"ENSCAFG00000007780","HTR1F",-0.58596837944664,0.00390358534306016,1,1
"ENSCAFG00000038813",NA,-0.575810427506384,0.00403789533258703,1,1
"ENSCAFG00000047482",NA,-0.575651099600596,0.00405045121430572,1,1
"ENSCAFG00000023153","CCDC152",0.575038910439336,0.00409900037889707,1,1
"ENSCAFG00000037122",NA,-0.569733216386981,0.00454060475779284,1,1
"ENSCAFG00000014716","PSME3",0.576086956521739,0.00468213604350978,1,1
"ENSCAFG00000033339",NA,-0.567845351503601,0.00470705323262165,1,1
"ENSCAFG00000007203","GGH",0.575098814229249,0.00476669850567494,1,1
"ENSCAFG00000034809",NA,-0.575098814229249,0.00476669850567494,1,1
"ENSCAFG00000046826",NA,0.575098814229249,0.00476669850567494,1,1
"ENSCAFG00000000318","PLAGL1",-0.574110671936759,0.00485254043722236,1,1
"ENSCAFG00000043926",NA,-0.565184715971494,0.00495028699325634,1,1
"ENSCAFG00000009313","PHF21A",-0.572134387351779,0.00502812445395906,1,1
"ENSCAFG00000045177",NA,-0.56379849538295,0.00508112483210424,1,1
"ENSCAFG00000014972","NAGLU",0.571146245059289,0.00511789773672329,1,1
"ENSCAFG00000023542",NA,-0.563181668466216,0.00514026655447599,1,1
"ENSCAFG00000047167",NA,-0.561433381315413,0.00531102926488116,1,1
"ENSCAFG00000032158",NA,0.561095332466411,0.00534458874991364,1,1
"ENSCAFG00000014888","DDI1",-0.560699122987593,0.00538414740527252,1,1
"ENSCAFG00000042849",NA,-0.559785725475,0.00547627623625478,1,1
"ENSCAFG00000016792","DCAF4",-0.567193675889328,0.00549056943107219,1,1
"ENSCAFG00000033984",NA,-0.557805688521716,0.00568051717076958,1,1
"ENSCAFG00000014293",NA,0.55773272159184,0.00568816349106601,1,1
"ENSCAFG00000016711","SIMC1",-0.564229249011858,0.00578478397405196,1,1
"ENSCAFG00000019819","SPATA2L",0.564229249011858,0.00578478397405196,1,1
"ENSCAFG00000043444",NA,-0.556213530003693,0.00584932375234399,1,1
"ENSCAFG00000032395","SCAMP1",0.563241106719368,0.00588574546583235,1,1
"ENSCAFG00000018777","ENOX2",-0.560276679841897,0.0061975357986353,1,1
"ENSCAFG00000046886",NA,0.552177075875259,0.00629612209016215,1,1
"ENSCAFG00000047332",NA,-0.551836229498055,0.00633511713279955,1,1
"ENSCAFG00000045005",NA,-0.551727937019792,0.00634754851164265,1,1
"ENSCAFG00000014147","RPL10L",0.55157370994236,0.00636528798530705,1,1
"ENSCAFG00000044362",NA,-0.558300395256917,0.00641298909700112,1,1
"ENSCAFG00000044526",NA,0.558300395256917,0.00641298909700112,1,1
"ENSCAFG00000032734","KCNK13",-0.550769395700725,0.00645847196568255,1,1
"ENSCAFG00000013178","OLA1",-0.557312252964427,0.00652304583326937,1,1
"ENSCAFG00000045143",NA,-0.548961692872873,0.00667205337358633,1,1
"ENSCAFG00000029040","TMEM72",-0.54843904677168,0.00673488780027243,1,1
"ENSCAFG00000047397",NA,-0.547148026659349,0.0068922109692442,1,1
"ENSCAFG00000049021",NA,-0.546751542012383,0.00694113504623488,1,1
"ENSCAFG00000000352","XPOT",0.552371541501976,0.0070973407612223,1,1
"ENSCAFG00000014364","GRPEL1",0.552371541501976,0.0070973407612223,1,1
"ENSCAFG00000002097","OPN5",-0.543759742401551,0.00731969428544658,1,1
"ENSCAFG00000015689","OTUD5",-0.550395256916996,0.00733860182113657,1,1
"ENSCAFG00000043048",NA,0.550395256916996,0.00733860182113657,1,1
"ENSCAFG00000023429",NA,0.543255150272424,0.00738519948465127,1,1
"ENSCAFG00000049081",NA,0.54275675105199,0.00745037762513123,1,1
"ENSCAFG00000046130",NA,-0.549407114624506,0.00746177949000613,1,1
"ENSCAFG00000031355",NA,0.541193253492319,0.00765794916340761,1,1
"ENSCAFG00000030375",NA,0.540863471317618,0.00770233818264878,1,1
"ENSCAFG00000000096","CPLX4",0.540102138061891,0.0078056297559531,1,1
"ENSCAFG00000032580","STUM",-0.540059611366826,0.0078114331304664,1,1
"ENSCAFG00000001120","L3MBTL2",0.546442687747036,0.00784172642158744,1,1
"ENSCAFG00000019957","KCNG4",-0.538484702604578,0.00802888485285898,1,1
"ENSCAFG00000009628","GOLT1A",-0.53827115806809,0.00805875183381828,1,1
"ENSCAFG00000047633",NA,0.538081371032149,0.00808537321025345,1,1
"ENSCAFG00000023822","FCRL5",-0.537984290263798,0.00809901883875552,1,1
