Condition,VEGF from Macs
J1,54.19390253
M1,49.83719781
N1,109.0414019
O2-1,76.91210763
O8-1,78.67316244
P1,47.68476734
S1,123.5945402
J1x,268.7229365
M1x,151.6670368
N1x,168.4621522
O2-1x,232.1787045
O8-1x,149.6741848
P1x,193.9028531
S1x,309.2764953
J1o,715.7118863
M1o,826.3661872
N1o,786.1006462
O2-1o,705.8903097
O8-1o,1446.536776
P1o,781.5501243
S1o,1020.855785
J2,128.0901019
M2,71.09661839
N2,283.6162878
O2-2,210.753584
O8-2,326.10064
P2,99.12516953
S2,312.3227859
J2x,256.1851066
M2x,212.1696414
N2x,252.5192645
O2-2x,152.3324179
O8-2x,168.4621522
P2x,134.5638016
S2x,340.7650239
J2o,701.4347295
M2o,562.736211
N2o,493.6286596
O2-2o,882.8303601
O82-o,1282.954119
P2o,1216.071781
S2o,1310.108418
J3,361.8116509
M3,278.3863215
N3,336.120923
O2-3,722.871425
O8-3,883.7620791
P3,421.489871
S3,641.3944948
J3x,499.4592159
M3x,594.477161
N3x,535.5603246
O2-3x,471.2640577
O8-3x,539.7893778
P3x,522.9118873
S3x,445.8358181
J3o,1882.182783
M3o,1657.195575
N3o,1320.19455
O2-3o,2268.599089
O9-3o,2187.656742
P3o,2412.862539
S3o,2354.704069
