Cytokine_1,Cytokine_2,rho,p-value,Adj. p-value
CCL2,TGF-beta,0.105,0.619,0.81
CCL2,TNF-alpha,-0.165,0.432,0.648
IL-10,CCL2,-0.193,0.355,0.621
IL-10,TGF-beta,-0.085,0.688,0.81
IL-10,TNF-alpha,0.965,<0.001,<0.001
IL-8,CCL2,-0.128,0.541,0.757
IL-8,IL-10,0.412,0.041,0.213
IL-8,KC-like,0.656,<0.001,0.004
IL-8,TGF-beta,-0.065,0.756,0.81
IL-8,TNF-alpha,0.363,0.074,0.223
KC-like,CCL2,-0.325,0.112,0.262
KC-like,IL-10,0.374,0.066,0.223
KC-like,TGF-beta,-0.17,0.417,0.648
KC-like,TNF-alpha,0.381,0.06,0.223
TNF-alpha,TGF-beta,0.051,0.81,0.81
VEGF,CCL2,0.232,0.265,0.557
VEGF,IL-10,-0.055,0.795,0.81
VEGF,IL-8,-0.209,0.315,0.602
VEGF,KC-like,-0.35,0.086,0.227
VEGF,TGF-beta,0.457,0.022,0.152
VEGF,TNF-alpha,0.075,0.723,0.81
