Cell Line,Comparison,Estimate,SE,95% CI,df,t,p-value,Sig
Jones,Whole TCM - Exosome Depleted,-160.1,251.3,"[-1056, 736]",4,-0.637,0.809,ns
Jones,Whole TCM - Exosome Only,-918.4,251.3,"[-1814, -23]",4,-3.655,0.046,*
Jones,Exosome Depleted - Exosome Only,-758.3,251.3,"[-1654, 137]",4,-3.018,0.082,ns
MacKinley,Whole TCM - Exosome Depleted,-186.3,195.9,"[-884, 512]",4,-0.951,0.641,ns
MacKinley,Whole TCM - Exosome Only,-882.3,195.9,"[-1580, -184]",4,-4.505,0.023,*
MacKinley,Exosome Depleted - Exosome Only,-696,195.9,"[-1394, 2]",4,-3.553,0.05,ns
Nike,Whole TCM - Exosome Depleted,-75.9,164.3,"[-661, 510]",4,-0.462,0.892,ns
Nike,Whole TCM - Exosome Only,-623.7,164.3,"[-1209, -38]",4,-3.796,0.041,*
Nike,Exosome Depleted - Exosome Only,-547.8,164.3,"[-1133, 38]",4,-3.334,0.061,ns
OS2.4,Whole TCM - Exosome Depleted,51.6,424.8,"[-1331, 1434]",5,0.121,0.992,ns
OS2.4,Whole TCM - Exosome Only,-948.9,424.8,"[-2331, 433]",5,-2.234,0.158,ns
OS2.4,Exosome Depleted - Exosome Only,-1000.5,424.8,"[-2383, 382]",5,-2.355,0.137,ns
OSA8,Whole TCM - Exosome Depleted,143.5,135.6,"[-340, 627]",4,1.058,0.585,ns
OSA8,Whole TCM - Exosome Only,-1209.5,135.6,"[-1693, -726]",4,-8.917,0.002,**
OSA8,Exosome Depleted - Exosome Only,-1353.1,135.6,"[-1837, -870]",4,-9.975,0.001,**
Parks,Whole TCM - Exosome Depleted,-94.4,307.5,"[-1190, 1001]",4,-0.307,0.95,ns
Parks,Whole TCM - Exosome Only,-1280.7,307.5,"[-2377, -185]",4,-4.165,0.03,*
Parks,Exosome Depleted - Exosome Only,-1186.4,307.5,"[-2282, -91]",4,-3.859,0.039,*
STS-1,Whole TCM - Exosome Depleted,-6.2,265,"[-950, 938]",4,-0.023,1,ns
STS-1,Whole TCM - Exosome Only,-1202.8,265,"[-2147, -258]",4,-4.54,0.023,*
STS-1,Exosome Depleted - Exosome Only,-1196.6,265,"[-2141, -252]",4,-4.516,0.023,*
