CellLine,Cluster_IL.10,Cluster_TNF.α,Cluster_TGF.β,Cluster_VEGF,Cluster_IL.8,Cluster_CCL2,Cluster_KC.like
D17,Low,Low,Low,Low,High,Low,High
1771,Low,Low,Low,Low,Low,Low,NA
17CM98,NA,Low,Low,Low,High,Low,High
Abrams,NA,NA,NA,Low,High,NA,High
Bliley,Low,Low,Low,Low,NA,High,Low
CLL1390,Low,Low,Low,Low,NA,NA,Low
CML-10C2,NA,Low,NA,Low,NA,NA,Low
CML.6M,NA,NA,High,NA,High,NA,NA
CMT12,NA,High,NA,NA,High,NA,NA
CMT27,NA,NA,NA,NA,NA,High,NA
CTAC,Low,Low,NA,NA,NA,NA,Low
Den,Low,Low,NA,NA,NA,High,NA
Gracie,Low,Low,NA,NA,NA,Low,NA
HMPOS,Low,Low,High,NA,NA,High,Low
Jones,Low,Low,High,High,NA,NA,NA
MacKinley,Low,Low,NA,High,NA,Low,Low
Nike,High,High,NA,High,High,Low,NA
Moresco,Low,Low,NA,High,Low,High,Low
OS2.4,Low,Low,NA,High,Low,High,Low
OSA8,High,High,NA,High,Low,NA,NA
Parks,Low,Low,Low,NA,High,High,NA
STSA.1,Low,NA,NA,High,Low,NA,Low
Vogel,Low,Low,NA,NA,Low,Low,Low
Yamane,Low,Low,Low,NA,Low,Low,Low
