Cell Line,Dog 1,Dog 2,Dog 3,Average
Jones,168.13%,163.59%,286.37%,206.03%
CML-6m,199.87%,141.21%,206.08%,182.39%
HMPOS,174.16%,139.99%,185.62%,166.59%
OS2.4,149.08%,120.80%,100.00%,123.29%
CML-10C2,116.74%,130.31%,122.49%,123.18%
CMT12,101.10%,94.39%,145.43%,113.64%
DH82,83.71%,127.92%,129.00%,113.54%
OSA8,85.85%,107.98%,142.13%,111.99%
Gracie,107.76%,102.27%,120.87%,110.30%
STSA-1,100.00%,75.87%,153.71%,109.86%
Abrams,201.11%,97.75%,26.34%,108.40%
Nike,104.42%,107.98%,104.78%,105.73%
Denver,133.90%,100.00%,73.40%,102.43%
CMT27,95.61%,96.62%,111.19%,101.14%
Moresco,67.93%,138.77%,93.67%,100.12%
Vogel,109.99%,50.45%,124.12%,94.85%
CTAC,93.43%,110.29%,79.58%,94.43%
MacKinley,129.29%,137.56%,15.57%,94.14%
Bliley,78.39%,100.00%,70.33%,82.91%
Parks,94.52%,67.48%,78.03%,80.01%
D17,71.04%,95.50%,36.19%,67.58%
CLL1390,71.04%,76.93%,49.26%,65.75%
1771,88.01%,75.87%,31.93%,65.27%
Yamane,97.80%,27.70%,65.75%,63.75%
17CM98,39.15%,83.38%,19.54%,47.36%
