"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","fdrtool_qvalue","BH_qvalue"
"ENSCAFG00000000447","IER3",0.744071146245059,7.30218107749694e-05,1,0.998928586513479
"ENSCAFG00000049135",NA,-0.720339557914173,0.000106064251158989,1,0.998928586513479
"ENSCAFG00000002038",NA,0.706883015307896,0.000162580072728798,1,0.998928586513479
"ENSCAFG00000017147","ANGEL1",0.673585392443869,0.000426239372422029,1,0.998928586513479
"ENSCAFG00000016041","PAX3",0.656408232484538,0.000669734194217853,1,0.998928586513479
"ENSCAFG00000049614",NA,0.655876160162168,0.00067887282222927,1,0.998928586513479
"ENSCAFG00000009159","TRIO",0.653162055335968,0.000965590709685867,1,0.998928586513479
"ENSCAFG00000016092","RADIL",0.653162055335968,0.000965590709685867,1,0.998928586513479
"ENSCAFG00000017894","YY1",-0.653162055335968,0.000965590709685871,1,0.998928586513479
"ENSCAFG00000008384","SLC38A7",0.652173913043478,0.000987968599697478,1,0.998928586513479
"ENSCAFG00000032202","C15H4orf46",-0.652173913043478,0.000987968599697478,1,0.998928586513479
"ENSCAFG00000005699","DNAJC18",0.649209486166008,0.00105774600931739,1,0.998928586513479
"ENSCAFG00000016737","PRCC",-0.645256916996047,0.00115721560935694,1,0.998928586513479
"ENSCAFG00000023977",NA,0.633327298383034,0.00117854314319921,1,0.998928586513479
"ENSCAFG00000000751","TNXB",-0.637351778656126,0.00137999391571809,1,0.998928586513479
"ENSCAFG00000042302",NA,0.624636030822149,0.00144148488320918,1,0.998928586513479
"ENSCAFG00000041482",NA,0.623826077203865,0.00146835365968505,1,0.998928586513479
"ENSCAFG00000011287","STS",-0.623145705423261,0.0014912524837258,1,0.998928586513479
"ENSCAFG00000017368","POU3F4",0.621698890965815,0.00154096011988504,1,0.998928586513479
"ENSCAFG00000009616","SETD4",0.620860184602262,0.00157041610989733,1,0.998928586513479
"ENSCAFG00000005177","HYI",-0.617247362554946,0.00170284558168338,1,0.998928586513479
"ENSCAFG00000044982",NA,0.616761274997115,0.00172136789674622,1,0.998928586513479
"ENSCAFG00000001302",NA,0.616411345699857,0.00173480774277305,1,0.998928586513479
"ENSCAFG00000016361","PRDM2",0.623517786561265,0.00185713641106422,1,0.998928586513479
"ENSCAFG00000005773","CACNB4",0.608007983328648,0.00208545233972334,1,0.998928586513479
"ENSCAFG00000020872",NA,0.60093538598116,0.00242550021493642,1,0.998928586513479
"ENSCAFG00000010521","LGR6",-0.608695652173913,0.00251599309035111,1,0.998928586513479
"ENSCAFG00000015640","MAPK6",0.608695652173913,0.00251599309035111,1,0.998928586513479
"ENSCAFG00000023748","GCNA",0.59742858107246,0.00261080130242891,1,0.998928586513479
"ENSCAFG00000003384","STK40",-0.595502859790801,0.00271755226753732,1,0.998928586513479
"ENSCAFG00000003583","ZMYM4",-0.604743083003953,0.00272171760287646,1,0.998928586513479
"ENSCAFG00000014506","FUNDC1",-0.594661466621434,0.00276533910458859,1,0.998928586513479
"ENSCAFG00000005393","MAP3K10",0.603754940711463,0.00277530853815374,1,0.998928586513479
"ENSCAFG00000045374",NA,-0.590686456278948,0.00300081391544606,1,0.998928586513479
"ENSCAFG00000022269",NA,0.587537379399075,0.00319917112367227,1,0.998928586513479
"ENSCAFG00000004105","KBTBD12",-0.586258104250225,0.00328284966726226,1,0.998928586513479
"ENSCAFG00000016253","DNAJC16",0.594861660079051,0.00329899639889545,1,0.998928586513479
"ENSCAFG00000049625",NA,0.58409886182559,0.00342827054135054,1,0.998928586513479
"ENSCAFG00000017670","UBFD1",-0.583642221919449,0.00345970916668915,1,0.998928586513479
"ENSCAFG00000013320","APOA1",0.582477654659915,0.00354098770731939,1,0.998928586513479
"ENSCAFG00000012212","RAB4A",-0.589920948616601,0.00362428497522644,1,0.998928586513479
"ENSCAFG00000012521","TLK1",-0.589920948616601,0.00362428497522644,1,0.998928586513479
"ENSCAFG00000031099","STUB1",-0.588932806324111,0.00369248059713795,1,0.998928586513479
"ENSCAFG00000023699","ANGPTL5",-0.579610905755463,0.00374793956533719,1,0.998928586513479
"ENSCAFG00000000792",NA,-0.578456506206304,0.00383410056688133,1,0.998928586513479
"ENSCAFG00000001018","CCDC134",0.577707582951161,0.00389088353022238,1,0.998928586513479
"ENSCAFG00000015895","NECAP2",0.58498023715415,0.0039761720712005,1,0.998928586513479
"ENSCAFG00000017030","RANGRF",0.58498023715415,0.0039761720712005,1,0.998928586513479
"ENSCAFG00000016286","DNAJB1",-0.58201581027668,0.00420078375717938,1,0.998928586513479
"ENSCAFG00000019794","SARDH",-0.573758357026655,0.00420213481597373,1,0.998928586513479
"ENSCAFG00000018466","ADAP2",0.573689697056335,0.00420772556115063,1,0.998928586513479
"ENSCAFG00000012151","NUP133",-0.5800395256917,0.00435637732967751,1,0.998928586513479
"ENSCAFG00000012445","PROX1",0.571502346541713,0.00438912969424814,1,0.998928586513479
"ENSCAFG00000010570",NA,-0.570934325808609,0.004437295400298,1,0.998928586513479
"ENSCAFG00000015813","PADI2",-0.570934325808609,0.004437295400298,1,0.998928586513479
"ENSCAFG00000011786","SPRTN",-0.577075098814229,0.00459883777617327,1,0.998928586513479
"ENSCAFG00000047566",NA,-0.568915348657612,0.00461209820823104,1,0.998928586513479
"ENSCAFG00000029266","TEN1",0.567968433207006,0.00469604792174509,1,0.998928586513479
"ENSCAFG00000022470",NA,0.56761449479912,0.00472775346250522,1,0.998928586513479
"ENSCAFG00000011203","CYP2U1",-0.565496856039003,0.00492121797472819,1,0.998928586513479
"ENSCAFG00000024087","CGAS",0.563711872726463,0.00508939575370939,1,0.998928586513479
"ENSCAFG00000009738","SEMA4G",0.563519594304601,0.00510779515802956,1,0.998928586513479
"ENSCAFG00000029972","TRIM62",0.570158102766798,0.00520901288479325,1,0.998928586513479
"ENSCAFG00000000359","GNS",0.562391912399943,0.00521682800923272,1,0.998928586513479
"ENSCAFG00000028262",NA,0.561965702047642,0.00525854063802031,1,0.998928586513479
"ENSCAFG00000025916",NA,0.561108980394576,0.0053432304410486,1,0.998928586513479
"ENSCAFG00000010736","KCNJ2",0.560799638566493,0.00537408857088152,1,0.998928586513479
"ENSCAFG00000015174","SLC66A1",0.560415139421384,0.00541265134292635,1,0.998928586513479
"ENSCAFG00000044171",NA,0.55983251772232,0.00547152480888292,1,0.998928586513479
"ENSCAFG00000014399","RABGAP1L",-0.567193675889328,0.00549056943107219,1,0.998928586513479
"ENSCAFG00000018073","PSTPIP1",-0.567193675889328,0.00549056943107219,1,0.998928586513479
"ENSCAFG00000009588","CHUK",0.565217391304348,0.00568527859437405,1,0.998928586513479
"ENSCAFG00000004263","LRRC41",-0.564229249011858,0.00578478397405196,1,0.998928586513479
"ENSCAFG00000016620","SYNJ2BP",-0.556104862800593,0.00586099592980487,1,0.998928586513479
"ENSCAFG00000044008",NA,0.563241106719368,0.00588574546583235,1,0.998928586513479
"ENSCAFG00000045567",NA,-0.554985790874117,0.00598233201803287,1,0.998928586513479
"ENSCAFG00000001046","DESI1",0.562252964426877,0.00598817992135356,1,0.998928586513479
"ENSCAFG00000016625","ZNF689",-0.554484820485708,0.0060373246129215,1,0.998928586513479
"ENSCAFG00000039837",NA,0.552154962939624,0.00629864587561646,1,0.998928586513479
"ENSCAFG00000003980","MAP3K8",0.549814737122493,0.00657054500126869,1,0.998928586513479
"ENSCAFG00000041318","RAB40C",-0.556324110671937,0.00663467945959352,1,0.998928586513479
"ENSCAFG00000003190","WDR91",0.548060308305393,0.00678072797937701,1,0.998928586513479
"ENSCAFG00000026603",NA,0.546895153612696,0.00692338091596611,1,0.998928586513479
"ENSCAFG00000008300","ZNF395",-0.553359683794466,0.00697922028745881,1,0.998928586513479
"ENSCAFG00000011970","PARP14",0.545095148837555,0.00714865793546467,1,0.998928586513479
"ENSCAFG00000023429",NA,0.544793661754008,0.00718697876971932,1,0.998928586513479
"ENSCAFG00000026287",NA,0.544735607827781,0.00719437732717105,1,0.998928586513479
"ENSCAFG00000016472","MFN2",0.551383399209486,0.00721712844809954,1,0.998928586513479
"ENSCAFG00000002667",NA,0.544555523097847,0.00721736809039445,1,0.998928586513479
"ENSCAFG00000019297",NA,0.544520398383832,0.00722185943758569,1,0.998928586513479
"ENSCAFG00000025892",NA,0.543700285173807,0.00732738775113746,1,0.998928586513479
"ENSCAFG00000009246","ZFYVE27",0.550395256916996,0.00733860182113657,1,0.998928586513479
"ENSCAFG00000018875","HOOK1",0.550395256916996,0.00733860182113657,1,0.998928586513479
"ENSCAFG00000042583",NA,-0.543487883902545,0.00735492624911724,1,0.998928586513479
"ENSCAFG00000008933","NLRC5",0.542129989369717,0.00753301925116381,1,0.998928586513479
"ENSCAFG00000041160",NA,-0.54209919202646,0.00753709955521352,1,0.998928586513479
"ENSCAFG00000044238",NA,-0.541733997381444,0.00758562370955819,1,0.998928586513479
"ENSCAFG00000015416","ANO8",0.548418972332016,0.00758668020119448,1,0.998928586513479
"ENSCAFG00000003665","SLC17A7",0.541444606792959,0.00762425940547525,1,0.998928586513479
"ENSCAFG00000010877","ABCA5",0.547430830039526,0.0077133228381776,1,0.998928586513479
"ENSCAFG00000015354","C27H12orf4",0.547430830039526,0.0077133228381776,1,0.998928586513479
"ENSCAFG00000021134",NA,0.540006958821491,0.00781862327692312,1,0.998928586513479
"ENSCAFG00000014535","GPC2",0.538694717630688,0.00799960101982379,1,0.998928586513479
"ENSCAFG00000000982","NDUFA6",0.543478260869565,0.00823769511723212,1,0.998928586513479
"ENSCAFG00000010718",NA,0.543478260869565,0.00823769511723212,1,0.998928586513479
"ENSCAFG00000019224","VASN",-0.543478260869565,0.00823769511723213,1,0.998928586513479
"ENSCAFG00000045939",NA,-0.535154015752291,0.00850530751700345,1,0.998928586513479
"ENSCAFG00000017016","H1-9",-0.535126327599658,0.00850936391893161,1,0.998928586513479
"ENSCAFG00000006431","LARS1",0.541501976284585,0.0085108338768052,1,0.998928586513479
"ENSCAFG00000032538","REEP3",-0.541501976284585,0.00851083387680521,1,0.998928586513479
"ENSCAFG00000043715","SNX27",0.534717090700122,0.00856950532191541,1,0.998928586513479
"ENSCAFG00000042974",NA,0.534683982204262,0.0085743862769667,1,0.998928586513479
"ENSCAFG00000031663",NA,0.533043403970682,0.00881914210665236,1,0.998928586513479
"ENSCAFG00000035292",NA,0.532223936548365,0.0089435434219233,1,0.998928586513479
"ENSCAFG00000010275",NA,0.531389091120567,0.00907176691863245,1,0.998928586513479
"ENSCAFG00000029982","RASSF3",0.537549407114625,0.00907980774014422,1,0.998928586513479
"ENSCAFG00000040252",NA,-0.530804977236723,0.00916238065611358,1,0.998928586513479
"ENSCAFG00000023107","OAS2",0.530763544743004,0.00916883637899338,1,0.998928586513479
"ENSCAFG00000028940",NA,0.530437902417324,0.00921970661542448,1,0.998928586513479
"ENSCAFG00000029016","CACYBP",-0.536561264822134,0.00922689719452666,1,0.998928586513479
"ENSCAFG00000004266",NA,0.529775158253725,0.00932395727824157,1,0.998928586513479
"ENSCAFG00000017422","IQCH",-0.529636264786249,0.00934592831181989,1,0.998928586513479
"ENSCAFG00000003760",NA,-0.535573122529644,0.00937596591147103,1,0.998928586513479
