VEGF,,,,
GeneID,GeneName,Spearman_Correlation_Coefficient,P_value,qvalue
ENSCAFG00000004145,MLLT10,-0.765810277,3.18E-05,1
ENSCAFG00000039724,NA,-0.693133744,0.000245744,1
ENSCAFG00000003738,SOBP,-0.692858929,0.000247725,1
ENSCAFG00000022742,MT-CYB,-0.70256917,0.00027212,1
ENSCAFG00000028127,NA,-0.685774691,0.00030382,1
ENSCAFG00000009292,NIT2,-0.683963451,0.000319813,1
ENSCAFG00000011046,BCL9,-0.695652174,0.00033024,1
ENSCAFG00000031283,ZNF134,-0.692687747,0.000358149,1
ENSCAFG00000022734,ND4L,-0.683794466,0.000454022,1
ENSCAFG00000034360,NA,0.667809119,0.000497768,1
ENSCAFG00000003994,NUDT6,-0.663701528,0.000554722,1
ENSCAFG00000022713,MT-ND1,-0.675889328,0.000556503,1
ENSCAFG00000022729,MT-ATP6,-0.673913043,0.000584958,1
ENSCAFG00000016132,NA,-0.668972332,0.000661501,1
ENSCAFG00000022717,MT-ND2,-0.66798419,0.000677779,1
ENSCAFG00000043662,NA,0.655732745,0.000681354,1
ENSCAFG00000026374,NA,-0.646991613,0.000848092,1
ENSCAFG00000013085,HMGCL,-0.658102767,0.000860004,1
ENSCAFG00000025744,NA,-0.643395492,0.000926216,1
ENSCAFG00000000442,MDC1,-0.653162055,0.000965591,1
ENSCAFG00000032629,NA,-0.641285714,0.000974858,1
ENSCAFG00000026225,NA,-0.636183963,0.001101606,1
ENSCAFG00000021357,NA,-0.635532513,0.001118762,1
ENSCAFG00000010568,NEPRO,-0.635038319,0.001131929,1
ENSCAFG00000002500,SLC2A1,0.643280632,0.001209839,1
ENSCAFG00000000423,RMND1,-0.64229249,0.001236899,1
ENSCAFG00000012197,CCDC14,-0.641304348,0.001264468,1
ENSCAFG00000048927,NA,-0.629161891,0.001298932,1
ENSCAFG00000003381,IAH1,-0.636363636,0.001410228,1
ENSCAFG00000027041,NA,-0.624922967,0.001432067,1
ENSCAFG00000022732,MT-ND3,-0.634387352,0.001472377,1
ENSCAFG00000000147,C1H18orf54,-0.623671875,0.001473517,1
ENSCAFG00000016286,DNAJB1,0.62944664,0.001637949,1
ENSCAFG00000025390,SLC22A17,-0.626482213,0.001744638,1
ENSCAFG00000020023,PHYHD1,-0.615080515,0.00178674,1
ENSCAFG00000046183,NA,0.614461847,0.001811328,1
ENSCAFG00000022726,MT-CO2,-0.624505929,0.001818976,1
ENSCAFG00000017945,CSK,0.622529644,0.001895971,1
ENSCAFG00000012508,TP53BP1,-0.621541502,0.001935488,1
ENSCAFG00000016330,CLN8,0.621541502,0.001935488,1
ENSCAFG00000005327,TGDS,-0.608846077,0.00204798,1
ENSCAFG00000004909,ZNF513,-0.617588933,0.00210059,1
ENSCAFG00000011411,MST1,-0.60766395,0.002101002,1
ENSCAFG00000022735,MT-ND4,-0.615612648,0.0021875,1
ENSCAFG00000040979,NA,-0.604951681,0.002227072,1
ENSCAFG00000008880,PIK3AP1,0.602787967,0.002332189,1
ENSCAFG00000017261,MEGF11,-0.602433978,0.00234978,1
ENSCAFG00000011246,ALDH3B2,0.602301337,0.0023564,1
ENSCAFG00000021569,NA,-0.60203739,0.002369621,1
ENSCAFG00000022413,NA,-0.601851552,0.002378967,1
ENSCAFG00000041006,NA,0.601737943,0.002384696,1
ENSCAFG00000008315,FNBP4,-0.610671937,0.002418155,1
ENSCAFG00000011816,DGKD,0.610671937,0.002418155,1
ENSCAFG00000018290,XRCC3,-0.600938985,0.002425316,1
ENSCAFG00000049169,NA,-0.600774683,0.002433741,1
ENSCAFG00000002816,MPP6,-0.60770751,0.002566151,1
ENSCAFG00000000373,TAB2,-0.597973826,0.002581228,1
ENSCAFG00000019569,AGPAT2,0.605731225,0.002669002,1
ENSCAFG00000006463,GTSF2,-0.596225103,0.002677091,1
ENSCAFG00000020471,NA,-0.595050672,0.002743147,1
ENSCAFG00000008634,CCDC158,-0.594514473,0.00277376,1
ENSCAFG00000044169,MROH6,-0.593311629,0.002843486,1
ENSCAFG00000023874,RGS11,-0.601778656,0.002885164,1
ENSCAFG00000023499,NA,-0.597826087,0.003115904,1
