"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000001302",NA,0.721206217623169,0.000103101397102681,0.840379137781348
"ENSCAFG00000004263","LRRC41",-0.706521739130435,0.000242936613412982,0.840379137781348
"ENSCAFG00000041857",NA,-0.689600054727093,0.000272301608882321,0.840379137781348
"ENSCAFG00000011786","SPRTN",-0.701581027667984,0.000279855709733675,0.840379137781348
"ENSCAFG00000018751","VMAC",-0.683522754450149,0.000323812748945642,0.840379137781348
"ENSCAFG00000043170",NA,0.678362638538999,0.000373963783553855,0.840379137781348
"ENSCAFG00000016940","TBC1D10B",-0.689723320158103,0.000388008511646345,0.840379137781348
"ENSCAFG00000017108","MAPK3",-0.687747035573123,0.000409052102370442,0.840379137781348
"ENSCAFG00000016736","FBXL19",-0.674573778933148,0.00041493492872867,0.840379137781348
"ENSCAFG00000009250",NA,0.668647377855884,0.000486786835728664,0.840379137781348
"ENSCAFG00000001713","TEK",-0.666013525722779,0.000522012338671237,0.840379137781348
"ENSCAFG00000002782","MEI4",-0.665194498564315,0.000533404253485082,0.840379137781348
"ENSCAFG00000028712",NA,0.655906295746599,0.000678352379640548,0.840379137781348
"ENSCAFG00000006456",NA,0.66699604743083,0.000694393413452482,0.840379137781348
"ENSCAFG00000004102","ZC3HAV1",0.66600790513834,0.000711349401104312,0.840379137781348
"ENSCAFG00000025892",NA,0.645210812004982,0.000886041903177034,0.840379137781348
"ENSCAFG00000041872","ALDH4A1",0.650197628458498,0.00103403927608967,0.840379137781348
"ENSCAFG00000016625","ZNF689",-0.636520899095893,0.00109282141621476,0.840379137781348
"ENSCAFG00000029911","ZNF768",-0.634049932872695,0.00115865975320235,0.840379137781348
"ENSCAFG00000006671",NA,0.643280632411067,0.00120983876270486,0.840379137781348
"ENSCAFG00000045989",NA,-0.630358518897253,0.00126331872662262,0.840379137781348
"ENSCAFG00000005802","GPR183",-0.630286266425823,0.00126544516247705,0.840379137781348
"ENSCAFG00000002669","FBXO11",0.630096386915578,0.00127104800828781,0.840379137781348
"ENSCAFG00000018413","BTBD6",-0.636363636363636,0.00141022795590421,0.840379137781348
"ENSCAFG00000005384","CCNB1IP1",-0.625316411144939,0.00141923943985266,0.840379137781348
"ENSCAFG00000026274",NA,0.624667799370424,0.0014404396170112,0.840379137781348
"ENSCAFG00000013837",NA,0.635375494071146,0.00144101940939424,0.840379137781348
"ENSCAFG00000026398",NA,0.623826077203865,0.00146835365968505,0.840379137781348
"ENSCAFG00000003746","TRPM4",0.632411067193676,0.00153682237276013,0.840379137781348
"ENSCAFG00000006975","PLK2",0.631422924901186,0.00156992808110672,0.840379137781348
"ENSCAFG00000011931","TTC13",-0.631422924901186,0.00156992808110672,0.840379137781348
"ENSCAFG00000003679","C15H16orf87",-0.620706715267424,0.00157585762511392,0.840379137781348
"ENSCAFG00000041176",NA,-0.619761065560571,0.00160974272781042,0.840379137781348
"ENSCAFG00000005170","PAX1",-0.619394316385332,0.00162305018571228,0.840379137781348
"ENSCAFG00000017909",NA,0.615764782821027,0.0017598753270134,0.840379137781348
"ENSCAFG00000020626",NA,-0.615338844639306,0.00177655688927044,0.840379137781348
"ENSCAFG00000017039","TAOK2",-0.615270589576388,0.00177924250544065,0.840379137781348
"ENSCAFG00000001615","RPS6",0.625494071146245,0.00178147953423974,0.840379137781348
"ENSCAFG00000007197","ASPH",0.625494071146245,0.00178147953423974,0.840379137781348
"ENSCAFG00000006431","LARS1",0.624505928853755,0.00181897586525516,0.840379137781348
"ENSCAFG00000008776",NA,0.613788009842469,0.00183843480887595,0.840379137781348
"ENSCAFG00000011812","GNPAT",-0.623517786561265,0.00185713641106423,0.840379137781348
"ENSCAFG00000019343","FLYWCH1",-0.622529644268775,0.00189597072143467,0.840379137781348
"ENSCAFG00000047298",NA,0.612151777286788,0.00190569602696138,0.840379137781348
"ENSCAFG00000016642",NA,0.617588932806324,0.00210059022445787,0.850047346880047
"ENSCAFG00000008152","ELOC",0.606869304417513,0.00213729503887776,0.8516927298055
"ENSCAFG00000007670","SLC30A5",0.616600790513834,0.00214367347590248,0.8519735471484
"ENSCAFG00000006472",NA,0.615612648221344,0.00218750025777307,0.853863587840957
"ENSCAFG00000007516","ARFGEF1",0.614624505928854,0.00223208096091778,0.855718108987763
"ENSCAFG00000012445","PROX1",0.60421627097515,0.00226233964319875,0.856939590527701
"ENSCAFG00000019675","DECR2",-0.610671936758893,0.00241815459365688,0.862793527732448
"ENSCAFG00000004790","ARMH1",-0.600108314047128,0.00246816769390788,0.864531073498298
"ENSCAFG00000028980",NA,-0.59965691165088,0.00249172165415028,0.865327552999136
"ENSCAFG00000014664",NA,0.59698543952472,0.00263504698386558,0.869895344941901
"ENSCAFG00000017118",NA,-0.605731225296443,0.00266900214479262,0.870912140343654
"ENSCAFG00000023887",NA,-0.604743083003953,0.00272171760287646,0.872444928308922
"ENSCAFG00000048804","NDUFS5",-0.603754940711463,0.00277530853815374,0.87394870962816
"ENSCAFG00000010854",NA,0.592942895394545,0.00286515415112242,0.876354329532516
"ENSCAFG00000017670","UBFD1",-0.591549313833683,0.00294831162231424,0.878461044864725
"ENSCAFG00000030234","C35H6orf52",-0.590379580726987,0.00301967554245864,0.880183963255929
"ENSCAFG00000014674","AP4M1",-0.596837944664032,0.003175957973786,0.883707516563255
"ENSCAFG00000017396","KATNIP",-0.587595767876566,0.00319539519507668,0.884123503846646
"ENSCAFG00000005738","SLC30A6",0.587537379399075,0.00319917112367227,0.884203773380195
"ENSCAFG00000030196","DRAM2",-0.595849802371542,0.00323698458752963,0.884998077409791
"ENSCAFG00000004791","TMEM53",-0.586607381387287,0.00325982218971474,0.885469549113944
"ENSCAFG00000016461","FBXL20",-0.593873517786561,0.00336200618914332,0.887506400373097
"ENSCAFG00000002163","ROR2",-0.590909090909091,0.00355715304895804,0.891093794852886
"ENSCAFG00000007434","EIF2B1",0.589920948616601,0.00362428497522642,0.89224468885004
"ENSCAFG00000044869",NA,-0.581108098311374,0.0036386234399609,0.892485375496526
"ENSCAFG00000044994",NA,0.581034260051325,0.00364395106614618,0.892574355685582
"ENSCAFG00000019851","ELAPOR1",-0.5797845250389,0.0037351230754192,0.894060356445012
"ENSCAFG00000016470",NA,-0.578500446741987,0.00383079076631054,0.89554852326853
"ENSCAFG00000031581",NA,-0.58695652173913,0.00383211708715202,0.89556866668443
"ENSCAFG00000017351","SOX30",-0.5769038288528,0.00395260818237456,0.897345778876117
"ENSCAFG00000005505","PGM2L1",-0.58498023715415,0.00397617207120051,0.897681519469011
"ENSCAFG00000018007","PSMD10",0.58399209486166,0.00404989127584045,0.898708203511188
"ENSCAFG00000013865","PRRG1",0.574678817223674,0.00412778478094715,0.899755592039363
"ENSCAFG00000045961",NA,0.574134355183436,0.00417162899384492,0.900328967428989
"ENSCAFG00000045110",NA,-0.574105045872599,0.00417400024465965,0.900359654844252
"ENSCAFG00000013268","DEPDC5",-0.573264163782016,0.00424251466940323,0.9012323905129
"ENSCAFG00000017312","ZWILCH",0.5800395256917,0.00435637732967751,0.902625549284719
"ENSCAFG00000030034",NA,0.571216896637989,0.00441327952216669,0.903296365691999
"ENSCAFG00000041318","RAB40C",-0.579051383399209,0.00443597337221303,0.903559373407395
"ENSCAFG00000000141","NACA",0.579051383399209,0.00443597337221304,0.903559373407396
"ENSCAFG00000016421",NA,0.570227776470651,0.00449782539187599,0.904263478952543
"ENSCAFG00000014046","RASAL2",0.577075098814229,0.00459883777617327,0.905374880731207
"ENSCAFG00000006157","MAVS",-0.568322231335619,0.0046645331053415,0.906073263788352
"ENSCAFG00000048256",NA,-0.567209452529701,0.00476425659530577,0.907098527622148
"ENSCAFG00000031099","STUB1",-0.575098814229249,0.00476669850567494,0.907123123442162
"ENSCAFG00000003849","OSBPL9",-0.574110671936759,0.00485254043722236,0.907972842670931
"ENSCAFG00000008364",NA,0.565916831481993,0.00488233194141556,0.908261115201787
"ENSCAFG00000010134","NDN",-0.565896446156482,0.00488421348691981,0.908279209702098
"ENSCAFG00000045136",NA,-0.5654690856579,0.00492379837599332,0.908656849299592
"ENSCAFG00000017433","GATAD2B",-0.564862878623141,0.00498040938848831,0.909187016020472
"ENSCAFG00000044332",NA,-0.562720295113927,0.00518487859036452,0.911010174554778
"ENSCAFG00000014290","ANKH",-0.570158102766798,0.00520901288479327,0.911216384233733
"ENSCAFG00000007910","P2RX3",-0.562291998606242,0.00522658153362718,0.911365355651611
"ENSCAFG00000049135",NA,-0.559823727952555,0.00547241708618478,0.913354211178649
"ENSCAFG00000004076","KIF5B",0.567193675889328,0.00549056943107217,0.913494332738838
"ENSCAFG00000007344","MYBL1",0.559426752932105,0.00551284213952185,0.913665057563821
"ENSCAFG00000016329",NA,0.559426752932105,0.00551284213952185,0.913665057563821
"ENSCAFG00000019387","SKI",-0.566205533596838,0.00558721260848381,0.914225710275842
"ENSCAFG00000048823",NA,0.557944173198186,0.00566602872832063,0.914804534281977
"ENSCAFG00000000594","MARCHF3",0.565217391304348,0.00568527859437405,0.914943575487367
"ENSCAFG00000007866","TRAM1",0.565217391304348,0.00568527859437405,0.914943575487367
"ENSCAFG00000009326","BPHL",-0.565217391304348,0.00568527859437405,0.914943575487367
"ENSCAFG00000016964","MAZ",-0.564229249011858,0.00578478397405196,0.915648194463556
