"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000001302",NA,0.740118577075099,8.39029153183036e-05,1
"ENSCAFG00000004790","ARMH1",-0.712450592885375,0.000204086330883619,1
"ENSCAFG00000045998",NA,0.68707196623093,0.000292795094968954,1
"ENSCAFG00000043174",NA,-0.679264535866427,0.000364743119799736,1
"ENSCAFG00000016421",NA,0.686758893280632,0.000419927753476151,1
"ENSCAFG00000041857",NA,-0.671555703092125,0.000450289398987174,1
"ENSCAFG00000004263","LRRC41",-0.675889328063241,0.000556502727450907,1
"ENSCAFG00000013037","GUCY2C",-0.655375108855704,0.000687576415240137,1
"ENSCAFG00000009326","BPHL",-0.66699604743083,0.000694393413452482,1
"ENSCAFG00000019343","FLYWCH1",-0.662055335968379,0.000782706595305484,1
"ENSCAFG00000009250",NA,0.658102766798419,0.000860004339182472,1
"ENSCAFG00000017108","MAPK3",-0.652173913043478,0.000987968599697478,1
"ENSCAFG00000045129",NA,-0.638003478829812,0.00105487522981904,1
"ENSCAFG00000005505","PGM2L1",-0.642292490118577,0.00123689873253963,1
"ENSCAFG00000016625","ZNF689",-0.639328063241107,0.00132116508869918,1
"ENSCAFG00000011786","SPRTN",-0.638339920948617,0.00135030901872606,1
"ENSCAFG00000013206","SFI1",-0.631422924901186,0.00156992808110672,1
"ENSCAFG00000021294",NA,0.618015033337436,0.00167393889815806,1
"ENSCAFG00000018694",NA,0.616507426734933,0.00173110867156948,1
"ENSCAFG00000026398",NA,0.626482213438735,0.00174463797055013,1
"ENSCAFG00000016461","FBXL20",-0.618577075098814,0.00205824021990803,1
"ENSCAFG00000049471",NA,-0.60775129474843,0.00209704494862885,1
"ENSCAFG00000028411",NA,0.607050250487901,0.00212898448761479,1
"ENSCAFG00000013292","RNASEH2C",-0.611660079051383,0.00237045212912887,1
"ENSCAFG00000011931","TTC13",-0.609683794466403,0.00246666456487757,1
"ENSCAFG00000031092",NA,-0.605731225296443,0.00266900214479262,1
"ENSCAFG00000044430",NA,0.605731225296443,0.00266900214479263,1
"ENSCAFG00000042217",NA,0.604743083003953,0.00272171760287645,1
"ENSCAFG00000025892",NA,0.603754940711463,0.00277530853815374,1
"ENSCAFG00000004102","ZC3HAV1",0.599802371541502,0.00299866329454323,1
"ENSCAFG00000031774","ATP13A5",0.59050473990109,0.00301197078606776,1
"ENSCAFG00000005412","FBL",0.598814229249012,0.00305680981094779,1
"ENSCAFG00000006671",NA,0.598814229249012,0.00305680981094779,1
"ENSCAFG00000045136",NA,-0.588885114140733,0.00311296668092835,1
"ENSCAFG00000001713","TEK",-0.597826086956522,0.00311590389587623,1
"ENSCAFG00000006431","LARS1",0.597826086956522,0.00311590389587623,1
"ENSCAFG00000031207",NA,0.588527779839243,0.00313562953230123,1
"ENSCAFG00000049632",NA,0.587612680890998,0.00319430214812728,1
"ENSCAFG00000045727",NA,-0.584622285568397,0.00339253023482232,1
"ENSCAFG00000041377",NA,0.592885375494071,0.00342602685953527,1
"ENSCAFG00000004612","MUTYH",-0.592885375494071,0.00342602685953528,1
"ENSCAFG00000010703","CCDC28B",-0.591897233201581,0.00349107143186101,1
"ENSCAFG00000045520",NA,-0.590909090909091,0.00355715304895804,1
"ENSCAFG00000048047",NA,0.581519323575958,0.00360907215864987,1
"ENSCAFG00000046390",NA,-0.580501637198332,0.00368257594287464,1
"ENSCAFG00000030599","NFKBIL1",-0.588932806324111,0.00369248059713795,1
"ENSCAFG00000044500",NA,0.580136692584497,0.00370923939898272,1
"ENSCAFG00000047711",NA,-0.579972729630277,0.0037212715505308,1
"ENSCAFG00000006302","TTI2",0.587944664031621,0.00376175342373973,1
"ENSCAFG00000045151",NA,0.578814132439035,0.00380723222728668,1
"ENSCAFG00000032398",NA,0.58695652173913,0.00383211708715202,1
"ENSCAFG00000018413","BTBD6",-0.58596837944664,0.00390358534306016,1
"ENSCAFG00000006456",NA,0.58498023715415,0.0039761720712005,1
"ENSCAFG00000043838",NA,-0.573657502718862,0.00421034918396875,1
"ENSCAFG00000044994",NA,0.572096883334699,0.00433918587713938,1
"ENSCAFG00000041135",NA,-0.5800395256917,0.00435637732967751,1
"ENSCAFG00000007910","P2RX3",-0.571010017927355,0.00443085156042848,1
"ENSCAFG00000027678",NA,0.569182167836193,0.00458867144663335,1
"ENSCAFG00000029911","ZNF768",-0.576086956521739,0.00468213604350978,1
"ENSCAFG00000023067",NA,0.567754976052304,0.00471514786959381,1
"ENSCAFG00000018022","PIGL",-0.575098814229249,0.00476669850567494,1
"ENSCAFG00000017909",NA,0.574110671936759,0.00485254043722234,1
"ENSCAFG00000043170",NA,0.566187976305004,0.00485736317720241,1
"ENSCAFG00000005991","IL5RA",-0.565698782123127,0.00490248917280354,1
"ENSCAFG00000009862",NA,-0.573122529644269,0.00493967724208213,1
"ENSCAFG00000024344","PGB2",-0.573122529644269,0.00493967724208213,1
"ENSCAFG00000012445","PROX1",0.564787615550289,0.00498747572054305,1
"ENSCAFG00000027894",NA,-0.56441823235115,0.00502227824412977,1
"ENSCAFG00000015227","CYB5D2",-0.572134387351779,0.00502812445395906,1
"ENSCAFG00000033648",NA,-0.563891733241321,0.00507223484034222,1
"ENSCAFG00000044920",NA,-0.563689518310194,0.00509153202913996,1
"ENSCAFG00000019603","LMF1",-0.570158102766798,0.00520901288479327,1
"ENSCAFG00000045738",NA,-0.561507801528289,0.00530366496491191,1
"ENSCAFG00000048985",NA,-0.560898070966881,0.00536425342385495,1
"ENSCAFG00000046294",NA,0.560837241176726,0.00537032962489709,1
"ENSCAFG00000046613",NA,0.560831134880935,0.00537093989150536,1
"ENSCAFG00000040907",NA,-0.56047006010272,0.0054071290472619,1
"ENSCAFG00000044347",NA,0.567193675889328,0.00549056943107217,1
"ENSCAFG00000010458","SHANK2",-0.566205533596838,0.00558721260848381,1
"ENSCAFG00000001615","RPS6",0.565217391304348,0.00568527859437405,1
"ENSCAFG00000008776",NA,0.565217391304348,0.00568527859437405,1
"ENSCAFG00000043185",NA,-0.562252964426877,0.00598817992135356,1
"ENSCAFG00000015433",NA,0.561264822134387,0.00609210432588654,1
"ENSCAFG00000006472",NA,0.560276679841897,0.00619753579863533,1
"ENSCAFG00000046926",NA,-0.559288537549407,0.00630449159302839,1
"ENSCAFG00000048122",NA,0.55157370994236,0.00636528798530705,1
"ENSCAFG00000036056",NA,0.551275313117751,0.00639972731944549,1
"ENSCAFG00000038711",NA,-0.551054764745431,0.00642528138541627,1
"ENSCAFG00000010574","SLC6A3",-0.550529962149694,0.00648642988175228,1
"ENSCAFG00000003982","SLC5A9",0.550232739358492,0.00652127572416096,1
"ENSCAFG00000048670",NA,-0.5495207060592,0.00660538721808692,1
"ENSCAFG00000017477","ZKSCAN2",-0.556324110671937,0.00663467945959352,1
"ENSCAFG00000006334","GRTP1",-0.554347826086957,0.00686274869019326,1
"ENSCAFG00000018751","VMAC",-0.554347826086957,0.00686274869019326,1
"ENSCAFG00000010111","NIPSNAP2",-0.553359683794466,0.00697922028745881,1
"ENSCAFG00000045596",NA,-0.545557715214031,0.00709019297889822,1
"ENSCAFG00000047611",NA,0.543759742401551,0.00731969428544658,1
"ENSCAFG00000039261",NA,-0.543753549492857,0.00732049530364309,1
"ENSCAFG00000045919","NACA2",0.550395256916996,0.00733860182113657,1
"ENSCAFG00000045110",NA,-0.542677359781999,0.00746080395488428,1
"ENSCAFG00000004390","MAST2",-0.549407114624506,0.00746177949000613,1
"ENSCAFG00000049419",NA,-0.548418972332016,0.00758668020119451,1
"ENSCAFG00000047731",NA,0.541135410981774,0.00766571944520736,1
"ENSCAFG00000017433","GATAD2B",-0.545454545454545,0.00797191010936757,1
"ENSCAFG00000042038",NA,-0.538314018215895,0.00805274991389278,1
"ENSCAFG00000017804","GLRA4",0.544466403162055,0.0081038931969185,1
"ENSCAFG00000016642",NA,0.543478260869565,0.00823769511723212,1
"ENSCAFG00000017961",NA,0.543478260869565,0.00823769511723212,1
"ENSCAFG00000005510","EOMES",-0.536252886401342,0.00834560630551422,1
"ENSCAFG00000016736","FBXL19",-0.542490118577075,0.00837333544101576,1
"ENSCAFG00000038045",NA,0.535307801368162,0.00848280654733887,1
"ENSCAFG00000010242","SLC4A10",-0.540513833992095,0.00865021027106686,1
"ENSCAFG00000049414",NA,-0.534120692691269,0.00865778116736862,1
"ENSCAFG00000008364",NA,0.539525691699605,0.00879148460828883,1
"ENSCAFG00000017312","ZWILCH",0.539525691699605,0.00879148460828883,1
"ENSCAFG00000011849","TTC28",-0.538537549407115,0.0089346770110611,1
"ENSCAFG00000021640",NA,0.537549407114625,0.00907980774014422,1
"ENSCAFG00000048879",NA,0.530896204852512,0.00914817943661504,1
"ENSCAFG00000049269",NA,-0.530359336483038,0.00923201463330575,1
"ENSCAFG00000003849","OSBPL9",-0.535573122529644,0.00937596591147103,1
"ENSCAFG00000042204",NA,-0.535573122529644,0.00937596591147103,1
"ENSCAFG00000016630","PRR14",-0.534584980237154,0.00952703456654846,1
"ENSCAFG00000047345",NA,-0.527804774438988,0.00963966488483666,1
"ENSCAFG00000016023","COQ8A",-0.533596837944664,0.00968012397366162,1
"ENSCAFG00000049261",NA,-0.527345237280462,0.00971454889190449,1
"ENSCAFG00000042873",NA,-0.527201049191426,0.00973814374850934,1
"ENSCAFG00000017402","CRTC2",-0.532608695652174,0.00983525508505559,1
"ENSCAFG00000019231","TFAP4",-0.531620553359684,0.00999244899131741,1
"ENSCAFG00000030196","DRAM2",-0.531620553359684,0.00999244899131741,1
"ENSCAFG00000046992",NA,0.531620553359684,0.00999244899131741,1
"ENSCAFG00000016470",NA,-0.525327419051968,0.0100490651470268,1
"ENSCAFG00000017038",NA,0.525101769174906,0.0100870565816942,1
"ENSCAFG00000010104","GANC",-0.530632411067194,0.0101517269213635,1
"ENSCAFG00000025377","AHRR",-0.530632411067194,0.0101517269213635,1
"ENSCAFG00000015271","SERPIND1",-0.524336155592424,0.0102168418437332,1
"ENSCAFG00000011823","MN1",-0.52423368868941,0.0102343157214036,1
"ENSCAFG00000045416",NA,-0.523528103647182,0.0103553100842823,1
"ENSCAFG00000049711","PLN",-0.522837485106326,0.0104748762778512,1
"ENSCAFG00000025973",NA,0.528656126482213,0.0104766204599605,1
"ENSCAFG00000002163","ROR2",-0.528656126482213,0.0104766204599605,1
"ENSCAFG00000004578",NA,-0.528656126482213,0.0104766204599605,1
"ENSCAFG00000020352","ACD",-0.528656126482213,0.0104766204599605,1
"ENSCAFG00000016838","KAT8",-0.527667984189723,0.0106422792177083,1
"ENSCAFG00000042036",NA,0.527667984189723,0.0106422792177083,1
"ENSCAFG00000045133",NA,0.527667984189723,0.0106422792177083,1
"ENSCAFG00000012261","NR0B2",-0.521856908937453,0.0106465930313958,1
"ENSCAFG00000005683",NA,0.526679841897233,0.010810108297524,1
"ENSCAFG00000008079","CTNNA2",0.526679841897233,0.010810108297524,1
"ENSCAFG00000015445",NA,0.526679841897233,0.010810108297524,1
"ENSCAFG00000038721",NA,-0.520513762950298,0.0108855557730673,1
"ENSCAFG00000037329",NA,-0.520363911989451,0.0109124874987564,1
"ENSCAFG00000019044",NA,0.525691699604743,0.0109801296193574,1
"ENSCAFG00000000513","ATP6V1G2",-0.525691699604743,0.0109801296193575,1
"ENSCAFG00000008532",NA,0.524703557312253,0.0111523652411564,1
"ENSCAFG00000011396",NA,-0.524703557312253,0.0111523652411564,1
"ENSCAFG00000041176",NA,-0.523715415019763,0.0113268373587678,1
"ENSCAFG00000042548",NA,-0.523715415019763,0.0113268373587678,1
"ENSCAFG00000023098","PRMT6",-0.516431940648454,0.0116389822775859,1
"ENSCAFG00000003939","HBP1",-0.521739130434783,0.0116825805536312,1
"ENSCAFG00000032484",NA,0.516004387354187,0.0117203175814701,1
"ENSCAFG00000046354",NA,0.515843193148586,0.0117511031020156,1
"ENSCAFG00000045645",NA,-0.515580322632483,0.0118014495347388,1
"ENSCAFG00000013837",NA,0.520750988142292,0.0118638967110069,1
"ENSCAFG00000016964","MAZ",-0.520750988142292,0.0118638967110069,1
"ENSCAFG00000045019",NA,-0.520750988142292,0.0118638967110069,1
"ENSCAFG00000008109",NA,0.519762845849802,0.0120475395241557,1
"ENSCAFG00000011324","ISCU",-0.519762845849802,0.0120475395241557,1
