"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000000447","IER3",0.754940711462451,4.89238534560782e-05,0.999999999999194
"ENSCAFG00000049135",NA,-0.738670069360407,5.69350863402387e-05,0.999999999999308
"ENSCAFG00000017147","ANGEL1",0.700271827654411,0.000198864637812974,0.999999999999804
"ENSCAFG00000002038",NA,0.674616585536117,0.000414451242728913,0.999999999999908
"ENSCAFG00000011287","STS",-0.661721391949463,0.000584124026385737,0.999999999999936
"ENSCAFG00000005699","DNAJC18",0.671936758893281,0.000614627210412776,0.999999999999939
"ENSCAFG00000023977",NA,0.655732745259793,0.000681354307521363,0.999999999999945
"ENSCAFG00000032202","C15H4orf46",-0.66304347826087,0.000764325528432084,0.999999999999951
"ENSCAFG00000017894","YY1",-0.659090909090909,0.000840101483363241,0.999999999999956
"ENSCAFG00000008384","SLC38A7",0.655138339920949,0.000922115589773139,0.99999999999996
"ENSCAFG00000016092","RADIL",0.654150197628458,0.000943641960976997,0.999999999999961
"ENSCAFG00000009159","TRIO",0.653162055335968,0.000965590709685867,0.999999999999962
"ENSCAFG00000049614",NA,0.638840415742372,0.00103395613778237,0.999999999999965
"ENSCAFG00000016041","PAX3",0.638519741667397,0.00104192899056706,0.999999999999965
"ENSCAFG00000005177","HYI",-0.637509285585173,0.00106739669664022,0.999999999999966
"ENSCAFG00000016361","PRDM2",0.643280632411067,0.00120983876270486,0.999999999999971
"ENSCAFG00000016737","PRCC",-0.642292490118577,0.00123689873253963,0.999999999999971
"ENSCAFG00000005773","CACNB4",0.628769231539871,0.00131080339184134,0.999999999999973
"ENSCAFG00000042302",NA,0.624636030822149,0.00144148488320918,0.999999999999976
"ENSCAFG00000000751","TNXB",-0.633399209486166,0.00150430811006242,0.999999999999977
"ENSCAFG00000010521","LGR6",-0.628458498023715,0.00167288186294906,0.99999999999998
"ENSCAFG00000041482",NA,0.615422714832656,0.00177326158772758,0.999999999999981
"ENSCAFG00000044982",NA,0.612794964546973,0.00187901116369697,0.999999999999982
"ENSCAFG00000009616","SETD4",0.610973875930252,0.00195540028948286,0.999999999999983
"ENSCAFG00000001302",NA,0.609985245063051,0.00199796331387044,0.999999999999984
"ENSCAFG00000005393","MAP3K10",0.619565217391304,0.00201661328542057,0.999999999999984
"ENSCAFG00000003583","ZMYM4",-0.617588932806324,0.00210059022445787,0.999999999999985
